no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,373805A001,옥천군 옥천읍,2003-11-01,11.7,22.9,3.4,85.2,307.6,0.0,0.6,0.0,366.0,5.5,636,,14.1,,2003,11,1
306,373805A001,옥천군 옥천읍,2003-11-02,14.3,24.4,7.5,86.9,330.3,0.0,0.6,0.0,366.0,5.0,750,,15.2,,2003,11,2
307,373805A001,옥천군 옥천읍,2003-11-03,12.8,18.1,-1.0,75.4,348.4,0.4,5.8,0.0,228.0,3.1,378,,15.5,,2003,11,3
308,373805A001,옥천군 옥천읍,2003-11-04,13.0,21.3,4.7,66.5,1.5,0.3,2.8,0.0,348.0,5.2,156,,14.8,,2003,11,4
309,373805A001,옥천군 옥천읍,2003-11-05,13.2,21.1,3.7,71.9,166.5,0.3,3.7,0.0,348.0,5.2,180,,14.4,,2003,11,5
310,373805A001,옥천군 옥천읍,2003-11-06,13.1,22.2,3.6,77.7,277.4,0.2,14.3,0.0,366.0,4.7,426,,14.4,,2003,11,6
311,373805A001,옥천군 옥천읍,2003-11-07,12.6,19.6,5.2,85.2,16.4,0.2,4.4,0.0,528.0,7.1,900,,13.9,,2003,11,7
312,373805A001,옥천군 옥천읍,2003-11-08,12.3,13.5,10.2,96.7,332.2,0.2,2.4,12.0,0.0,0.0,990,,14.2,,2003,11,8
313,373805A001,옥천군 옥천읍,2003-11-09,11.0,12.9,9.3,94.5,117.7,0.2,2.4,0.5,0.0,0.0,390,,13.7,,2003,11,9
314,373805A001,옥천군 옥천읍,2003-11-10,11.6,13.2,9.5,88.1,104.3,0.5,5.8,2.0,0.0,0.3,630,,13.6,,2003,11,10
315,373805A001,옥천군 옥천읍,2003-11-11,10.2,14.3,6.5,92.7,213.1,0.3,3.7,4.0,36.0,0.3,1068,,13.4,,2003,11,11
316,373805A001,옥천군 옥천읍,2003-11-12,10.0,12.4,8.1,94.5,117.6,0.3,3.3,7.0,36.0,0.5,1440,,12.9,,2003,11,12
317,373805A001,옥천군 옥천읍,2003-11-13,9.0,13.1,2.0,81.8,331.4,0.6,4.3,0.0,336.0,5.0,168,,13.0,,2003,11,13
318,373805A001,옥천군 옥천읍,2003-11-14,10.0,15.5,4.3,81.3,25.1,0.2,11.6,0.0,540.0,7.8,216,,12.7,,2003,11,14
319,373805A001,옥천군 옥천읍,2003-11-15,10.6,16.4,6.2,87.8,218.2,0.5,5.3,2.0,546.0,8.4,468,,12.3,,2003,11,15
320,373805A001,옥천군 옥천읍,2003-11-16,7.3,10.5,-2.2,58.9,332.8,1.2,32.6,2.0,960.0,13.8,480,,11.7,,2003,11,16
321,373805A001,옥천군 옥천읍,2003-11-17,9.7,15.4,-4.3,57.1,193.6,0.3,2.0,2.0,1080.0,18.0,480,,11.0,,2003,11,17
322,373805A001,옥천군 옥천읍,2003-11-18,9.0,14.1,-2.0,72.1,123.0,0.1,3.0,2.0,,19.9,480,,10.0,,2003,11,18
323,373805A001,옥천군 옥천읍,2003-11-19,10.5,16.2,3.8,81.3,100.2,0.5,4.7,0.0,186.0,2.7,6,,10.7,,2003,11,19
324,373805A001,옥천군 옥천읍,2003-11-20,12.4,16.0,7.6,91.2,8.2,0.3,5.0,1.0,0.0,0.6,558,,11.8,,2003,11,20
325,373805A001,옥천군 옥천읍,2003-11-21,9.5,12.6,-0.3,71.2,307.1,1.7,14.6,0.0,180.0,2.7,0,,11.9,,2003,11,21
330,373805A001,옥천군 옥천읍,2003-11-26,7.3,14.7,-0.7,82.1,95.6,0.5,4.7,0.0,186.0,2.8,516,,10.6,,2003,11,26
331,373805A001,옥천군 옥천읍,2003-11-27,8.8,11.5,6.7,91.7,104.5,0.2,3.5,6.5,36.0,1.2,1176,,11.8,,2003,11,27
332,373805A001,옥천군 옥천읍,2003-11-28,10.7,13.9,7.1,91.5,122.6,0.3,5.1,1.5,0.0,1.1,540,,12.4,,2003,11,28
333,373805A001,옥천군 옥천읍,2003-11-29,9.0,11.8,6.5,92.0,341.3,0.4,2.9,0.5,0.0,0.0,636,,12.6,,2003,11,29
334,373805A001,옥천군 옥천읍,2003-11-30,6.8,12.1,0.6,86.6,293.4,0.2,3.1,0.0,216.0,3.0,60,,12.3,,2003,11,30
