no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,373805A001,,2009-01-01,-6.4,-2.0,-10.3,62.8,52.9,1.0,2.0,0.0,,,6,,5.1,,2009
2,373805A001,,2009-01-02,-6.6,1.9,-13.4,75.1,82.9,1.5,2.0,0.0,,,6,,4.7,,2009
3,373805A001,,2009-01-03,-5.4,4.6,-12.2,70.3,76.6,1.3,2.0,0.0,,,6,,4.6,,2009
4,373805A001,,2009-01-04,-4.3,4.3,-9.7,73.5,55.0,1.0,2.0,0.0,,,6,,4.5,,2009
5,373805A001,,2009-01-05,-4.0,2.7,-9.9,79.5,74.1,1.4,2.0,0.0,,,0,,4.4,,2009
6,373805A001,,2009-01-06,-4.7,2.3,-11.2,74.5,73.6,1.5,2.0,0.0,,,6,,4.3,,2009
7,373805A001,,2009-01-07,-5.1,2.9,-10.7,70.6,71.7,1.1,2.0,0.0,,,6,,4.2,,2009
8,373805A001,,2009-01-08,-5.5,3.4,-11.5,69.9,92.4,1.4,2.0,0.0,,,6,,4.1,,2009
9,373805A001,,2009-01-09,-5.4,0.4,-12.0,70.6,70.4,1.0,2.0,0.0,,,6,,3.9,,2009
10,373805A001,,2009-01-10,-5.6,-2.6,-7.7,67.7,67.2,0.8,2.0,0.0,,,6,,4.0,,2009
11,373805A001,,2009-01-11,-6.7,-0.3,-12.6,68.3,67.5,0.9,2.0,0.0,,,6,,3.8,,2009
12,373805A001,,2009-01-12,-6.3,-2.6,-10.2,69.7,60.9,0.9,2.0,0.0,,,6,,3.7,,2009
13,373805A001,,2009-01-13,-6.2,-0.4,-13.3,64.9,64.3,1.2,2.0,0.0,,,6,,3.7,,2009
14,373805A001,,2009-01-14,-5.3,-2.3,-10.5,65.8,59.8,1.2,2.0,0.0,,,6,,3.9,,2009
15,373805A001,,2009-01-15,-9.1,-1.3,-16.2,65.1,63.3,1.4,2.0,0.0,,,6,,3.4,,2009
16,373805A001,,2009-01-16,-4.9,2.7,-14.0,78.2,70.7,1.2,2.0,0.0,,,0,,3.4,,2009
17,373805A001,,2009-01-17,-0.1,7.7,-4.9,79.7,62.5,1.2,2.0,0.0,,,6,,4.0,,2009
18,373805A001,,2009-01-18,0.7,8.1,-6.2,86.0,97.0,1.2,2.0,8.0,,,0,,3.9,,2009
19,373805A001,,2009-01-19,0.5,5.6,-4.8,67.9,73.0,1.0,2.0,0.0,,,6,,4.2,,2009
20,373805A001,,2009-01-20,0.4,7.5,-3.6,61.6,77.1,1.3,2.0,0.0,,,6,,4.2,,2009
21,373805A001,,2009-01-21,-1.0,6.5,-4.5,73.1,67.8,1.4,2.0,0.0,,,0,,4.2,,2009
22,373805A001,,2009-01-22,0.4,8.5,-7.0,75.8,62.6,1.3,2.0,0.0,,,6,,4.2,,2009
23,373805A001,,2009-01-23,-6.1,3.1,-10.8,67.4,42.5,0.9,2.0,0.0,,,6,,4.2,,2009
24,373805A001,,2009-01-24,-8.0,-1.9,-15.2,76.7,85.1,1.0,2.0,0.0,,,6,,3.8,,2009
25,373805A001,,2009-01-25,-3.7,0.4,-7.8,74.8,128.3,0.8,2.0,0.0,,,6,,4.2,,2009
26,373805A001,,2009-01-26,-4.9,0.3,-10.3,89.5,76.0,1.0,2.0,0.0,,,0,,4.1,,2009
27,373805A001,,2009-01-27,-4.7,3.5,-12.0,75.2,109.3,1.3,2.0,0.0,,,6,,4.2,,2009
28,373805A001,,2009-01-28,-3.8,8.9,-12.2,70.7,80.2,1.2,2.0,0.0,,,6,,4.1,,2009
29,373805A001,,2009-01-29,-1.9,5.3,-7.9,73.0,86.2,1.6,2.0,0.0,,,0,,4.1,,2009
30,373805A001,,2009-01-30,3.6,9.7,-1.3,81.1,97.1,1.6,2.0,0.5,,,6,,4.6,,2009
31,373805A001,,2009-01-31,2.2,10.7,-3.7,77.5,76.1,1.6,2.0,0.0,,,6,,4.9,,2009
32,373805A001,,2009-02-01,1.3,10.5,-5.9,73.7,87.3,1.6,2.0,0.0,,,6,,5.2,,2009
33,373805A001,,2009-02-02,2.5,11.9,-3.7,79.5,66.7,1.6,2.0,0.0,,,6,,5.6,,2009
