no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,409911A001,옹진군 백령면,2018-05-01,13.0,16.0,10.4,99.9,,,,0.5,20,6.2,284,13.1,14.2,,2018,5,1
122,409911A001,옹진군 백령면,2018-05-02,11.3,14.8,8.6,93.8,,,,0.5,0,5.9,0,10.9,13.6,,2018,5,2
123,409911A001,옹진군 백령면,2018-05-03,12.6,15.2,10.8,62.4,,,,0.0,717,25.4,0,13.0,12.8,,2018,5,3
124,409911A001,옹진군 백령면,2018-05-04,14.7,19.1,11.8,56.2,,,,0.0,737,27.9,0,15.2,14.3,,2018,5,4
125,409911A001,옹진군 백령면,2018-05-05,12.6,15.2,10.7,89.5,,,,0.0,545,20.1,0,13.3,15.1,,2018,5,5
126,409911A001,옹진군 백령면,2018-05-06,14.6,20.4,10.2,94.2,,,,10.5,492,21.2,273,15.3,16.0,,2018,5,6
127,409911A001,옹진군 백령면,2018-05-07,15.8,23.5,11.9,72.2,,,,0.0,491,20.7,0,16.1,16.3,,2018,5,7
128,409911A001,옹진군 백령면,2018-05-08,15.5,20.6,9.6,72.5,,,,0.0,733,26.9,0,16.5,16.5,,2018,5,8
129,409911A001,옹진군 백령면,2018-05-09,12.9,17.5,9.3,78.8,,,,0.0,723,27.4,0,14.2,17.0,,2018,5,9
130,409911A001,옹진군 백령면,2018-05-10,10.3,13.4,6.8,99.7,,,,0.0,173,16.3,0,11.1,16.0,,2018,5,10
131,409911A001,옹진군 백령면,2018-05-11,10.5,12.3,9.6,99.4,,,,0.0,22,10.3,0,11.0,14.9,,2018,5,11
132,409911A001,옹진군 백령면,2018-05-12,11.4,14.0,10.1,96.6,,,,0.5,0,8.1,252,11.7,14.3,,2018,5,12
133,409911A001,옹진군 백령면,2018-05-13,12.1,17.0,8.8,94.8,,,,0.0,508,23.0,0,13.6,15.5,,2018,5,13
134,409911A001,옹진군 백령면,2018-05-14,11.6,13.7,10.3,98.3,,,,0.5,304,15.9,40,12.4,15.8,,2018,5,14
135,409911A001,옹진군 백령면,2018-05-15,13.9,16.2,12.1,94.9,,,,1.5,0,3.3,16,13.6,15.0,,2018,5,15
136,409911A001,옹진군 백령면,2018-05-16,14.5,17.6,12.8,99.9,,,,13.0,0,8.6,730,14.8,15.6,,2018,5,16
137,409911A001,옹진군 백령면,2018-05-17,14.0,17.6,12.1,99.9,,,,28.0,0,3.5,1257,13.9,15.6,,2018,5,17
138,409911A001,옹진군 백령면,2018-05-18,14.5,18.6,11.3,98.5,,,,0.0,410,19.7,601,15.5,16.3,,2018,5,18
139,409911A001,옹진군 백령면,2018-05-19,15.5,20.4,10.8,78.0,,,,0.0,587,29.7,0,16.9,17.6,,2018,5,19
140,409911A001,옹진군 백령면,2018-05-20,16.7,21.3,12.7,64.9,,,,0.0,399,16.7,0,16.9,17.3,,2018,5,20
141,409911A001,옹진군 백령면,2018-05-21,14.7,18.1,10.0,71.0,,,,0.0,472,23.7,0,15.5,16.7,,2018,5,21
142,409911A001,옹진군 백령면,2018-05-22,12.5,15.4,9.2,97.3,,,,17.5,0,5.1,320,12.3,15.3,,2018,5,22
143,409911A001,옹진군 백령면,2018-05-23,13.8,18.5,9.5,86.3,,,,0.0,624,28.8,534,14.9,16.1,,2018,5,23
144,409911A001,옹진군 백령면,2018-05-24,16.2,19.6,13.2,88.7,,,,0.0,626,27.3,0,17.0,17.1,,2018,5,24
145,409911A001,옹진군 백령면,2018-05-25,14.7,17.2,11.5,90.4,,,,0.0,651,23.8,0,15.4,17.1,,2018,5,25
146,409911A001,옹진군 백령면,2018-05-26,17.2,23.4,9.9,65.5,,,,0.0,593,28.4,0,18.2,17.7,,2018,5,26
147,409911A001,옹진군 백령면,2018-05-27,15.2,20.2,11.5,89.3,,,,0.0,488,19.7,0,15.9,18.0,,2018,5,27
148,409911A001,옹진군 백령면,2018-05-28,15.2,17.8,12.6,98.1,,,,0.0,582,26.0,0,16.3,18.3,,2018,5,28
149,409911A001,옹진군 백령면,2018-05-29,14.8,17.1,13.0,99.9,,,,0.0,3,8.0,0,15.3,17.9,,2018,5,29
150,409911A001,옹진군 백령면,2018-05-30,16.1,20.5,13.7,93.3,,,,0.0,605,25.8,0,17.6,19.0,,2018,5,30
151,409911A001,옹진군 백령면,2018-05-31,17.1,21.1,13.2,83.3,,,,0.0,583,29.5,0,18.4,19.3,,2018,5,31
