no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
91,409871A001,옹진군 영흥면,2014-04-01,10.4,21.9,2.6,52.6,114.2,0.4,3.9,0.0,536,,0,11.6,11.5,,2014,4,1
92,409871A001,옹진군 영흥면,2014-04-02,10.9,19.3,2.7,44.2,78.3,0.5,4.3,0.0,542,,0,12.0,11.8,,2014,4,2
93,409871A001,옹진군 영흥면,2014-04-03,7.4,11.0,4.5,76.3,111.0,1.0,10.7,0.0,0,,0,9.7,11.1,,2014,4,3
94,409871A001,옹진군 영흥면,2014-04-04,5.7,10.8,-0.9,60.2,98.7,1.1,7.7,0.0,560,,0,9.5,10.3,,2014,4,4
95,409871A001,옹진군 영흥면,2014-04-05,4.9,10.0,-1.4,68.0,102.7,0.8,6.2,0.0,531,,0,9.1,10.2,,2014,4,5
96,409871A001,옹진군 영흥면,2014-04-06,7.3,12.0,3.6,53.1,144.6,1.4,9.1,0.0,570,,0,9.7,10.2,,2014,4,6
97,409871A001,옹진군 영흥면,2014-04-07,8.3,13.0,3.9,76.2,203.6,1.2,7.0,0.0,486,,0,10.4,10.7,,2014,4,7
98,409871A001,옹진군 영흥면,2014-04-08,7.3,14.5,0.1,83.0,74.1,0.6,4.3,0.0,502,,0,10.8,10.9,,2014,4,8
99,409871A001,옹진군 영흥면,2014-04-09,7.4,10.2,5.6,93.2,135.3,0.4,5.1,0.0,0,,0,10.4,11.1,,2014,4,9
100,409871A001,옹진군 영흥면,2014-04-10,8.2,12.3,6.3,85.6,85.6,0.5,4.5,0.0,232,,0,10.9,11.2,,2014,4,10
101,409871A001,옹진군 영흥면,2014-04-11,6.8,12.9,3.9,92.9,161.7,0.2,3.7,0.0,127,,0,9.4,10.8,,2014,4,11
104,409871A001,옹진군 영흥면,2014-04-14,12.6,18.5,4.9,64.1,146.7,0.7,4.7,0.0,541,,0,15.2,13.9,,2014,4,14
105,409871A001,옹진군 영흥면,2014-04-15,8.8,12.2,4.8,94.1,190.9,0.7,6.0,0.0,2,,0,11.7,12.5,,2014,4,15
106,409871A001,옹진군 영흥면,2014-04-16,10.4,14.8,5.4,90.2,181.6,0.9,5.4,0.0,300,,0,13.1,13.0,,2014,4,16
107,409871A001,옹진군 영흥면,2014-04-17,10.1,18.4,2.7,79.7,66.7,0.5,4.9,2.0,283,,0,12.1,12.6,,2014,4,17
108,409871A001,옹진군 영흥면,2014-04-18,13.1,19.6,8.0,68.2,59.9,0.9,6.0,0.0,346,,0,13.7,13.2,,2014,4,18
109,409871A001,옹진군 영흥면,2014-04-19,12.8,19.4,6.2,68.8,158.9,0.8,5.6,0.0,108,,0,13.2,13.3,,2014,4,19
110,409871A001,옹진군 영흥면,2014-04-20,11.8,17.4,6.6,59.8,189.0,0.9,5.8,0.0,571,,0,13.9,13.7,,2014,4,20
111,409871A001,옹진군 영흥면,2014-04-21,12.0,18.0,6.8,69.8,110.9,0.7,4.2,0.0,481,,0,14.4,14.1,,2014,4,21
112,409871A001,옹진군 영흥면,2014-04-22,12.8,20.5,5.2,59.6,179.5,0.7,5.1,0.0,539,,0,14.7,14.3,,2014,4,22
113,409871A001,옹진군 영흥면,2014-04-23,11.7,19.5,4.7,75.9,188.1,0.7,5.9,0.0,574,,0,14.4,14.3,,2014,4,23
114,409871A001,옹진군 영흥면,2014-04-24,12.4,21.5,6.1,80.0,57.7,0.6,5.1,0.0,551,,0,15.1,14.7,,2014,4,24
115,409871A001,옹진군 영흥면,2014-04-25,13.2,22.8,5.5,64.2,68.2,0.6,4.5,0.0,583,,0,15.0,14.7,,2014,4,25
116,409871A001,옹진군 영흥면,2014-04-26,14.4,22.6,7.1,59.6,171.2,0.4,5.3,0.0,174,,0,14.9,14.6,,2014,4,26
117,409871A001,옹진군 영흥면,2014-04-27,13.7,16.0,11.3,93.2,48.9,0.6,4.3,11.5,0,,0,14.8,14.8,,2014,4,27
118,409871A001,옹진군 영흥면,2014-04-28,13.1,14.1,12.2,91.9,69.8,1.6,7.2,25.5,0,,0,14.1,14.5,,2014,4,28
119,409871A001,옹진군 영흥면,2014-04-29,14.2,18.4,11.3,75.8,47.6,2.4,8.5,6.5,28,,0,14.0,14.2,,2014,4,29
120,409871A001,옹진군 영흥면,2014-04-30,14.1,20.0,8.7,66.7,51.8,1.6,6.6,0.0,597,,0,15.5,14.9,,2014,4,30
