no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,537807B004,완도군 완도읍,2022-11-01,15.0,22.7,8.9,75.3,300.9,0.5,6.0,0.0,,,,,17.6,,2022,11,1
306,537807B004,완도군 완도읍,2022-11-02,14.6,22.5,8.3,66.3,301.2,0.2,4.2,0.0,,,,,17.6,,2022,11,2
307,537807B004,완도군 완도읍,2022-11-03,13.4,22.2,6.2,60.1,302.8,0.4,5.5,0.0,,,,,16.9,,2022,11,3
308,537807B004,완도군 완도읍,2022-11-04,10.2,13.2,8.0,54.8,330.5,1.1,7.7,0.0,,,,,16.5,,2022,11,4
309,537807B004,완도군 완도읍,2022-11-05,10.8,16.4,7.1,54.1,339.6,0.9,6.4,0.0,,,,,15.8,,2022,11,5
310,537807B004,완도군 완도읍,2022-11-06,11.5,18.0,5.5,59.6,300.3,0.3,4.8,0.0,,,,,15.6,,2022,11,6
311,537807B004,완도군 완도읍,2022-11-07,11.1,18.6,5.1,70.7,226.6,0.1,3.4,0.0,,,,,15.5,,2022,11,7
312,537807B004,완도군 완도읍,2022-11-08,12.3,21.0,4.7,70.8,160.1,0.1,3.0,0.0,,,,,15.5,,2022,11,8
313,537807B004,완도군 완도읍,2022-11-09,11.8,20.1,5.5,70.5,81.0,0.1,3.1,0.0,,,,,15.4,,2022,11,9
314,537807B004,완도군 완도읍,2022-11-10,14.8,21.6,9.1,68.4,149.6,0.1,3.0,0.0,,,,,11.0,,2022,11,10
315,537807B004,완도군 완도읍,2022-11-11,16.6,21.8,13.7,72.2,135.9,0.2,3.6,0.0,,,,,-30.6,,2022,11,11
316,537807B004,완도군 완도읍,2022-11-12,17.4,20.5,13.7,90.1,159.4,0.1,3.7,2.0,,,,,-27.6,,2022,11,12
317,537807B004,완도군 완도읍,2022-11-13,13.5,20.8,10.6,78.6,305.5,1.1,8.5,17.0,,,,,-39.8,,2022,11,13
318,537807B004,완도군 완도읍,2022-11-14,11.7,16.4,8.4,68.7,308.0,0.7,6.2,0.0,,,,,-25.8,,2022,11,14
319,537807B004,완도군 완도읍,2022-11-15,10.6,16.1,5.2,64.7,314.7,0.5,6.0,0.0,,,,,-26.9,,2022,11,15
320,537807B004,완도군 완도읍,2022-11-16,10.7,17.8,5.7,74.8,299.9,0.3,5.0,0.0,,,,,-21.3,,2022,11,16
321,537807B004,완도군 완도읍,2022-11-17,10.1,16.1,6.0,72.0,239.7,0.0,2.8,0.0,,,,,3.4,,2022,11,17
322,537807B004,완도군 완도읍,2022-11-18,10.5,19.3,4.3,70.2,139.1,0.0,2.7,0.0,,,,,0.2,,2022,11,18
323,537807B004,완도군 완도읍,2022-11-19,13.2,20.2,7.2,72.9,134.9,0.2,3.9,0.0,,,,,14.5,,2022,11,19
324,537807B004,완도군 완도읍,2022-11-20,12.8,14.9,9.2,91.4,,0.0,0.0,2.5,,,,,15.0,,2022,11,20
325,537807B004,완도군 완도읍,2022-11-21,12.3,20.4,7.7,86.0,327.9,0.0,2.4,0.0,,,,,14.8,,2022,11,21
326,537807B004,완도군 완도읍,2022-11-22,12.6,16.7,10.5,85.0,312.4,0.0,3.1,6.5,,,,,14.9,,2022,11,22
327,537807B004,완도군 완도읍,2022-11-23,12.8,16.8,9.4,72.6,306.2,0.8,6.2,0.5,,,,,-23.1,,2022,11,23
328,537807B004,완도군 완도읍,2022-11-24,11.5,18.8,6.3,66.5,309.5,0.4,5.3,0.0,,,,,-16.1,,2022,11,24
329,537807B004,완도군 완도읍,2022-11-25,10.3,19.3,3.8,85.3,18.4,0.0,2.3,0.0,,,,,-3.7,,2022,11,25
330,537807B004,완도군 완도읍,2022-11-26,11.9,18.6,6.6,68.2,305.0,0.4,5.3,0.0,,,,,-38.4,,2022,11,26
331,537807B004,완도군 완도읍,2022-11-27,9.9,15.5,3.8,63.1,316.4,0.1,3.9,0.0,,,,,-29.5,,2022,11,27
332,537807B004,완도군 완도읍,2022-11-28,16.1,20.6,11.2,89.9,150.7,0.2,5.0,1.5,,,,,2.1,,2022,11,28
333,537807B004,완도군 완도읍,2022-11-29,13.0,19.9,5.6,75.5,331.6,1.2,9.9,5.5,,,,,-14.4,,2022,11,29
334,537807B004,완도군 완도읍,2022-11-30,2.3,5.9,-0.2,64.7,342.9,1.6,9.4,0.0,,,,,10.5,,2022,11,30
