no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,565862A001,완주군 고산면,2014-01-01,2.1,9.8,-3.5,82.3,245.5,1.0,9.1,0.0,357,8.0,753,0.7,1.5,,2014,1,1
2,565862A001,완주군 고산면,2014-01-02,0.4,9.3,-5.6,76.7,275.4,0.9,4.2,0.0,487,9.9,641,-0.4,1.4,,2014,1,2
3,565862A001,완주군 고산면,2014-01-03,1.4,11.8,-4.7,69.4,270.4,1.0,8.3,0.0,440,9.5,0,0.4,1.4,,2014,1,3
4,565862A001,완주군 고산면,2014-01-04,-0.2,6.3,-5.4,75.6,234.4,0.7,4.1,0.0,504,10.5,82,-0.7,1.4,,2014,1,4
5,565862A001,완주군 고산면,2014-01-05,-2.4,5.7,-8.0,79.1,267.3,0.9,3.7,0.0,470,10.2,41,-2.6,1.0,,2014,1,5
6,565862A001,완주군 고산면,2014-01-06,-1.0,8.3,-7.9,74.4,299.8,1.1,4.4,0.0,507,10.4,0,-1.5,0.7,,2014,1,6
7,565862A001,완주군 고산면,2014-01-07,1.3,9.6,-6.2,70.6,292.8,1.0,3.1,0.0,353,8.5,0,0.4,0.7,,2014,1,7
8,565862A001,완주군 고산면,2014-01-08,2.0,4.8,-2.8,77.9,289.8,1.2,5.8,0.5,76,3.0,288,0.8,1.2,,2014,1,8
9,565862A001,완주군 고산면,2014-01-09,-5.4,-0.8,-10.7,56.9,287.4,1.5,7.4,0.0,515,12.1,0,-5.3,0.8,,2014,1,9
10,565862A001,완주군 고산면,2014-01-10,-4.8,1.9,-11.3,82.7,285.1,0.8,6.8,0.0,137,6.1,248,-4.6,0.4,,2014,1,10
11,565862A001,완주군 고산면,2014-01-11,-1.4,4.1,-5.5,83.1,293.9,0.8,7.4,0.0,173,6.8,0,-1.7,0.4,,2014,1,11
12,565862A001,완주군 고산면,2014-01-12,-1.2,6.0,-5.7,78.2,269.0,1.3,7.2,0.0,176,6.6,2,-1.7,0.3,,2014,1,12
13,565862A001,완주군 고산면,2014-01-13,-5.8,0.9,-11.3,63.3,325.4,1.0,10.6,0.0,519,12.3,0,-5.5,0.2,,2014,1,13
14,565862A001,완주군 고산면,2014-01-14,-4.9,3.4,-10.9,66.1,292.5,1.2,5.2,0.0,517,11.4,0,-4.9,0.1,,2014,1,14
15,565862A001,완주군 고산면,2014-01-15,-3.9,4.0,-9.6,73.1,291.2,1.2,5.8,0.0,513,11.1,0,-4.1,0.0,,2014,1,15
16,565862A001,완주군 고산면,2014-01-16,-2.2,5.6,-9.0,78.4,295.0,1.0,4.7,0.0,307,8.2,0,-2.6,-0.1,,2014,1,16
17,565862A001,완주군 고산면,2014-01-17,-1.0,6.4,-6.8,81.2,276.3,0.9,4.1,0.0,270,7.5,43,-1.5,-0.1,,2014,1,17
18,565862A001,완주군 고산면,2014-01-18,-1.2,4.8,-7.7,73.3,269.3,1.2,8.6,0.0,278,8.1,15,-1.8,-0.1,,2014,1,18
19,565862A001,완주군 고산면,2014-01-19,-3.7,4.9,-10.8,68.4,261.7,0.9,6.0,0.0,489,11.6,0,-3.7,-0.2,,2014,1,19
20,565862A001,완주군 고산면,2014-01-20,1.2,6.1,-2.7,82.8,247.2,1.2,7.1,3.0,29,4.7,808,0.4,-0.1,,2014,1,20
21,565862A001,완주군 고산면,2014-01-21,-2.7,-0.7,-6.4,79.6,285.3,1.1,5.0,0.5,77,5.4,443,-2.7,-0.2,,2014,1,21
22,565862A001,완주군 고산면,2014-01-22,-4.2,2.8,-10.2,80.9,301.7,1.1,5.2,0.0,479,12.1,197,-4.1,-0.2,,2014,1,22
23,565862A001,완주군 고산면,2014-01-23,-2.5,6.4,-9.0,80.3,273.1,1.2,4.2,0.0,534,12.6,58,-2.7,-0.2,,2014,1,23
24,565862A001,완주군 고산면,2014-01-24,3.5,12.2,-5.0,80.4,250.3,1.3,6.0,0.0,173,7.9,57,2.5,-0.1,,2014,1,24
25,565862A001,완주군 고산면,2014-01-25,7.7,13.1,-0.7,85.5,232.1,1.3,5.3,0.0,0,2.2,148,5.4,0.0,,2014,1,25
26,565862A001,완주군 고산면,2014-01-26,-0.9,6.1,-6.3,71.7,277.3,0.9,4.5,0.0,542,13.5,253,-1.5,-0.1,,2014,1,26
27,565862A001,완주군 고산면,2014-01-27,-1.2,9.3,-8.9,72.3,256.9,1.1,8.5,0.0,541,13.1,0,-1.8,-0.1,,2014,1,27
28,565862A001,완주군 고산면,2014-01-28,1.8,10.2,-6.0,74.6,281.8,1.1,5.8,0.0,378,10.2,133,0.9,-0.1,,2014,1,28
29,565862A001,완주군 고산면,2014-01-29,1.2,12.8,-8.6,65.9,273.2,0.9,3.8,0.0,350,11.3,0,0.1,0.0,,2014,1,29
30,565862A001,완주군 고산면,2014-01-30,5.5,8.3,-0.3,93.6,209.0,0.8,5.9,2.5,0,0.6,1111,3.7,0.1,,2014,1,30
31,565862A001,완주군 고산면,2014-01-31,2.7,13.8,-5.0,77.1,283.1,0.9,3.2,0.0,539,12.6,304,1.5,0.3,,2014,1,31
