no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
244,055365F016,완주군 반교리,2022-09-01,22.3,26.9,19.0,86.1,14.5,0.8,4.7,0.0,,11.0,487,,,,2022,9,1
245,055365F016,완주군 반교리,2022-09-02,23.0,28.2,17.0,76.7,57.8,1.5,6.5,0.0,,14.3,495,,,,2022,9,2
246,055365F016,완주군 반교리,2022-09-03,25.4,30.4,20.9,70.1,72.6,1.8,6.9,0.0,,17.2,0,,,,2022,9,3
247,055365F016,완주군 반교리,2022-09-04,25.9,31.6,21.9,78.0,126.3,1.2,5.9,1.0,,10.2,602,,,,2022,9,4
248,055365F016,완주군 반교리,2022-09-05,23.4,26.0,18.9,95.6,8.1,1.4,10.4,38.0,,3.4,1389,,,,2022,9,5
249,055365F016,완주군 반교리,2022-09-06,20.8,25.7,17.6,85.7,318.2,2.2,10.5,34.5,,15.1,651,,,,2022,9,6
250,055365F016,완주군 반교리,2022-09-07,21.9,28.4,17.0,79.5,329.1,0.7,5.1,0.0,,22.0,724,,,,2022,9,7
251,055365F016,완주군 반교리,2022-09-08,21.7,29.7,14.6,76.4,255.5,0.6,3.4,0.0,,22.4,618,,,,2022,9,8
252,055365F016,완주군 반교리,2022-09-09,23.2,30.0,17.4,72.2,351.3,0.7,4.3,0.0,,23.5,509,,,,2022,9,9
253,055365F016,완주군 반교리,2022-09-10,22.6,27.4,18.8,69.7,84.3,1.1,4.8,0.0,,13.3,0,,,,2022,9,10
254,055365F016,완주군 반교리,2022-09-11,24.1,30.1,18.7,70.5,314.2,0.9,4.4,0.0,,22.3,0,,,,2022,9,11
255,055365F016,완주군 반교리,2022-09-12,23.2,25.6,21.2,90.5,2.1,0.5,2.6,1.0,,6.2,1216,,,,2022,9,12
256,055365F016,완주군 반교리,2022-09-13,24.2,27.8,21.4,84.3,15.5,0.8,4.5,0.5,,7.7,694,,,,2022,9,13
257,055365F016,완주군 반교리,2022-09-14,25.8,29.4,21.2,52.9,60.1,3.0,9.4,0.0,,16.1,0,,,,2022,9,14
258,055365F016,완주군 반교리,2022-09-15,26.6,32.2,20.3,64.9,93.8,1.5,7.5,0.0,,20.4,0,,,,2022,9,15
259,055365F016,완주군 반교리,2022-09-16,27.6,32.7,23.5,71.2,136.2,1.6,7.1,0.0,,15.8,222,,,,2022,9,16
260,055365F016,완주군 반교리,2022-09-17,27.2,33.0,23.4,79.9,261.8,1.0,4.9,0.0,,20.0,693,,,,2022,9,17
261,055365F016,완주군 반교리,2022-09-18,28.1,34.3,23.7,74.1,26.6,2.0,10.3,0.0,,20.0,609,,,,2022,9,18
262,055365F016,완주군 반교리,2022-09-19,25.6,30.8,19.0,69.6,339.0,2.3,10.4,0.0,,16.3,0,,,,2022,9,19
263,055365F016,완주군 반교리,2022-09-20,19.9,25.9,14.6,64.7,11.2,1.1,5.6,0.0,,17.1,82,,,,2022,9,20
264,055365F016,완주군 반교리,2022-09-21,19.2,26.7,12.5,66.8,73.0,0.9,5.0,0.0,,22.8,459,,,,2022,9,21
265,055365F016,완주군 반교리,2022-09-22,19.1,24.9,12.7,60.9,42.9,1.0,4.4,0.0,,17.8,17,,,,2022,9,22
266,055365F016,완주군 반교리,2022-09-23,17.8,24.9,11.9,72.9,256.7,1.1,7.6,0.0,,16.6,184,,,,2022,9,23
267,055365F016,완주군 반교리,2022-09-24,17.3,24.6,10.9,71.6,9.0,1.1,7.4,0.0,,20.2,472,,,,2022,9,24
268,055365F016,완주군 반교리,2022-09-25,18.8,24.7,14.8,75.4,226.4,0.6,4.7,0.0,,12.5,111,,,,2022,9,25
269,055365F016,완주군 반교리,2022-09-26,19.0,25.0,15.2,77.2,358.0,0.6,4.0,0.0,,11.4,416,,,,2022,9,26
270,055365F016,완주군 반교리,2022-09-27,19.6,28.3,12.1,76.0,272.6,0.7,4.1,0.0,,20.4,622,,,,2022,9,27
271,055365F016,완주군 반교리,2022-09-28,19.8,25.5,15.3,79.3,283.3,0.5,3.1,0.0,,11.3,685,,,,2022,9,28
272,055365F016,완주군 반교리,2022-09-29,18.2,26.7,12.6,81.0,258.1,0.6,4.7,0.0,,17.7,685,,,,2022,9,29
273,055365F016,완주군 반교리,2022-09-30,19.7,29.3,11.7,75.1,267.7,0.7,4.9,0.0,,20.4,742,,,,2022,9,30
