no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,323891D002,완주군 이서면,2019-02-01,-2.1,3.4,-7.5,79.9,206.4,0.8,8.5,0.0,305.0,10.5,0,-3.2,2.4,,2019,2,1
33,323891D002,완주군 이서면,2019-02-02,3.7,9.3,-2.5,65.2,120.9,1.7,6.3,0.0,246.0,10.3,21,3.3,2.5,,2019,2,2
34,323891D002,완주군 이서면,2019-02-03,8.4,12.5,4.8,90.4,222.2,2.5,7.4,16.5,0.0,0.5,1161,7.1,4.8,,2019,2,3
35,323891D002,완주군 이서면,2019-02-04,2.5,6.5,-2.9,62.4,306.1,1.3,6.6,0.0,519.0,14.5,0,1.9,4.5,,2019,2,4
36,323891D002,완주군 이서면,2019-02-05,3.8,13.3,-3.1,57.9,178.6,0.7,3.8,0.0,520.0,14.1,0,3.3,4.2,,2019,2,5
37,323891D002,완주군 이서면,2019-02-06,6.0,13.7,-0.2,69.1,229.6,1.1,6.5,0.0,366.0,10.8,0,5.3,4.7,,2019,2,6
38,323891D002,완주군 이서면,2019-02-07,2.9,6.7,-3.8,59.1,316.4,2.5,7.7,0.0,414.0,11.1,0,2.6,5.3,,2019,2,7
39,323891D002,완주군 이서면,2019-02-08,-2.1,2.5,-5.6,48.5,336.4,1.7,5.4,0.0,469.0,12.6,0,-2.0,3.6,,2019,2,8
40,323891D002,완주군 이서면,2019-02-09,-1.3,2.3,-3.4,48.2,307.1,2.0,7.6,0.0,562.0,15.4,0,-1.1,3.3,,2019,2,9
41,323891D002,완주군 이서면,2019-02-10,-1.4,2.1,-4.5,46.9,278.1,1.2,4.3,0.0,281.0,10.0,0,-1.3,3.0,,2019,2,10
42,323891D002,완주군 이서면,2019-02-11,-1.5,4.3,-7.0,60.2,304.5,1.5,7.8,0.0,579.0,15.4,0,-1.5,2.9,,2019,2,11
43,323891D002,완주군 이서면,2019-02-12,-0.4,5.4,-6.9,68.2,314.8,0.9,5.1,0.0,350.0,12.9,0,-0.6,2.8,,2019,2,12
44,323891D002,완주군 이서면,2019-02-13,0.6,5.4,-5.5,51.3,338.3,1.6,7.7,0.0,566.0,14.8,0,0.1,3.0,,2019,2,13
45,323891D002,완주군 이서면,2019-02-14,1.1,6.5,-1.7,47.9,294.7,1.1,9.4,0.0,555.0,15.8,0,1.4,3.5,,2019,2,14
46,323891D002,완주군 이서면,2019-02-15,1.5,5.1,-1.9,69.1,265.5,1.1,9.0,0.0,105.0,8.0,0,1.3,3.7,,2019,2,15
47,323891D002,완주군 이서면,2019-02-16,0.4,3.2,-4.8,64.7,285.6,2.1,6.2,0.0,397.0,11.9,0,0.3,3.9,,2019,2,16
48,323891D002,완주군 이서면,2019-02-17,-1.4,5.5,-7.8,66.0,281.5,1.1,5.5,0.0,590.0,17.9,0,-1.3,3.3,,2019,2,17
49,323891D002,완주군 이서면,2019-02-18,1.2,7.1,-5.6,63.7,281.4,0.6,3.2,0.0,97.0,8.5,4,0.9,3.2,,2019,2,18
50,323891D002,완주군 이서면,2019-02-19,3.4,5.3,-0.6,92.4,271.3,1.2,5.1,16.5,0.0,2.5,1048,2.5,4.1,,2019,2,19
51,323891D002,완주군 이서면,2019-02-20,2.4,7.3,-1.9,82.2,269.2,1.1,12.1,0.0,216.0,10.8,248,2.0,4.3,,2019,2,20
52,323891D002,완주군 이서면,2019-02-21,1.7,8.5,-4.0,77.5,301.0,1.0,5.5,0.0,532.0,16.4,0,1.7,4.2,,2019,2,21
53,323891D002,완주군 이서면,2019-02-22,3.1,10.0,-2.3,75.6,263.4,1.1,4.9,0.0,394.0,12.5,0,3.0,4.6,,2019,2,22
54,323891D002,완주군 이서면,2019-02-23,4.4,14.6,-3.1,71.0,280.2,0.9,4.8,0.0,537.0,15.6,0,4.2,4.9,,2019,2,23
55,323891D002,완주군 이서면,2019-02-24,5.2,13.7,-2.1,68.8,282.9,1.1,7.7,0.0,615.0,17.4,0,5.1,5.5,,2019,2,24
56,323891D002,완주군 이서면,2019-02-25,4.6,10.4,0.0,76.8,233.1,1.4,5.5,0.0,486.0,15.1,0,4.9,6.2,,2019,2,25
57,323891D002,완주군 이서면,2019-02-26,3.7,12.2,-4.0,65.5,272.0,1.1,5.6,0.0,562.0,17.4,0,4.0,5.9,,2019,2,26
58,323891D002,완주군 이서면,2019-02-27,6.2,9.0,3.7,71.0,318.9,0.9,6.6,0.0,2.0,4.0,0,5.4,6.1,,2019,2,27
59,323891D002,완주군 이서면,2019-02-28,5.0,13.0,-1.1,78.7,257.5,1.3,6.3,0.0,312.0,12.8,0,4.9,6.2,,2019,2,28
