no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,449872A001,용인시 처인구,2023-08-01,28.1,34.8,23.4,82.2,330.4,0.5,3.0,0.0,650.0,21.4,,28.8,,26.1,2023,8,1
214,449872A001,용인시 처인구,2023-08-02,28.3,33.9,23.8,77.6,202.5,0.6,5.5,0.0,628.0,21.2,,28.6,,23.4,2023,8,2
215,449872A001,용인시 처인구,2023-08-03,27.7,33.8,22.2,74.7,259.3,0.6,7.9,0.0,640.0,24.1,,28.3,,23.1,2023,8,3
216,449872A001,용인시 처인구,2023-08-04,28.7,34.0,24.3,75.4,352.5,0.6,5.8,0.0,599.0,21.7,,29.1,,20.6,2023,8,4
217,449872A001,용인시 처인구,2023-08-05,29.0,34.4,24.9,74.7,345.4,0.6,4.1,0.0,567.0,20.9,,29.3,,20.3,2023,8,5
218,449872A001,용인시 처인구,2023-08-06,29.2,36.0,24.2,76.9,10.2,0.6,6.1,1.0,562.0,22.5,,29.8,,20.4,2023,8,6
219,449872A001,용인시 처인구,2023-08-07,29.2,35.4,25.1,78.4,28.1,0.7,4.4,0.0,583.0,22.9,,29.7,,23.6,2023,8,7
220,449872A001,용인시 처인구,2023-08-08,29.2,34.9,24.6,72.2,26.2,1.0,5.1,5.5,643.0,25.2,,29.8,,23.2,2023,8,8
221,449872A001,용인시 처인구,2023-08-09,27.1,31.3,22.8,76.7,35.3,1.0,5.4,2.0,309.0,13.6,,26.7,,23.1,2023,8,9
222,449872A001,용인시 처인구,2023-08-10,21.8,22.9,20.8,94.3,354.0,2.6,12.0,99.0,0.0,2.5,,21.3,,32.0,2023,8,10
223,449872A001,용인시 처인구,2023-08-11,23.8,26.4,21.5,92.7,5.7,1.0,6.4,38.0,0.0,6.5,,23.4,,29.9,2023,8,11
224,449872A001,용인시 처인구,2023-08-12,22.9,25.9,20.5,90.5,114.6,0.5,4.0,3.0,123.0,8.2,,22.9,,28.5,2023,8,12
225,449872A001,용인시 처인구,2023-08-13,25.6,31.5,21.3,86.6,16.7,0.3,3.5,0.0,329.0,15.6,,26.1,,27.4,2023,8,13
226,449872A001,용인시 처인구,2023-08-14,27.3,33.4,23.1,82.4,11.3,0.5,3.4,0.0,517.0,20.0,,27.9,,22.8,2023,8,14
227,449872A001,용인시 처인구,2023-08-15,27.2,32.3,23.1,78.5,5.8,0.6,5.8,0.0,618.0,22.6,,27.8,,24.6,2023,8,15
228,449872A001,용인시 처인구,2023-08-16,26.5,32.0,22.3,75.9,343.8,0.7,4.2,0.0,561.0,21.2,,26.9,,24.0,2023,8,16
229,449872A001,용인시 처인구,2023-08-17,31.1,38.0,21.8,79.6,152.0,0.5,3.5,0.0,535.0,19.4,,27.1,,23.3,2023,8,17
230,449872A001,용인시 처인구,2023-08-18,39.2,44.2,35.2,79.0,160.4,0.6,3.4,0.0,550.0,22.6,,28.2,,22.5,2023,8,18
231,449872A001,용인시 처인구,2023-08-19,41.2,44.8,38.3,76.9,28.1,0.6,5.0,0.0,587.0,19.6,,28.3,,22.0,2023,8,19
232,449872A001,용인시 처인구,2023-08-20,42.6,45.0,41.4,76.2,179.6,0.5,4.4,0.0,515.0,18.9,,28.1,,21.8,2023,8,20
233,449872A001,용인시 처인구,2023-08-21,42.7,45.0,41.4,79.0,141.7,0.5,4.4,0.0,428.0,18.1,,28.4,,21.3,2023,8,21
234,449872A001,용인시 처인구,2023-08-22,41.8,44.8,39.9,84.3,135.9,0.7,6.4,7.5,368.0,14.3,,27.0,,20.6,2023,8,22
235,449872A001,용인시 처인구,2023-08-23,40.4,44.9,38.7,92.2,1.2,0.7,6.9,8.5,96.0,8.1,,25.2,,19.4,2023,8,23
236,449872A001,용인시 처인구,2023-08-24,39.9,42.8,38.2,93.9,24.4,0.5,3.1,10.0,0.0,5.6,,24.0,,28.2,2023,8,24
237,449872A001,용인시 처인구,2023-08-25,40.7,44.8,36.8,80.6,193.2,1.1,6.6,0.0,414.0,19.4,,26.2,,26.1,2023,8,25
238,449872A001,용인시 처인구,2023-08-26,38.7,44.6,35.5,83.0,6.0,0.5,4.0,0.0,420.0,16.5,,25.0,,25.2,2023,8,26
239,449872A001,용인시 처인구,2023-08-27,38.3,43.1,34.7,83.8,9.9,0.4,3.1,0.0,307.0,13.5,,24.6,,24.6,2023,8,27
240,449872A001,용인시 처인구,2023-08-28,32.2,38.5,23.8,86.9,351.1,0.5,3.1,3.0,3.0,5.8,,22.6,,24.7,2023,8,28
241,449872A001,용인시 처인구,2023-08-29,24.0,27.5,21.3,89.3,188.3,0.7,7.2,14.5,0.0,4.8,,23.0,,26.8,2023,8,29
242,449872A001,용인시 처인구,2023-08-30,21.7,25.3,20.0,93.5,331.1,0.2,2.4,13.0,25.0,5.5,,21.4,,29.1,2023,8,30
243,449872A001,용인시 처인구,2023-08-31,22.2,27.4,19.6,86.5,160.2,0.3,2.6,0.0,345.0,13.6,,22.5,,28.9,2023,8,31
