no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,689861A001,울산시 청량면,2015-03-01,3.9,8.9,-1.4,75.4,318.4,1.6,9.7,3.5,453.0,,,,,,2015,3,1
61,689861A001,울산시 청량면,2015-03-02,2.7,11.3,-3.6,59.3,239.4,1.4,6.1,0.0,584.0,,,,,,2015,3,2
62,689861A001,울산시 청량면,2015-03-03,1.6,5.3,-2.5,94.5,325.1,0.6,4.3,8.0,0.0,,,,,,2015,3,3
63,689861A001,울산시 청량면,2015-03-04,2.4,7.4,-1.0,48.0,316.3,2.3,10.7,0.0,571.0,,,,,,2015,3,4
64,689861A001,울산시 청량면,2015-03-05,2.0,9.1,-3.3,51.8,323.1,1.5,7.5,0.0,438.0,,,,,,2015,3,5
65,689861A001,울산시 청량면,2015-03-06,4.1,9.5,-1.6,67.7,347.8,0.9,7.0,0.0,383.0,,,,,,2015,3,6
66,689861A001,울산시 청량면,2015-03-07,3.7,13.3,-2.8,79.4,163.6,1.0,7.3,0.0,575.0,,,,,,2015,3,7
67,689861A001,울산시 청량면,2015-03-08,4.5,16.4,-3.5,77.5,139.9,0.6,7.0,0.0,579.0,,,,,,2015,3,8
68,689861A001,울산시 청량면,2015-03-09,7.7,23.1,-0.5,49.3,316.7,2.2,11.2,0.0,491.0,,,,,,2015,3,9
69,689861A001,울산시 청량면,2015-03-10,-0.7,10.2,-6.2,27.5,319.3,3.0,13.1,0.0,605.0,,,,,,2015,3,10
70,689861A001,울산시 청량면,2015-03-11,4.3,45.4,-5.0,36.2,275.7,2.0,9.4,0.0,585.0,,,,,,2015,3,11
71,689861A001,울산시 청량면,2015-03-12,5.3,32.2,-5.5,36.8,272.4,1.7,9.4,0.0,609.0,,,,,,2015,3,12
72,689861A001,울산시 청량면,2015-03-13,6.1,40.8,-4.2,67.4,252.9,1.2,8.3,0.0,323.0,,,,,,2015,3,13
73,689861A001,울산시 청량면,2015-03-14,5.4,13.6,-1.8,53.1,163.1,1.2,7.9,0.0,509.0,,,,,,2015,3,14
74,689861A001,울산시 청량면,2015-03-15,7.2,17.2,-1.9,59.7,170.3,0.8,6.2,0.0,575.0,,,,,,2015,3,15
75,689861A001,울산시 청량면,2015-03-16,7.8,18.6,-0.4,65.7,156.5,0.9,6.2,0.0,572.0,,,,,,2015,3,16
76,689861A001,울산시 청량면,2015-03-17,11.1,25.1,-0.2,66.3,157.4,0.6,5.5,0.0,523.0,,,,,,2015,3,17
77,689861A001,울산시 청량면,2015-03-18,9.2,11.9,6.5,92.5,322.1,1.2,5.3,43.0,0.0,,,,,,2015,3,18
78,689861A001,울산시 청량면,2015-03-19,10.0,17.0,5.2,87.5,327.8,1.2,6.7,1.0,354.0,,,,,,2015,3,19
79,689861A001,울산시 청량면,2015-03-20,11.1,19.2,5.1,81.8,151.8,0.8,7.4,0.0,355.0,,,,,,2015,3,20
80,689861A001,울산시 청량면,2015-03-21,12.3,23.0,4.5,68.9,283.2,0.8,8.7,0.0,604.0,,,,,,2015,3,21
81,689861A001,울산시 청량면,2015-03-22,11.8,19.4,3.2,41.3,314.3,1.7,9.7,0.0,618.0,,,,,,2015,3,22
82,689861A001,울산시 청량면,2015-03-23,7.7,13.8,0.9,28.8,316.1,2.2,11.1,0.0,633.0,,,,,,2015,3,23
83,689861A001,울산시 청량면,2015-03-24,4.3,13.7,-3.1,60.6,213.1,1.1,7.1,0.0,632.0,,,,,,2015,3,24
84,689861A001,울산시 청량면,2015-03-25,5.0,13.8,-3.1,69.7,154.3,1.3,8.4,0.0,624.0,,,,,,2015,3,25
85,689861A001,울산시 청량면,2015-03-26,7.6,19.7,-2.8,62.0,187.4,0.7,6.3,0.0,639.0,,,,,,2015,3,26
86,689861A001,울산시 청량면,2015-03-27,10.8,22.0,-1.6,49.3,264.5,1.0,6.0,0.0,605.0,,,,,,2015,3,27
87,689861A001,울산시 청량면,2015-03-28,12.2,22.7,-0.8,55.8,204.2,1.2,7.5,0.0,580.0,,,,,,2015,3,28
88,689861A001,울산시 청량면,2015-03-29,11.8,21.4,4.8,69.7,161.6,1.1,7.0,0.0,602.0,,,,,,2015,3,29
89,689861A001,울산시 청량면,2015-03-30,12.1,21.4,3.0,73.2,157.3,1.5,8.6,0.0,629.0,,,,,,2015,3,30
90,689861A001,울산시 청량면,2015-03-31,12.5,18.2,4.7,88.8,170.8,0.8,5.9,0.0,49.0,,,,,,2015,3,31
