no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,767862A001,울진군 매화면,2012-12-01,1.7,5.8,-2.7,73.5,145.2,1.7,15.5,0.0,96,6.8,235,,3.7,,2012,12,1
336,767862A001,울진군 매화면,2012-12-02,4.3,10.1,0.0,76.3,188.6,1.2,14.6,0.0,81,5.9,190,,4.4,,2012,12,2
337,767862A001,울진군 매화면,2012-12-03,5.3,10.6,-2.1,63.3,186.2,2.8,19.4,0.0,38,6.5,79,,4.2,,2012,12,3
338,767862A001,울진군 매화면,2012-12-04,1.9,4.7,-0.4,31.8,172.4,3.4,20.1,0.0,335,11.8,0,,3.3,,2012,12,4
339,767862A001,울진군 매화면,2012-12-05,1.9,6.0,-3.2,43.4,191.3,2.8,17.7,0.5,184,8.3,156,,2.5,,2012,12,5
340,767862A001,울진군 매화면,2012-12-06,-2.7,1.2,-6.7,35.6,176.6,3.1,23.8,0.0,334,11.8,0,,1.5,,2012,12,6
341,767862A001,울진군 매화면,2012-12-07,-3.1,2.6,-7.4,76.8,194.7,1.4,9.0,1.0,34,4.4,122,,0.7,,2012,12,7
342,767862A001,울진군 매화면,2012-12-08,-1.8,1.8,-4.6,39.8,181.5,3.2,20.5,0.0,312,11.1,0,,0.8,,2012,12,8
343,767862A001,울진군 매화면,2012-12-09,-3.7,0.3,-6.6,35.7,156.6,3.0,18.5,0.0,330,11.5,0,,0.4,,2012,12,9
344,767862A001,울진군 매화면,2012-12-10,-1.4,3.7,-4.6,34.4,194.2,2.4,14.2,0.0,329,11.5,0,,-0.1,,2012,12,10
345,767862A001,울진군 매화면,2012-12-11,-1.2,6.1,-9.0,38.5,174.0,1.3,9.5,0.0,323,11.2,0,,-0.3,,2012,12,11
346,767862A001,울진군 매화면,2012-12-12,-1.1,7.6,-7.8,50.9,122.7,0.8,7.1,0.0,323,11.4,0,,-0.4,,2012,12,12
347,767862A001,울진군 매화면,2012-12-13,0.4,11.9,-9.0,46.9,203.7,1.0,7.1,0.0,306,10.6,0,,-0.5,,2012,12,13
348,767862A001,울진군 매화면,2012-12-14,3.1,6.8,-2.3,78.5,173.0,0.8,8.2,30.5,0,0.9,735,,-0.3,,2012,12,14
349,767862A001,울진군 매화면,2012-12-15,5.9,8.3,-0.3,86.3,93.7,1.7,10.6,0.0,0,2.5,493,,1.8,,2012,12,15
350,767862A001,울진군 매화면,2012-12-16,4.3,12.0,-2.6,84.9,117.2,0.6,8.3,0.0,169,8.0,170,,2.3,,2012,12,16
351,767862A001,울진군 매화면,2012-12-17,5.6,13.5,-0.3,67.3,179.9,1.6,15.1,0.0,269,10.2,24,,3.2,,2012,12,17
352,767862A001,울진군 매화면,2012-12-18,1.4,5.2,-1.9,41.7,202.0,2.8,15.3,0.0,308,10.6,0,,1.9,,2012,12,18
353,767862A001,울진군 매화면,2012-12-19,-0.6,4.7,-4.3,43.7,182.4,1.5,13.7,0.0,311,10.9,0,,0.9,,2012,12,19
354,767862A001,울진군 매화면,2012-12-20,1.6,8.4,-3.3,39.9,182.0,1.5,11.2,0.0,299,10.7,0,,0.5,,2012,12,20
355,767862A001,울진군 매화면,2012-12-21,3.1,8.4,-2.0,84.0,190.2,0.5,4.8,0.5,0,3.3,747,,0.8,,2012,12,21
356,767862A001,울진군 매화면,2012-12-22,2.9,7.8,-1.2,70.0,196.0,1.5,11.8,0.0,210,8.6,518,,1.8,,2012,12,22
357,767862A001,울진군 매화면,2012-12-23,-2.1,1.0,-6.6,34.5,177.1,2.8,17.3,0.0,318,10.9,0,,0.9,,2012,12,23
358,767862A001,울진군 매화면,2012-12-24,-4.1,1.1,-7.4,27.4,197.5,2.1,17.7,0.0,330,11.5,0,,0.1,,2012,12,24
359,767862A001,울진군 매화면,2012-12-25,-1.8,3.4,-7.7,40.0,177.6,2.7,23.4,0.0,307,10.6,0,,-0.3,,2012,12,25
360,767862A001,울진군 매화면,2012-12-26,-4.7,0.8,-9.0,38.8,181.1,1.8,10.9,0.0,329,11.3,0,,-0.6,,2012,12,26
361,767862A001,울진군 매화면,2012-12-27,-1.4,6.9,-10.9,44.8,167.2,1.1,11.1,0.0,300,11.3,0,,-0.8,,2012,12,27
362,767862A001,울진군 매화면,2012-12-28,1.7,5.9,-2.5,84.5,161.6,1.0,10.3,9.5,0,2.1,988,,-0.6,,2012,12,28
363,767862A001,울진군 매화면,2012-12-29,5.7,10.9,2.0,84.4,170.0,1.0,8.3,0.0,67,5.5,753,,-0.5,,2012,12,29
364,767862A001,울진군 매화면,2012-12-30,1.0,4.8,-5.0,49.4,169.3,2.5,29.8,0.0,68,6.2,24,,-0.3,,2012,12,30
365,767862A001,울진군 매화면,2012-12-31,-4.0,0.0,-7.1,38.0,174.1,2.6,17.3,0.0,323,11.3,0,,-0.1,,2012,12,31
