stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
767862A001,울진군 매화면,2024-03-01,1.9,5.5,-3.3,34.9,186.6,2.2,10.3,0.0,529,19.6,398,,3.9,28.7,2024,3,1
767862A001,울진군 매화면,2024-03-02,-0.5,4.9,-5.7,34.5,176.2,2.3,12.8,0.0,546,19.5,0,,2.4,28.1,2024,3,2
767862A001,울진군 매화면,2024-03-03,4.4,10.0,-0.4,62.3,184.5,1.4,10.0,0.0,321,12.2,0,,3.8,27.6,2024,3,3
767862A001,울진군 매화면,2024-03-04,4.4,9.3,-1.3,69.1,182.7,1.5,6.7,0.0,477,16.5,0,,4.7,27.3,2024,3,4
767862A001,울진군 매화면,2024-03-05,5.5,7.3,4.0,86.0,23.8,1.0,5.9,4.5,0,2.7,845,,5.4,28.7,2024,3,5
767862A001,울진군 매화면,2024-03-06,5.0,6.6,3.8,68.8,15.2,3.2,10.2,0.0,75,8.3,360,,5.2,30.0,2024,3,6
767862A001,울진군 매화면,2024-03-07,3.1,6.2,-0.9,79.5,182.7,0.8,6.2,0.0,46,5.1,276,,4.8,29.1,2024,3,7
767862A001,울진군 매화면,2024-03-08,3.5,8.8,-1.0,46.7,156.6,1.9,10.5,0.0,560,19.9,0,,4.3,28.7,2024,3,8
767862A001,울진군 매화면,2024-03-09,0.9,4.8,-4.2,57.4,20.2,1.2,8.1,0.0,555,19.7,0,,4.1,28.1,2024,3,9
767862A001,울진군 매화면,2024-03-10,2.6,9.9,-4.6,60.4,163.4,0.9,6.6,0.0,571,20.6,0,,4.3,27.7,2024,3,10
767862A001,울진군 매화면,2024-03-11,7.8,14.6,0.5,39.2,196.4,1.7,8.0,0.0,264,10.8,0,,5.1,27.3,2024,3,11
767862A001,울진군 매화면,2024-03-12,4.4,9.7,-1.4,66.9,10.9,1.8,9.0,0.0,144,9.2,0,,5.1,26.8,2024,3,12
767862A001,울진군 매화면,2024-03-13,6.4,15.2,-3.3,49.9,178.4,1.6,10.2,0.0,540,19.5,0,,5.2,26.5,2024,3,13
767862A001,울진군 매화면,2024-03-14,9.5,15.6,2.9,37.8,153.9,2.0,9.1,0.0,580,20.3,0,,6.8,26.0,2024,3,14
767862A001,울진군 매화면,2024-03-15,13.4,21.0,3.4,28.4,189.0,2.4,13.5,0.0,582,20.5,0,,7.8,25.5,2024,3,15
767862A001,울진군 매화면,2024-03-16,11.0,14.4,3.4,60.2,160.8,1.7,10.0,0.0,552,18.6,0,,9.0,24.9,2024,3,16
767862A001,울진군 매화면,2024-03-17,10.8,18.9,5.4,48.6,32.3,2.5,11.1,0.0,424,16.0,0,,9.1,24.3,2024,3,17
767862A001,울진군 매화면,2024-03-18,6.3,10.3,0.3,57.1,155.5,2.1,10.3,0.0,588,21.1,0,,8.2,23.6,2024,3,18
767862A001,울진군 매화면,2024-03-19,8.1,13.9,2.6,43.2,183.5,2.1,15.3,0.0,369,15.2,62,,8.1,23.1,2024,3,19
767862A001,울진군 매화면,2024-03-20,3.0,5.9,0.0,72.6,16.2,2.2,11.5,1.5,245,13.9,430,,6.8,22.7,2024,3,20
767862A001,울진군 매화면,2024-03-21,4.8,8.2,0.0,49.8,354.9,1.7,6.5,0.0,460,17.2,0,,6.3,22.8,2024,3,21
767862A001,울진군 매화면,2024-03-22,7.4,14.4,-0.3,68.5,187.4,2.6,14.6,2.0,384,14.7,132,,7.0,22.7,2024,3,22
767862A001,울진군 매화면,2024-03-23,8.2,12.7,3.2,87.1,37.1,1.0,5.1,1.5,157,11.9,469,,8.9,24.8,2024,3,23
767862A001,울진군 매화면,2024-03-24,7.8,14.2,1.9,78.7,28.8,1.1,7.4,0.0,404,17.9,0,,8.5,24.7,2024,3,24
767862A001,울진군 매화면,2024-03-25,9.1,12.2,6.8,76.1,18.5,2.5,9.0,5.5,9,4.8,408,,8.8,25.4,2024,3,25
767862A001,울진군 매화면,2024-03-26,5.6,8.0,0.7,81.5,14.3,2.5,8.5,33.0,16,9.7,388,,7.6,32.6,2024,3,26
767862A001,울진군 매화면,2024-03-27,7.2,14.0,-0.9,78.3,167.2,1.8,9.6,0.0,585,21.3,0,,7.7,29.5,2024,3,27
767862A001,울진군 매화면,2024-03-28,9.0,12.2,6.9,87.2,199.9,0.8,7.0,18.0,0,2.8,484,,8.7,31.5,2024,3,28
767862A001,울진군 매화면,2024-03-29,12.1,18.9,3.5,52.5,183.5,2.6,14.7,0.0,587,21.0,202,,9.3,30.5,2024,3,29
767862A001,울진군 매화면,2024-03-30,11.7,20.1,4.4,40.4,190.9,2.6,13.3,0.0,608,23.1,0,,9.7,28.7,2024,3,30
767862A001,울진군 매화면,2024-03-31,8.6,15.4,2.0,60.6,149.8,0.9,6.5,0.0,581,21.5,0,,9.9,27.8,2024,3,31
