no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,220844A001,원주시 흥업면,2019-06-01,17.3,23.8,9.9,74.1,233.0,1.2,6.0,0.0,683,24.2,0,17.8,18.7,-2.2,2019,6,1
153,220844A001,원주시 흥업면,2019-06-02,20.7,27.8,13.6,64.1,210.7,1.3,6.2,0.0,747,29.2,0,21.6,19.4,-2.6,2019,6,2
154,220844A001,원주시 흥업면,2019-06-03,21.1,29.1,12.3,63.1,227.0,1.0,5.8,0.0,712,27.4,0,21.2,20.0,-2.8,2019,6,3
155,220844A001,원주시 흥업면,2019-06-04,22.7,29.9,14.8,66.9,234.1,1.3,6.4,0.0,719,27.1,0,23.1,20.6,-3.0,2019,6,4
156,220844A001,원주시 흥업면,2019-06-05,22.8,30.7,15.3,74.4,243.6,1.3,6.4,0.0,689,27.6,0,23.6,21.2,-3.2,2019,6,5
157,220844A001,원주시 흥업면,2019-06-06,21.5,25.8,17.8,89.8,313.1,0.7,5.3,10.0,50,7.5,416,21.0,21.3,-3.5,2019,6,6
158,220844A001,원주시 흥업면,2019-06-07,18.7,22.3,16.7,92.2,352.5,1.3,6.7,26.0,48,8.1,700,18.5,20.4,-3.6,2019,6,7
159,220844A001,원주시 흥업면,2019-06-08,20.4,27.1,13.5,78.0,206.4,1.3,5.3,0.0,540,24.9,0,21.0,20.7,-3.4,2019,6,8
160,220844A001,원주시 흥업면,2019-06-09,20.8,28.2,15.7,81.6,250.1,1.1,8.0,28.0,398,21.8,311,21.6,21.3,0.9,2019,6,9
161,220844A001,원주시 흥업면,2019-06-10,17.9,22.7,14.9,83.2,87.2,1.0,5.0,0.5,119,14.8,664,18.4,20.8,14.4,2019,6,10
162,220844A001,원주시 흥업면,2019-06-11,18.8,24.9,13.3,75.3,214.5,1.3,4.5,0.0,627,28.5,0,19.8,20.9,12.1,2019,6,11
163,220844A001,원주시 흥업면,2019-06-12,20.1,27.1,12.6,77.3,216.5,1.3,6.4,0.0,686,29.3,0,20.7,21.1,11.3,2019,6,12
164,220844A001,원주시 흥업면,2019-06-13,22.0,28.7,14.7,75.4,232.3,1.3,5.8,0.0,699,28.7,0,22.3,21.6,10.6,2019,6,13
165,220844A001,원주시 흥업면,2019-06-14,21.3,26.8,17.0,81.2,212.8,0.9,3.7,0.0,201,17.1,0,21.5,21.8,9.5,2019,6,14
166,220844A001,원주시 흥업면,2019-06-15,20.1,26.8,15.0,83.3,217.1,1.4,9.4,0.5,461,23.1,293,20.8,21.8,8.5,2019,6,15
167,220844A001,원주시 흥업면,2019-06-16,19.7,26.3,13.5,79.5,208.8,1.1,5.7,0.0,439,25.3,551,20.6,21.7,7.6,2019,6,16
168,220844A001,원주시 흥업면,2019-06-17,21.4,25.5,17.9,79.1,188.6,1.9,6.6,0.0,561,26.7,0,22.1,22.0,6.6,2019,6,17
169,220844A001,원주시 흥업면,2019-06-18,19.8,23.7,16.5,91.5,165.0,1.0,4.2,11.0,90,12.1,847,20.1,21.8,5.4,2019,6,18
170,220844A001,원주시 흥업면,2019-06-19,20.9,24.3,18.0,91.7,156.8,0.8,3.5,1.0,3,9.6,670,21.3,21.8,5.2,2019,6,19
171,220844A001,원주시 흥업면,2019-06-20,22.5,27.5,18.2,84.6,210.9,1.4,5.6,0.0,496,23.8,0,23.4,22.4,5.3,2019,6,20
172,220844A001,원주시 흥업면,2019-06-21,22.0,27.4,18.1,83.4,278.6,1.1,5.1,0.0,323,19.7,0,22.8,22.8,4.7,2019,6,21
173,220844A001,원주시 흥업면,2019-06-22,22.1,28.8,16.8,69.6,0.7,1.0,5.1,0.0,583,27.2,0,22.6,22.9,4.3,2019,6,22
174,220844A001,원주시 흥업면,2019-06-23,21.0,28.4,13.0,73.6,208.8,1.0,4.5,0.0,613,26.7,0,21.2,22.5,4.0,2019,6,23
175,220844A001,원주시 흥업면,2019-06-24,22.7,29.3,16.5,76.9,206.1,1.3,5.3,0.0,645,28.0,0,23.6,22.8,3.8,2019,6,24
176,220844A001,원주시 흥업면,2019-06-25,23.8,31.0,15.5,70.0,236.8,1.2,6.3,0.0,788,29.9,0,24.0,23.0,2.9,2019,6,25
177,220844A001,원주시 흥업면,2019-06-26,22.4,27.0,17.8,85.3,219.8,0.7,5.4,0.0,103,11.4,37,22.2,22.9,2.1,2019,6,26
178,220844A001,원주시 흥업면,2019-06-27,23.7,29.3,19.7,90.8,209.6,1.0,5.2,2.0,253,19.2,666,24.8,23.3,1.9,2019,6,27
179,220844A001,원주시 흥업면,2019-06-28,24.7,28.8,21.6,91.3,215.8,1.1,5.9,0.0,86,11.1,94,25.0,23.8,1.5,2019,6,28
180,220844A001,원주시 흥업면,2019-06-29,21.9,25.0,18.1,93.2,247.4,0.6,4.3,1.5,43,10.7,654,22.4,23.5,1.2,2019,6,29
181,220844A001,원주시 흥업면,2019-06-30,23.0,26.7,19.2,89.4,216.6,1.5,6.4,0.0,117,15.5,0,23.6,23.5,1.0,2019,6,30
