no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,220844A001,,2010-01-01,-10.0,-3.7,-17.1,60.2,334.3,0.5,2.5,0.0,366,2.2,0,,-0.5,,2010
2,220844A001,,2010-01-02,-4.1,-0.9,-8.1,78.4,247.4,0.5,3.7,0.0,0,0.0,36,,-1.0,,2010
3,220844A001,,2010-01-03,-7.7,-2.4,-14.2,61.9,244.9,0.8,3.6,0.0,462,0.2,0,,-0.8,,2010
4,220844A001,,2010-01-04,-6.1,-3.3,-10.0,82.2,239.3,0.6,4.1,0.0,0,0.4,294,,-1.2,,2010
5,220844A001,,2010-01-05,-9.9,-5.8,-15.7,69.5,229.4,1.4,4.2,0.0,168,0.0,42,,-0.8,,2010
6,220844A001,,2010-01-06,-15.7,-7.3,-23.4,71.8,204.3,0.7,3.4,0.0,468,7.8,12,,-0.9,,2010
7,220844A001,,2010-01-07,-16.0,-5.9,-23.3,73.6,209.9,0.4,2.4,0.0,468,2.2,0,,-0.9,,2010
8,220844A001,,2010-01-08,-13.6,-2.5,-20.8,73.7,348.3,0.3,2.0,0.0,462,2.3,0,,-1.0,,2010
9,220844A001,,2010-01-09,-10.3,-3.8,-17.9,78.1,319.1,0.2,1.6,0.0,12,1.9,0,,-1.2,,2010
10,220844A001,,2010-01-10,-6.5,0.0,-12.2,78.9,270.1,0.5,3.1,0.0,342,0.5,0,,-1.2,,2010
11,220844A001,,2010-01-11,-7.0,-0.8,-13.2,75.7,245.8,0.7,3.5,0.0,66,1.5,84,,-1.1,,2010
12,220844A001,,2010-01-12,-9.5,-5.3,-14.0,56.9,220.5,1.6,4.7,0.0,420,0.3,0,,-0.9,,2010
13,220844A001,,2010-01-13,-13.3,-8.5,-18.4,49.9,202.2,1.8,6.3,0.0,474,2.1,0,,-0.8,,2010
14,220844A001,,2010-01-14,-13.4,-4.5,-22.4,63.5,323.7,0.6,2.5,0.0,420,2.0,0,,-1.1,,2010
15,220844A001,,2010-01-15,-7.7,1.5,-14.7,69.0,219.8,0.8,3.3,0.0,360,0.9,0,,-1.4,,2010
16,220844A001,,2010-01-16,-10.6,-1.8,-18.1,68.3,215.8,0.6,2.9,0.0,474,1.0,0,,-1.5,,2010
17,220844A001,,2010-01-17,-9.6,-1.0,-17.1,68.5,210.8,0.4,3.7,0.5,462,1.9,0,,-1.6,,2010
18,220844A001,,2010-01-18,-6.6,0.7,-13.8,75.7,211.0,0.3,1.6,0.0,0,0.3,60,,-1.7,,2010
19,220844A001,,2010-01-19,-2.8,7.4,-11.8,76.4,246.9,0.4,2.0,4.0,276,0.0,342,,-1.6,,2010
20,220844A001,,2010-01-20,3.3,6.0,1.2,91.9,26.5,0.1,2.5,17.0,0,0.0,1380,,-0.6,,2010
21,220844A001,,2010-01-21,-0.7,6.3,-6.5,72.9,219.0,1.6,4.8,5.5,210,0.0,312,,-1.0,,2010
