no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
275,269804A001,음성군 소이면,2011-10-02,9.6,16.8,4.1,71.5,154.7,2.1,12.5,0.5,489.0,6.1,0,7.9,15.1,,2011,10,2
276,269804A001,음성군 소이면,2011-10-03,9.2,20.1,2.6,75.9,179.2,1.9,12.6,0.0,,40.0,0,7.5,14.1,,2011,10,3
277,269804A001,음성군 소이면,2011-10-04,10.6,21.1,4.1,76.6,183.5,1.8,13.0,0.5,,37.3,0,8.9,14.1,,2011,10,4
278,269804A001,음성군 소이면,2011-10-05,12.4,20.6,7.2,73.1,159.6,2.0,12.7,0.0,,39.5,0,10.7,14.5,,2011,10,5
279,269804A001,음성군 소이면,2011-10-06,12.3,21.6,6.4,71.9,162.1,2.7,15.5,0.0,,39.6,0,10.6,14.1,,2011,10,6
280,269804A001,음성군 소이면,2011-10-07,10.8,20.9,4.5,77.3,181.8,2.9,13.0,0.0,,38.5,0,9.1,13.9,,2011,10,7
281,269804A001,음성군 소이면,2011-10-08,11.2,21.4,6.0,82.1,171.5,3.2,13.4,0.0,,38.3,0,9.5,14.1,,2011,10,8
282,269804A001,음성군 소이면,2011-10-09,12.0,21.7,5.9,84.1,180.8,2.7,13.2,0.0,,39.7,0,10.3,14.0,,2011,10,9
283,269804A001,음성군 소이면,2011-10-10,13.2,23.6,8.6,81.8,165.8,2.3,13.2,0.0,,38.1,0,11.5,14.3,,2011,10,10
284,269804A001,음성군 소이면,2011-10-11,12.7,22.2,5.2,79.9,166.0,2.4,12.9,0.0,,37.8,0,11.0,14.6,,2011,10,11
285,269804A001,음성군 소이면,2011-10-12,10.9,20.0,4.7,82.3,164.7,2.1,12.9,0.0,,38.5,0,9.3,14.0,,2011,10,12
286,269804A001,음성군 소이면,2011-10-13,12.5,23.5,7.5,79.4,177.4,2.8,13.1,0.0,,34.5,0,10.8,14.1,,2011,10,13
287,269804A001,음성군 소이면,2011-10-14,12.2,15.1,8.1,90.8,168.8,1.8,13.0,4.5,,22.8,0,10.5,13.8,,2011,10,14
288,269804A001,음성군 소이면,2011-10-15,13.5,13.6,13.4,92.6,136.0,0.6,2.2,0.0,120.0,0.0,0,11.8,13.8,,2011,10,15
292,269804A001,음성군 소이면,2011-10-19,10.6,19.6,5.7,81.9,169.6,2.1,12.5,0.0,459.0,1.2,0,8.9,12.0,,2011,10,19
293,269804A001,음성군 소이면,2011-10-20,11.0,20.6,4.2,78.9,148.3,2.8,12.9,0.0,,39.8,0,9.3,11.7,,2011,10,20
294,269804A001,음성군 소이면,2011-10-21,13.0,20.0,5.8,80.6,140.5,2.7,13.0,4.0,,39.8,0,11.4,12.1,,2011,10,21
295,269804A001,음성군 소이면,2011-10-22,13.8,14.2,13.5,94.0,121.7,0.6,3.4,13.0,400.0,0.0,0,12.1,12.7,,2011,10,22
303,269804A001,음성군 소이면,2011-10-30,11.5,19.8,6.6,81.1,149.4,0.8,5.9,0.0,514.0,6.0,0,9.8,12.3,,2011,10,30
304,269804A001,음성군 소이면,2011-10-31,10.4,20.8,5.8,81.2,156.4,0.8,6.4,0.5,,38.7,0,8.8,11.6,,2011,10,31
