no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,769912A001,의성군 봉양면,2018-03-01,4.0,7.6,-2.1,58.1,256.6,3.2,16.0,0.5,540,16.5,,4.2,-0.1,,2018,3,1
61,769912A001,의성군 봉양면,2018-03-02,-0.1,9.7,-8.0,52.2,225.9,0.7,4.6,0.0,621,17.5,,0.3,-0.1,,2018,3,2
62,769912A001,의성군 봉양면,2018-03-03,4.0,18.0,-7.2,61.0,175.4,0.6,4.1,0.0,615,16.0,,3.7,-0.1,,2018,3,3
63,769912A001,의성군 봉양면,2018-03-04,10.4,20.6,-0.8,64.9,98.8,1.0,10.0,16.0,262,12.4,,10.7,0.5,,2018,3,4
64,769912A001,의성군 봉양면,2018-03-05,3.5,11.8,,76.8,111.9,1.2,9.5,13.5,52,4.2,,5.0,1.6,,2018,3,5
65,769912A001,의성군 봉양면,2018-03-06,4.5,12.3,-2.4,63.9,112.0,0.8,8.5,0.0,636,18.9,,4.8,2.0,,2018,3,6
66,769912A001,의성군 봉양면,2018-03-07,3.0,7.1,-2.1,72.5,89.9,1.0,8.7,5.0,0,3.1,,2.8,2.2,,2018,3,7
67,769912A001,의성군 봉양면,2018-03-08,-8.7,2.6,,1.7,265.0,0.1,2.1,12.0,0,3.8,,0.7,1.8,,2018,3,8
68,769912A001,의성군 봉양면,2018-03-09,4.0,6.9,,33.5,94.8,0.4,3.9,4.5,110,8.9,,1.7,1.5,,2018,3,9
69,769912A001,의성군 봉양면,2018-03-10,6.9,12.7,,38.8,216.5,0.8,5.4,0.0,605,18.4,,4.5,2.3,,2018,3,10
70,769912A001,의성군 봉양면,2018-03-11,5.1,14.6,-3.4,63.4,233.2,1.0,9.1,0.0,621,18.4,,4.7,3.1,,2018,3,11
71,769912A001,의성군 봉양면,2018-03-12,6.9,18.9,-4.1,56.7,241.5,0.6,4.8,0.0,619,18.3,,5.8,3.6,,2018,3,12
72,769912A001,의성군 봉양면,2018-03-13,11.6,22.3,-1.3,51.2,228.1,0.9,5.6,0.0,639,19.1,,9.2,4.7,,2018,3,13
73,769912A001,의성군 봉양면,2018-03-14,14.5,23.8,2.0,56.4,219.4,0.7,5.0,0.0,639,19.0,,12.6,6.3,,2018,3,14
74,769912A001,의성군 봉양면,2018-03-15,8.4,16.9,7.2,40.0,96.0,0.3,2.6,6.5,0,2.9,,11.6,7.4,,2018,3,15
75,769912A001,의성군 봉양면,2018-03-16,3.5,8.6,,75.1,100.3,1.7,10.6,2.0,247,12.2,,4.1,6.8,,2018,3,16
76,769912A001,의성군 봉양면,2018-03-17,4.1,13.4,-5.2,55.9,201.4,0.5,3.8,0.0,642,21.0,,4.0,5.1,,2018,3,17
77,769912A001,의성군 봉양면,2018-03-18,7.8,14.1,-1.7,44.3,168.1,0.4,3.5,1.0,195,9.8,,6.5,5.3,,2018,3,18
78,769912A001,의성군 봉양면,2018-03-19,6.6,10.1,,53.4,126.6,0.6,7.4,26.5,0,2.6,,6.9,6.4,,2018,3,19
79,769912A001,의성군 봉양면,2018-03-20,4.6,7.9,2.3,56.4,109.0,2.3,13.1,0.0,322,15.3,,5.5,5.9,,2018,3,20
80,769912A001,의성군 봉양면,2018-03-21,1.6,3.4,-0.2,47.8,116.9,0.7,9.9,12.0,0,5.1,,1.4,4.4,,2018,3,21
81,769912A001,의성군 봉양면,2018-03-22,6.4,11.8,,39.8,238.4,0.9,6.5,0.5,626,21.4,,5.4,4.9,,2018,3,22
82,769912A001,의성군 봉양면,2018-03-23,8.1,15.2,,37.8,212.0,0.7,5.4,0.0,647,21.1,,5.8,5.4,,2018,3,23
83,769912A001,의성군 봉양면,2018-03-24,8.9,16.9,-1.9,55.0,247.0,1.3,7.8,0.0,604,18.2,,7.9,6.0,,2018,3,24
84,769912A001,의성군 봉양면,2018-03-25,12.5,20.4,1.7,36.2,242.4,1.1,7.6,0.0,589,21.3,,9.6,7.1,,2018,3,25
85,769912A001,의성군 봉양면,2018-03-26,11.1,21.7,-1.0,56.0,243.3,1.0,7.1,0.0,667,21.2,,10.3,7.7,,2018,3,26
86,769912A001,의성군 봉양면,2018-03-27,14.1,23.1,1.7,49.7,252.0,1.2,8.7,0.0,645,20.5,,12.8,8.5,,2018,3,27
87,769912A001,의성군 봉양면,2018-03-28,15.0,24.6,3.2,45.6,242.3,0.9,7.9,0.0,632,20.8,,13.5,9.4,,2018,3,28
88,769912A001,의성군 봉양면,2018-03-29,13.6,22.5,6.2,67.7,141.0,1.0,5.8,0.0,386,14.7,,14.4,10.2,,2018,3,29
89,769912A001,의성군 봉양면,2018-03-30,10.7,19.6,3.0,66.0,105.0,0.8,6.0,0.0,627,18.2,,12.0,10.3,,2018,3,30
90,769912A001,의성군 봉양면,2018-03-31,14.2,23.6,3.2,49.2,201.0,0.6,4.0,0.0,633,19.3,,13.1,10.3,,2018,3,31
