no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,769912A001,의성군 봉양면,2017-01-01,-0.9,8.8,-7.0,86.0,198.6,0.5,4.9,0.0,307,6.7,,-1.4,1.4,,2017
2,769912A001,의성군 봉양면,2017-01-02,0.1,10.1,-6.2,87.9,173.8,0.5,4.4,0.0,81,4.9,,-0.3,1.6,,2017
3,769912A001,의성군 봉양면,2017-01-03,0.3,9.6,-5.5,74.5,233.4,0.7,5.8,0.0,420,9.0,,-0.5,1.9,,2017
4,769912A001,의성군 봉양면,2017-01-04,-0.1,10.6,-6.9,79.1,220.5,0.5,5.7,0.0,386,8.3,,-0.6,1.8,,2017
5,769912A001,의성군 봉양면,2017-01-05,1.2,8.0,-5.7,82.5,107.4,0.3,4.9,0.0,51,4.2,,1.0,2.0,,2017
6,769912A001,의성군 봉양면,2017-01-06,2.9,8.8,-4.2,81.7,116.8,0.3,4.1,0.0,60,5.2,,2.5,3.2,,2017
7,769912A001,의성군 봉양면,2017-01-07,-0.1,8.7,-6.3,84.8,238.5,0.2,2.5,0.0,257,7.2,,-0.6,2.8,,2017
8,769912A001,의성군 봉양면,2017-01-08,4.8,12.4,0.6,80.4,231.7,0.4,3.8,0.0,62,5.4,,4.9,3.7,,2017
9,769912A001,의성군 봉양면,2017-01-09,4.0,9.0,-5.5,64.6,255.3,1.7,8.5,0.0,268,7.5,,3.5,4.2,,2017
10,769912A001,의성군 봉양면,2017-01-10,-1.6,4.7,-8.2,61.6,255.0,1.4,9.2,0.0,445,10.1,,-2.3,2.6,,2017
11,769912A001,의성군 봉양면,2017-01-11,-3.2,2.8,-8.9,50.2,250.6,1.3,8.9,0.0,472,10.4,,-3.9,1.6,,2017
12,769912A001,의성군 봉양면,2017-01-12,-1.9,6.7,-8.5,67.5,254.3,1.2,9.4,0.0,226,6.2,,-2.3,1.3,,2017
