no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,037322D007,의성군 옥산면,2022-08-01,26.6,29.9,24.0,85.5,119.2,0.5,6.9,1.5,,5.8,704,27.0,27.0,50.0,2022,8,1
214,037322D007,의성군 옥산면,2022-08-02,27.4,31.5,24.3,82.5,144.6,0.8,6.9,0.5,,15.2,388,28.7,27.8,50.0,2022,8,2
215,037322D007,의성군 옥산면,2022-08-03,27.2,32.4,22.6,82.9,272.2,0.7,6.4,0.0,,15.4,0,28.9,28.1,50.0,2022,8,3
216,037322D007,의성군 옥산면,2022-08-04,27.5,34.2,21.8,78.6,261.1,1.0,6.4,10.5,,24.7,445,30.1,29.0,50.0,2022,8,4
217,037322D007,의성군 옥산면,2022-08-05,27.5,33.0,22.5,80.9,248.9,0.9,8.0,0.0,,18.9,498,29.7,29.1,50.0,2022,8,5
218,037322D007,의성군 옥산면,2022-08-06,28.5,34.7,23.7,77.7,261.4,1.0,6.7,0.0,,22.7,0,31.1,29.8,50.0,2022,8,6
219,037322D007,의성군 옥산면,2022-08-07,28.2,36.2,23.0,78.4,259.0,0.9,6.2,0.0,,17.1,0,30.3,30.0,50.0,2022,8,7
220,037322D007,의성군 옥산면,2022-08-08,27.3,30.8,24.3,80.6,259.8,0.7,5.9,0.0,,8.5,0,28.3,29.1,50.0,2022,8,8
221,037322D007,의성군 옥산면,2022-08-09,26.7,30.0,23.6,84.0,270.8,0.5,4.6,2.5,,9.8,520,27.7,28.3,50.0,2022,8,9
222,037322D007,의성군 옥산면,2022-08-10,25.3,27.3,23.4,91.1,292.3,0.4,3.4,15.0,,6.0,764,25.9,27.5,50.0,2022,8,10
223,037322D007,의성군 옥산면,2022-08-11,24.0,24.9,23.2,96.7,266.9,0.4,4.7,22.0,,3.1,1022,24.5,26.4,50.0,2022,8,11
224,037322D007,의성군 옥산면,2022-08-12,27.0,32.9,22.8,82.6,235.9,1.0,4.4,1.0,,22.9,498,29.3,28.2,50.0,2022,8,12
225,037322D007,의성군 옥산면,2022-08-13,24.4,30.1,21.0,93.0,200.5,0.7,4.4,28.0,,10.0,499,26.0,27.7,50.0,2022,8,13
226,037322D007,의성군 옥산면,2022-08-14,26.4,31.1,23.7,91.9,121.5,0.4,6.5,24.0,,9.5,498,27.5,27.5,50.0,2022,8,14
227,037322D007,의성군 옥산면,2022-08-15,28.1,32.7,24.0,77.9,243.2,1.1,7.2,0.0,,14.6,0,29.3,28.2,50.0,2022,8,15
228,037322D007,의성군 옥산면,2022-08-16,24.3,28.4,21.1,90.0,222.2,0.7,6.6,27.5,,10.4,442,25.3,27.1,50.0,2022,8,16
229,037322D007,의성군 옥산면,2022-08-17,24.4,29.6,20.3,85.8,115.2,0.9,7.7,31.5,,12.8,699,25.7,26.7,50.0,2022,8,17
230,037322D007,의성군 옥산면,2022-08-18,23.3,29.7,19.7,84.3,214.0,0.6,4.8,0.0,,20.8,385,25.5,26.9,50.0,2022,8,18
231,037322D007,의성군 옥산면,2022-08-19,24.1,29.6,19.2,86.6,257.9,0.7,8.7,0.0,,14.5,0,25.9,27.0,50.0,2022,8,19
232,037322D007,의성군 옥산면,2022-08-20,25.3,28.9,23.2,90.1,113.4,0.8,5.1,8.5,,10.8,324,26.4,27.3,50.0,2022,8,20
233,037322D007,의성군 옥산면,2022-08-21,24.7,30.6,18.3,72.3,107.7,1.3,10.9,0.0,,25.9,0,27.2,27.9,50.0,2022,8,21
234,037322D007,의성군 옥산면,2022-08-22,23.3,31.2,15.0,78.4,155.9,1.0,10.2,0.0,,22.3,0,26.0,27.4,50.0,2022,8,22
235,037322D007,의성군 옥산면,2022-08-23,23.1,26.3,21.7,94.0,89.5,0.6,5.2,10.0,,2.9,712,23.7,26.8,50.0,2022,8,23
236,037322D007,의성군 옥산면,2022-08-24,21.5,24.4,18.6,83.6,120.8,1.2,7.2,2.0,,8.0,346,22.2,25.1,50.0,2022,8,24
237,037322D007,의성군 옥산면,2022-08-25,21.7,28.0,16.7,87.5,240.9,0.7,4.4,0.5,,15.4,182,23.5,25.0,50.0,2022,8,25
238,037322D007,의성군 옥산면,2022-08-26,21.8,29.1,16.5,79.6,243.1,0.6,7.5,0.0,,24.4,610,24.7,26.1,50.0,2022,8,26
239,037322D007,의성군 옥산면,2022-08-27,20.5,27.1,14.2,75.8,250.4,1.0,6.1,0.0,,20.0,0,22.2,25.8,50.0,2022,8,27
240,037322D007,의성군 옥산면,2022-08-28,19.3,27.0,11.9,71.7,104.0,1.3,5.2,0.0,,25.9,0,22.2,25.1,50.0,2022,8,28
241,037322D007,의성군 옥산면,2022-08-29,18.1,22.1,14.5,89.1,125.4,1.0,6.2,4.0,,5.3,596,18.8,23.6,50.0,2022,8,29
242,037322D007,의성군 옥산면,2022-08-30,18.9,21.1,17.0,95.3,115.3,0.6,5.8,27.5,,3.4,1306,19.4,22.4,50.0,2022,8,30
243,037322D007,의성군 옥산면,2022-08-31,20.2,22.9,18.4,94.6,117.6,0.6,6.2,33.0,,5.4,713,20.6,22.5,50.0,2022,8,31
