no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,037322D007,,2018-01-01,-4.0,4.5,-10.7,60.7,94.2,1.1,7.6,0.0,,9.6,3,-4.6,-0.9,,2018
2,037322D007,,2018-01-02,-2.7,5.3,-10.0,70.1,93.7,1.3,7.1,0.0,,6.3,23,-3.5,-1.3,,2018
3,037322D007,,2018-01-03,-4.4,3.0,-10.7,54.0,93.3,0.9,5.8,0.0,,9.7,0,-4.8,-1.2,,2018
4,037322D007,,2018-01-04,-4.0,3.1,-10.5,60.0,86.3,0.6,3.3,0.0,,9.0,0,-4.2,-1.6,,2018
5,037322D007,,2018-01-05,-0.8,5.2,-5.6,53.2,99.5,1.1,5.4,0.0,,9.5,0,-1.5,-0.4,,2018
6,037322D007,,2018-01-06,-4.1,5.1,-11.3,61.5,88.2,1.0,5.7,0.0,,10.1,0,-4.6,-1.1,,2018
7,037322D007,,2018-01-07,-3.3,3.3,-11.1,62.4,73.9,0.6,3.9,0.0,,4.6,0,-3.9,-1.4,,2018
8,037322D007,,2018-01-08,0.1,2.3,-3.5,77.9,91.9,1.1,7.9,0.5,,2.2,894,-0.8,-0.2,,2018
9,037322D007,,2018-01-09,-1.8,1.4,-4.2,64.5,92.7,3.4,9.7,0.0,,5.8,0,-2.5,-0.1,,2018
10,037322D007,,2018-01-10,-5.0,-2.4,-12.0,81.5,100.9,1.2,8.0,1.5,,4.3,0,-5.6,-0.6,,2018
11,037322D007,,2018-01-11,-9.2,-5.5,-19.2,51.8,105.5,2.3,9.8,0.0,,10.3,0,-10.4,-2.0,,2018
12,037322D007,,2018-01-12,-12.6,-5.3,-20.6,61.6,104.6,1.3,7.5,0.0,,10.8,0,-14.3,-3.0,,2018
13,037322D007,,2018-01-13,-6.6,1.1,-16.4,78.0,111.0,0.8,5.1,0.0,,5.5,0,-7.5,-2.4,,2018
14,037322D007,,2018-01-14,-4.7,5.6,-13.8,77.2,93.7,0.7,4.4,0.0,,9.8,88,-5.8,-1.9,,2018
15,037322D007,,2018-01-15,1.2,10.2,-6.9,73.5,91.0,1.2,8.3,0.0,,8.7,193,0.2,-0.9,,2018
16,037322D007,,2018-01-16,2.5,10.5,-4.2,77.9,122.0,0.6,7.1,1.0,,4.9,482,1.4,0.1,,2018
17,037322D007,,2018-01-17,3.1,4.8,1.2,96.3,102.2,0.4,3.2,9.0,,2.6,1140,1.9,0.4,,2018
18,037322D007,,2018-01-18,2.4,7.3,-1.6,79.4,107.7,0.8,5.4,0.0,,6.3,714,1.4,0.4,,2018
19,037322D007,,2018-01-19,-1.2,5.7,-5.8,73.1,107.7,0.7,3.8,0.0,,8.5,40,-1.6,0.5,,2018
20,037322D007,,2018-01-20,-2.5,5.8,-8.2,77.9,107.1,0.8,5.4,0.0,,8.2,21,-2.9,0.5,,2018
21,037322D007,,2018-01-21,-0.8,7.1,-7.2,68.3,11.5,0.7,3.6,0.0,,9.1,82,-1.3,0.5,,2018
22,037322D007,,2018-01-22,2.2,6.5,-1.5,64.7,86.6,0.9,7.6,0.0,,6.0,288,1.1,0.4,,2018
23,037322D007,,2018-01-23,-6.0,2.0,-10.4,41.5,97.7,4.0,11.2,0.0,,11.4,25,-5.9,0.3,,2018
24,037322D007,,2018-01-24,-11.2,-7.0,-16.0,35.4,97.8,3.0,11.1,0.0,,11.5,0,-11.3,-2.8,,2018
25,037322D007,,2018-01-25,-11.8,-5.0,-17.7,46.6,93.0,1.7,7.9,0.0,,11.3,0,-11.8,-4.2,,2018
26,037322D007,,2018-01-26,-12.3,-5.9,-18.1,44.0,95.8,1.8,7.4,0.0,,11.8,0,-12.2,-4.8,,2018
27,037322D007,,2018-01-27,-10.3,-0.2,-18.7,53.8,70.4,0.9,3.9,0.0,,11.3,0,-10.2,-5.0,,2018
28,037322D007,,2018-01-28,-3.5,1.3,-8.3,40.9,95.0,2.4,8.6,0.0,,11.1,0,-3.9,-2.5,,2018
29,037322D007,,2018-01-29,-8.4,-2.6,-15.8,48.2,98.8,2.1,10.0,0.0,,11.4,0,-8.8,-3.3,,2018
30,037322D007,,2018-01-30,-8.3,1.0,-16.8,60.7,93.9,1.2,8.3,0.0,,11.6,0,-8.7,-4.2,,2018
31,037322D007,,2018-01-31,-3.6,4.5,-12.2,59.7,103.6,1.1,7.3,0.0,,9.2,0,-4.3,-2.8,,2018
32,037322D007,,2018-02-01,-4.2,4.6,-11.1,48.5,81.1,0.9,4.8,0.0,,12.1,0,-4.5,-2.0,,2018
33,037322D007,,2018-02-02,-5.4,4.3,-12.8,50.8,85.5,0.9,5.0,0.0,,10.8,0,-5.6,-2.5,,2018
34,037322D007,,2018-02-03,-7.0,-1.3,-13.3,53.6,98.8,2.4,9.2,0.0,,12.9,0,-7.3,-2.9,,2018
35,037322D007,,2018-02-04,-9.1,-3.1,-16.1,44.1,98.9,2.0,8.6,0.0,,12.7,0,-9.6,-4.0,,2018
36,037322D007,,2018-02-05,-10.3,-3.1,-18.1,47.8,102.2,2.2,9.9,0.0,,13.1,0,-10.7,-4.8,,2018
37,037322D007,,2018-02-06,-11.4,-4.0,-18.7,51.7,95.8,1.6,8.9,0.0,,13.3,0,-11.9,-5.4,,2018
38,037322D007,,2018-02-07,-10.0,-0.6,-18.6,50.5,93.7,1.0,5.5,0.0,,13.1,0,-10.1,-5.2,,2018
39,037322D007,,2018-02-08,-7.3,4.1,-15.6,48.4,78.2,0.9,4.3,0.0,,12.4,0,-7.6,-4.3,,2018
40,037322D007,,2018-02-09,-1.2,8.8,-11.6,50.0,83.6,1.0,5.0,0.0,,11.5,0,-1.7,-2.4,,2018
41,037322D007,,2018-02-10,0.4,6.9,-5.5,50.9,98.3,2.3,8.9,0.0,,7.5,0,-0.2,-0.6,,2018
42,037322D007,,2018-02-11,-5.1,-0.2,-11.2,50.8,98.0,2.6,11.9,0.0,,11.2,0,-5.5,-1.1,,2018
43,037322D007,,2018-02-12,-5.9,-2.0,-13.8,60.2,86.9,2.6,9.0,0.0,,10.5,1,-6.7,-1.8,,2018
44,037322D007,,2018-02-13,-3.9,4.3,-11.9,61.8,93.5,1.4,7.9,0.0,,13.9,11,-4.3,-2.1,,2018
45,037322D007,,2018-02-14,1.1,12.8,-11.0,64.2,93.5,1.6,10.8,0.0,,11.0,0,0.3,-1.8,,2018
46,037322D007,,2018-02-15,1.7,8.8,-6.4,44.2,93.1,0.9,5.7,0.0,,13.6,0,1.1,0.1,,2018
47,037322D007,,2018-02-16,-0.9,8.0,-8.7,39.8,106.2,1.4,7.7,0.0,,12.6,0,-1.4,-0.1,,2018
48,037322D007,,2018-02-17,-1.4,4.8,-6.5,32.0,95.1,2.0,8.9,0.0,,14.9,0,-1.9,-0.1,,2018
49,037322D007,,2018-02-18,-1.8,5.9,-7.8,39.1,110.2,0.8,3.9,0.0,,9.6,0,-2.1,-0.3,,2018
50,037322D007,,2018-02-19,0.8,9.8,-6.1,41.4,86.7,1.0,6.5,0.0,,11.1,0,0.4,-0.2,,2018
51,037322D007,,2018-02-20,0.7,9.5,-8.6,46.0,103.9,1.3,6.8,0.0,,12.7,0,0.2,0.0,,2018
52,037322D007,,2018-02-21,-0.9,5.7,-8.1,36.2,93.9,0.9,5.9,0.0,,12.1,0,-1.4,0.3,,2018
53,037322D007,,2018-02-22,-2.9,6.9,-11.6,47.7,97.4,1.1,7.0,0.0,,14.5,0,-2.8,-0.1,,2018
54,037322D007,,2018-02-23,1.0,9.4,-8.3,62.9,88.5,1.1,7.0,0.0,,10.4,70,0.2,0.1,,2018
55,037322D007,,2018-02-24,5.0,11.0,-3.9,60.1,114.8,1.4,7.9,0.0,,10.0,87,4.2,0.3,,2018
56,037322D007,,2018-02-25,3.3,11.3,-4.2,65.3,110.5,1.0,7.1,0.0,,12.3,0,2.9,0.5,,2018
57,037322D007,,2018-02-26,0.9,11.9,-7.7,45.3,30.6,1.0,4.7,0.0,,15.9,0,0.8,0.6,,2018
58,037322D007,,2018-02-27,3.3,13.7,-6.3,54.9,86.6,1.2,8.9,0.0,,12.5,96,2.6,0.7,,2018
59,037322D007,,2018-02-28,6.0,8.9,0.6,79.8,271.7,1.9,8.4,19.5,,1.7,601,4.7,1.3,,2018
60,037322D007,,2018-03-01,3.4,6.8,-2.0,58.8,99.4,3.9,13.8,1.0,,16.5,369,2.8,1.6,,2018
61,037322D007,,2018-03-02,-0.4,9.2,-8.0,54.4,86.0,1.0,5.1,0.0,,17.1,0,-0.4,0.8,,2018
62,037322D007,,2018-03-03,4.6,16.9,-4.8,58.0,89.9,1.1,5.5,0.0,,16.1,0,4.0,1.7,,2018
63,037322D007,,2018-03-04,11.1,20.7,0.3,72.2,279.8,1.0,8.8,16.5,,10.6,154,10.3,3.9,,2018
64,037322D007,,2018-03-05,4.5,11.8,2.0,77.8,301.4,2.5,12.5,14.5,,4.6,477,3.7,4.3,,2018
65,037322D007,,2018-03-06,3.9,11.6,-2.5,64.4,274.2,1.3,6.3,0.0,,18.4,0,3.9,2.8,,2018
66,037322D007,,2018-03-07,2.8,6.3,-0.4,80.7,283.7,1.0,6.6,3.0,,3.2,268,2.1,2.1,,2018
67,037322D007,,2018-03-08,1.2,2.6,0.2,97.2,131.0,0.5,3.0,18.0,,3.4,947,0.2,1.0,,2018
68,037322D007,,2018-03-09,2.0,6.4,-1.9,83.4,285.9,0.6,4.5,0.0,,8.4,27,0.6,0.6,,2018
69,037322D007,,2018-03-10,3.4,11.4,-2.2,73.6,94.3,1.2,6.9,0.0,,16.6,70,2.4,1.3,,2018
70,037322D007,,2018-03-11,4.4,13.3,-2.2,68.0,94.7,1.3,6.5,0.0,,18.0,27,4.0,2.5,,2018
71,037322D007,,2018-03-12,6.3,17.8,-2.5,64.0,77.9,1.2,6.4,0.0,,17.9,48,6.0,3.5,,2018
72,037322D007,,2018-03-13,9.4,20.9,-1.0,68.3,89.4,1.5,7.9,0.0,,18.1,14,8.9,4.9,,2018
73,037322D007,,2018-03-14,12.3,22.6,2.9,70.5,76.4,1.1,6.6,0.0,,18.4,42,11.9,7.2,,2018
74,037322D007,,2018-03-15,12.5,17.2,7.2,93.6,93.2,0.7,7.9,4.5,,4.0,1019,11.6,8.8,,2018
75,037322D007,,2018-03-16,3.0,7.6,-2.3,68.0,287.0,2.4,10.7,1.5,,12.4,397,2.9,6.8,,2018
76,037322D007,,2018-03-17,2.7,12.8,-5.5,68.2,40.5,1.1,4.7,0.0,,20.0,38,3.1,4.7,,2018
77,037322D007,,2018-03-18,6.5,14.1,-1.0,71.4,116.5,0.9,4.2,1.0,,11.4,259,6.4,5.7,,2018
78,037322D007,,2018-03-19,7.2,10.2,4.2,86.2,299.9,2.6,12.5,25.5,,3.3,695,6.3,7.1,,2018
79,037322D007,,2018-03-20,4.0,6.4,2.0,55.3,302.6,3.6,12.8,0.0,,12.6,0,3.7,5.5,,2018
80,037322D007,,2018-03-21,1.0,3.1,-0.3,91.3,331.9,1.3,9.3,9.5,,4.2,803,0.5,3.2,,2018
81,037322D007,,2018-03-22,3.6,11.1,-1.2,78.6,92.3,0.8,5.5,0.0,,19.1,237,3.6,4.1,,2018
82,037322D007,,2018-03-23,5.0,14.2,-2.5,69.7,110.2,1.1,4.7,0.0,,19.8,109,5.3,5.3,,2018
83,037322D007,,2018-03-24,7.6,15.4,-1.4,66.0,88.8,1.5,7.5,0.0,,16.8,0,7.2,6.2,,2018
84,037322D007,,2018-03-25,9.5,19.7,0.3,60.2,105.1,1.6,8.3,0.0,,21.0,0,9.4,7.8,,2018
85,037322D007,,2018-03-26,10.3,21.2,0.0,62.3,86.9,1.4,7.2,0.0,,20.4,0,10.5,8.9,,2018
86,037322D007,,2018-03-27,12.3,21.9,2.2,63.6,92.8,1.7,8.3,0.0,,19.9,5,12.6,10.3,,2018
87,037322D007,,2018-03-28,13.6,23.2,3.5,57.0,95.5,1.6,8.0,0.0,,20.1,0,14.0,11.6,,2018
88,037322D007,,2018-03-29,13.2,22.2,7.2,63.4,226.0,1.6,11.7,0.0,,14.4,0,13.5,12.5,,2018
89,037322D007,,2018-03-30,11.2,18.9,3.5,57.0,264.3,1.4,6.2,0.0,,18.9,0,11.8,12.2,,2018
90,037322D007,,2018-03-31,12.0,22.3,2.2,65.9,87.2,1.3,6.4,0.0,,19.2,0,12.6,12.3,,2018
91,037322D007,,2018-04-01,13.9,22.1,6.3,68.6,86.1,1.0,5.3,0.0,,12.7,0,14.1,13.0,,2018
