no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,037339B009,의성군 의성읍,2022-05-01,11.2,18.8,4.2,63.2,213.1,1.1,9.8,0.0,571,24.8,321,,16.4,50.0,2022,5,1
122,037339B009,의성군 의성읍,2022-05-02,9.9,18.8,3.0,67.8,204.2,0.9,7.6,0.5,361,18.9,322,,15.2,50.0,2022,5,2
123,037339B009,의성군 의성읍,2022-05-03,10.9,22.2,0.9,68.2,227.9,1.1,7.8,0.0,639,26.6,512,,15.5,50.0,2022,5,3
124,037339B009,의성군 의성읍,2022-05-04,14.7,26.7,3.1,59.0,220.7,0.9,7.3,0.0,642,26.2,72,,16.5,50.0,2022,5,4
125,037339B009,의성군 의성읍,2022-05-05,16.1,26.9,6.1,64.9,183.8,0.7,6.7,0.0,642,26.2,258,,17.6,50.0,2022,5,5
126,037339B009,의성군 의성읍,2022-05-06,16.9,27.1,7.1,70.0,196.7,0.9,7.1,0.0,647,26.7,230,,18.3,50.0,2022,5,6
127,037339B009,의성군 의성읍,2022-05-07,16.3,24.5,8.5,76.7,222.9,1.2,9.3,0.0,456,18.3,391,,18.0,50.0,2022,5,7
128,037339B009,의성군 의성읍,2022-05-08,14.3,21.1,7.9,66.7,165.6,0.5,5.5,0.0,435,20.6,79,,17.8,50.0,2022,5,8
129,037339B009,의성군 의성읍,2022-05-09,14.4,22.2,6.8,63.0,185.5,0.6,6.8,0.0,595,24.5,291,,18.6,50.0,2022,5,9
130,037339B009,의성군 의성읍,2022-05-10,13.8,24.4,4.3,52.5,152.4,0.9,6.8,0.0,596,25.9,0,,18.1,50.0,2022,5,10
131,037339B009,의성군 의성읍,2022-05-11,17.6,27.0,10.2,51.8,228.0,0.6,5.9,0.0,297,11.9,0,,19.4,50.0,2022,5,11
132,037339B009,의성군 의성읍,2022-05-12,19.1,25.4,13.9,61.5,152.7,0.6,5.1,0.0,252,15.2,0,,19.9,50.0,2022,5,12
133,037339B009,의성군 의성읍,2022-05-13,14.9,18.5,11.1,82.3,271.4,0.2,3.8,5.5,6,4.8,549,,18.2,50.0,2022,5,13
134,037339B009,의성군 의성읍,2022-05-14,15.3,22.2,7.9,57.8,220.4,1.3,11.2,0.0,655,26.9,511,,18.5,50.0,2022,5,14
135,037339B009,의성군 의성읍,2022-05-15,13.2,21.6,5.4,48.6,177.1,0.8,7.8,0.0,657,28.2,0,,18.9,50.0,2022,5,15
136,037339B009,의성군 의성읍,2022-05-16,13.6,23.8,2.7,50.6,208.0,0.9,8.5,0.0,665,28.4,68,,18.8,50.0,2022,5,16
137,037339B009,의성군 의성읍,2022-05-17,16.1,27.3,4.7,52.2,191.4,0.9,10.6,0.0,614,27.1,0,,19.5,50.0,2022,5,17
138,037339B009,의성군 의성읍,2022-05-18,18.7,29.2,7.8,50.7,184.7,0.8,7.0,0.0,625,24.9,0,,20.3,50.0,2022,5,18
139,037339B009,의성군 의성읍,2022-05-19,17.9,25.6,10.2,47.1,215.3,0.9,8.1,0.0,471,17.4,0,,19.9,50.0,2022,5,19
140,037339B009,의성군 의성읍,2022-05-20,17.9,27.2,10.6,51.7,182.2,0.6,5.4,0.0,536,22.0,0,,20.2,50.0,2022,5,20
141,037339B009,의성군 의성읍,2022-05-21,18.9,27.9,10.3,64.4,216.7,0.9,8.2,0.0,622,25.3,135,,21.1,50.0,2022,5,21
142,037339B009,의성군 의성읍,2022-05-22,20.8,30.0,11.8,60.0,212.9,1.2,10.0,0.0,674,26.3,0,,22.0,50.0,2022,5,22
143,037339B009,의성군 의성읍,2022-05-23,20.7,30.3,11.0,61.3,191.2,0.8,8.4,0.0,626,25.4,0,,22.7,50.0,2022,5,23
144,037339B009,의성군 의성읍,2022-05-24,22.3,32.0,13.4,57.5,203.4,0.9,6.5,0.0,645,26.8,0,,23.7,50.0,2022,5,24
145,037339B009,의성군 의성읍,2022-05-25,22.2,31.0,12.7,58.3,204.9,0.9,7.1,0.0,586,24.6,42,,24.1,50.0,2022,5,25
146,037339B009,의성군 의성읍,2022-05-26,19.5,26.0,12.1,49.5,215.9,1.3,9.0,0.0,678,28.0,1,,24.4,50.0,2022,5,26
147,037339B009,의성군 의성읍,2022-05-27,18.4,27.1,7.8,49.2,221.8,1.8,12.7,0.0,620,26.8,0,,22.8,50.0,2022,5,27
148,037339B009,의성군 의성읍,2022-05-28,19.8,29.8,9.7,51.9,190.8,1.0,8.4,0.0,690,22.2,0,,22.5,50.0,2022,5,28
149,037339B009,의성군 의성읍,2022-05-29,20.9,31.7,8.6,43.6,145.5,0.8,7.3,0.0,643,25.9,0,,23.0,50.0,2022,5,29
150,037339B009,의성군 의성읍,2022-05-30,22.1,28.0,17.3,51.0,219.6,1.0,5.9,0.0,123,15.0,0,,23.6,50.0,2022,5,30
151,037339B009,의성군 의성읍,2022-05-31,20.6,29.2,11.6,50.6,206.3,1.0,8.7,0.0,692,28.8,217,,24.3,50.0,2022,5,31
