no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,017414F020,이천시 장호원,2020-01-01,-4.7,-2.0,-10.5,72.6,,0.0,0.6,0.0,,2.6,0,,,,2020,1,1
2,017414F020,이천시 장호원,2020-01-02,-0.7,2.4,-2.9,83.6,,0.0,0.1,0.0,,3.2,0,,,,2020,1,2
3,017414F020,이천시 장호원,2020-01-03,-1.0,5.8,-6.4,76.7,241.8,0.1,4.7,0.0,,9.9,52,,,,2020,1,3
4,017414F020,이천시 장호원,2020-01-04,-2.2,6.8,-8.2,75.6,282.5,0.0,3.9,0.0,,7.8,21,,,,2020,1,4
5,017414F020,이천시 장호원,2020-01-05,-2.6,6.1,-9.6,74.2,,0.0,0.1,0.0,,10.2,26,,,,2020,1,5
6,017414F020,이천시 장호원,2020-01-06,0.3,3.9,-4.7,85.5,,0.0,0.8,3.5,,2.1,748,,,,2020,1,6
7,017414F020,이천시 장호원,2020-01-07,5.1,6.4,3.6,99.8,303.6,0.2,3.0,54.0,,0.5,762,,,,2020,1,7
8,017414F020,이천시 장호원,2020-01-08,3.7,8.5,0.8,90.9,233.4,2.5,11.3,4.0,,1.4,676,,,,2020,1,8
9,017414F020,이천시 장호원,2020-01-09,-0.3,3.6,-5.1,73.5,257.9,0.8,5.3,0.0,,7.9,0,,,,2020,1,9
10,017414F020,이천시 장호원,2020-01-10,-2.3,4.7,-6.7,82.3,264.9,0.2,3.3,0.0,,10.0,63,,,,2020,1,10
11,017414F020,이천시 장호원,2020-01-11,-1.8,4.0,-7.0,80.1,201.3,0.2,2.7,0.0,,9.0,62,,,,2020,1,11
12,017414F020,이천시 장호원,2020-01-12,-1.3,3.1,-4.7,75.2,235.4,0.8,6.4,0.0,,10.6,0,,,,2020,1,12
13,017414F020,이천시 장호원,2020-01-13,-2.8,2.1,-7.3,69.8,254.1,0.9,6.5,0.0,,10.4,0,,,,2020,1,13
14,017414F020,이천시 장호원,2020-01-14,-4.0,2.9,-10.2,71.4,342.8,0.2,5.1,0.0,,12.2,0,,,,2020,1,14
15,017414F020,이천시 장호원,2020-01-15,-4.2,4.8,-10.2,69.5,266.8,0.5,5.1,0.0,,12.2,0,,,,2020,1,15
16,017414F020,이천시 장호원,2020-01-16,-4.1,3.6,-9.5,72.0,274.6,0.0,1.4,0.0,,10.0,0,,,,2020,1,16
17,017414F020,이천시 장호원,2020-01-17,-3.5,4.9,-9.6,71.7,279.9,0.1,2.6,0.0,,9.6,0,,,,2020,1,17
18,017414F020,이천시 장호원,2020-01-18,-2.0,6.5,-8.7,69.1,216.8,0.6,5.0,0.0,,11.3,0,,,,2020,1,18
19,017414F020,이천시 장호원,2020-01-19,-1.0,6.0,-6.1,80.7,237.7,0.7,9.5,0.0,,5.2,582,,,,2020,1,19
20,017414F020,이천시 장호원,2020-01-20,0.1,5.8,-4.3,70.0,265.6,1.3,8.3,0.0,,9.6,205,,,,2020,1,20
21,017414F020,이천시 장호원,2020-01-21,-3.0,5.2,-10.2,60.5,259.2,0.4,4.3,0.0,,12.4,11,,,,2020,1,21
22,017414F020,이천시 장호원,2020-01-22,-0.5,3.9,-4.5,68.1,11.1,0.2,3.8,0.0,,2.7,0,,,,2020,1,22
23,017414F020,이천시 장호원,2020-01-23,2.5,12.0,-4.4,70.6,260.9,0.4,3.4,0.0,,11.8,183,,,,2020,1,23
24,017414F020,이천시 장호원,2020-01-24,0.5,9.4,-5.6,78.1,282.9,0.2,3.5,0.0,,10.8,206,,,,2020,1,24
25,017414F020,이천시 장호원,2020-01-25,1.1,8.8,-4.3,84.2,308.7,0.1,2.9,0.0,,6.9,357,,,,2020,1,25
26,017414F020,이천시 장호원,2020-01-26,3.5,12.0,-4.4,71.7,74.5,1.3,9.3,0.0,,10.5,104,,,,2020,1,26
27,017414F020,이천시 장호원,2020-01-27,5.0,7.6,1.9,66.4,47.2,1.7,6.8,4.0,,1.9,484,,,,2020,1,27
28,017414F020,이천시 장호원,2020-01-28,4.8,11.0,0.8,76.4,40.2,0.5,4.7,0.0,,5.8,647,,,,2020,1,28
29,017414F020,이천시 장호원,2020-01-29,3.5,12.0,-3.7,69.1,22.3,0.8,5.2,0.0,,12.6,52,,,,2020,1,29
30,017414F020,이천시 장호원,2020-01-30,4.3,10.7,-2.4,64.8,15.0,0.6,4.5,0.0,,10.7,0,,,,2020,1,30
31,017414F020,이천시 장호원,2020-01-31,2.1,7.9,-2.9,76.9,239.1,0.6,6.0,0.0,,6.5,0,,,,2020,1,31
