stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
017414F020,이천시 장호원,2024-10-31,12.0,21.1,5.7,84.5,351.4,0.3,4.1,0.0,,6.0,7.0,,,
017414F020,이천시 장호원,2024-11-01,11.6,15.7,8.3,93.7,354.9,0.3,2.0,0.0,,2.6,298.0,,,
017414F020,이천시 장호원,2024-11-02,16.0,22.9,11.6,79.0,26.9,0.6,5.9,0.0,,6.3,0.0,,,
017414F020,이천시 장호원,2024-11-03,14.5,22.7,7.5,82.0,223.0,0.3,3.0,0.0,,6.1,0.0,,,
017414F020,이천시 장호원,2024-11-04,14.5,19.9,7.3,73.2,285.4,0.8,6.2,0.0,,5.7,376.0,,,
017414F020,이천시 장호원,2024-11-05,8.7,15.9,3.9,68.8,259.7,0.5,5.5,0.0,,6.8,0.0,,,
017414F020,이천시 장호원,2024-11-06,5.3,13.2,-1.5,60.1,281.5,0.6,4.8,0.0,,7.0,0.0,,,
017414F020,이천시 장호원,2024-11-07,4.4,15.0,-3.2,74.0,315.0,0.3,2.6,0.0,,7.2,77.0,,,
017414F020,이천시 장호원,2024-11-08,7.2,17.6,-0.9,80.1,0.5,0.3,2.6,0.0,,6.9,10.0,,,
017414F020,이천시 장호원,2024-11-10,10.7,19.8,5.6,84.1,311.4,0.3,2.5,0.0,,5.1,0.0,,,
017414F020,이천시 장호원,2024-11-11,10.6,20.0,4.0,83.5,339.7,0.3,2.3,0.0,,6.1,195.0,,,
017414F020,이천시 장호원,2024-11-12,12.3,19.2,6.0,76.4,296.6,0.5,4.1,0.0,,6.3,0.0,,,
017414F020,이천시 장호원,2024-11-13,10.4,20.9,2.5,80.8,27.8,0.3,3.2,0.0,,5.7,28.0,,,
017414F020,이천시 장호원,2024-11-14,12.6,20.1,8.4,82.8,92.9,0.2,2.1,0.0,,4.5,435.0,,,
