no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,570802A001,익산시 함열읍,2023-01-01,-0.3,6.7,-4.9,65.5,352.3,0.7,6.2,0.0,420.0,,,,,,2023,1,1
2,570802A001,익산시 함열읍,2023-01-02,-2.4,3.4,-7.2,58.9,269.1,0.5,4.6,0.0,532.0,,,,,,2023,1,2
3,570802A001,익산시 함열읍,2023-01-03,-3.2,4.2,-9.3,67.0,282.8,0.5,3.5,0.0,532.0,,,,,,2023,1,3
4,570802A001,익산시 함열읍,2023-01-04,-0.9,6.6,-6.9,67.0,249.4,0.6,4.8,0.0,488.0,,,,,,2023,1,4
5,570802A001,익산시 함열읍,2023-01-05,0.2,7.4,-5.4,77.6,13.9,0.7,3.2,0.0,379.0,,,,,,2023,1,5
6,570802A001,익산시 함열읍,2023-01-06,2.1,8.1,-3.6,79.6,137.2,1.0,6.7,2.5,304.0,,,,,,2023,1,6
7,570802A001,익산시 함열읍,2023-01-07,4.2,7.6,-2.7,55.7,272.0,1.9,8.7,0.0,474.0,,,,,,2023,1,7
8,570802A001,익산시 함열읍,2023-01-08,0.8,8.6,-4.7,75.3,245.1,0.5,3.5,0.0,480.0,,,,,,2023,1,8
9,570802A001,익산시 함열읍,2023-01-09,3.0,10.9,-3.0,72.0,348.3,0.9,8.3,0.0,188.0,,,,,,2023,1,9
10,570802A001,익산시 함열읍,2023-01-10,0.5,8.9,-5.2,66.3,17.2,0.7,3.5,0.0,507.0,,,,,,2023,1,10
11,570802A001,익산시 함열읍,2023-01-11,1.3,11.5,-4.8,69.1,303.5,0.4,3.0,0.0,514.0,,,,,,2023,1,11
12,570802A001,익산시 함열읍,2023-01-12,5.0,15.8,-3.5,59.6,3.4,0.9,4.8,0.5,510.0,,,,,,2023,1,12
13,570802A001,익산시 함열읍,2023-01-13,10.1,14.4,6.8,97.1,261.3,1.0,5.3,25.0,0.0,,,,,,2023,1,13
14,570802A001,익산시 함열읍,2023-01-14,7.7,9.3,5.1,99.8,219.9,0.7,4.2,1.0,0.0,,,,,,2023,1,14
15,570802A001,익산시 함열읍,2023-01-15,1.6,5.2,-2.0,82.6,269.1,1.7,6.4,0.5,18.0,,,,,,2023,1,15
16,570802A001,익산시 함열읍,2023-01-16,-1.9,2.4,-5.6,53.3,322.7,1.0,4.6,0.0,546.0,,,,,,2023,1,16
17,570802A001,익산시 함열읍,2023-01-17,-1.5,3.6,-5.1,63.1,22.5,0.9,4.1,0.0,519.0,,,,,,2023,1,17
18,570802A001,익산시 함열읍,2023-01-18,0.1,5.0,-3.5,74.9,12.4,0.7,4.4,0.0,309.0,,,,,,2023,1,18
19,570802A001,익산시 함열읍,2023-01-19,1.1,6.8,-4.7,67.0,186.0,0.9,7.9,0.0,511.0,,,,,,2023,1,19
20,570802A001,익산시 함열읍,2023-01-20,1.1,4.9,-5.8,43.0,298.8,2.1,7.9,0.0,485.0,,,,,,2023,1,20
21,570802A001,익산시 함열읍,2023-01-21,-2.7,3.3,-8.1,60.6,33.1,0.9,4.8,0.0,558.0,,,,,,2023,1,21
22,570802A001,익산시 함열읍,2023-01-22,0.8,5.0,-2.4,61.6,21.3,1.3,4.1,0.0,0.0,,,,,,2023,1,22
23,570802A001,익산시 함열읍,2023-01-23,2.1,8.5,-2.7,64.4,302.5,1.6,7.9,0.0,411.0,,,,,,2023,1,23
24,570802A001,익산시 함열읍,2023-01-24,-7.9,-0.9,-11.2,38.5,321.6,3.7,10.6,0.0,561.0,,,,,,2023,1,24
25,570802A001,익산시 함열읍,2023-01-25,-9.8,-4.3,-14.8,44.6,42.6,1.2,6.7,0.0,588.0,,,,,,2023,1,25
26,570802A001,익산시 함열읍,2023-01-26,-3.7,1.4,-10.7,81.6,10.4,1.0,5.0,0.0,17.0,,,,,,2023,1,26
27,570802A001,익산시 함열읍,2023-01-27,-4.5,-0.6,-9.1,57.2,316.9,2.0,12.7,0.0,546.0,,,,,,2023,1,27
28,570802A001,익산시 함열읍,2023-01-28,-6.2,-1.3,-12.2,72.7,167.0,0.6,4.6,0.0,315.0,,,,,,2023,1,28
29,570802A001,익산시 함열읍,2023-01-29,-1.3,5.8,-10.1,66.6,235.9,1.2,7.3,0.0,449.0,,,,,,2023,1,29
30,570802A001,익산시 함열읍,2023-01-30,-0.4,6.1,-7.0,53.1,308.5,1.0,5.8,0.0,590.0,,,,,,2023,1,30
31,570802A001,익산시 함열읍,2023-01-31,1.5,10.9,-7.3,64.4,182.2,0.8,5.8,0.0,567.0,,,,,,2023,1,31
