stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
570802A001,익산시 함열읍,2024-02-01,5.4,9.2,2.5,58.4,355.4,1.5,5.6,0.0,81,,,,,,2024,2,1
570802A001,익산시 함열읍,2024-02-02,2.7,7.1,-1.7,69.9,243.3,0.9,6.1,0.0,506,,,,,,2024,2,2
570802A001,익산시 함열읍,2024-02-03,4.2,9.4,-2.2,75.1,357.0,1.1,4.3,2.0,3,,,,,,2024,2,3
570802A001,익산시 함열읍,2024-02-04,7.1,12.3,2.5,39.5,47.4,1.1,4.8,2.0,366,,,,,,2024,2,4
570802A001,익산시 함열읍,2024-02-05,5.2,6.9,3.5,26.9,44.3,2.0,6.5,23.5,0,,,,,,2024,2,5
570802A001,익산시 함열읍,2024-02-06,3.5,5.9,-0.2,36.3,322.4,1.0,5.3,0.5,0,,,,,,2024,2,6
570802A001,익산시 함열읍,2024-02-07,1.1,5.7,-2.3,71.3,318.1,0.7,4.8,0.0,506,,,,,,2024,2,7
570802A001,익산시 함열읍,2024-02-08,0.5,6.3,-4.4,77.2,250.7,0.7,4.3,0.0,523,,,,,,2024,2,8
570802A001,익산시 함열읍,2024-02-09,0.9,6.6,-4.4,70.3,264.2,1.0,8.7,0.0,515,,,,,,2024,2,9
570802A001,익산시 함열읍,2024-02-10,1.5,8.2,-4.4,72.7,241.0,0.9,6.3,0.0,461,,,,,,2024,2,10
570802A001,익산시 함열읍,2024-02-11,1.7,7.4,-3.0,71.7,245.7,1.1,9.4,0.0,303,,,,,,2024,2,11
570802A001,익산시 함열읍,2024-02-12,3.1,12.3,-4.3,61.9,188.1,0.7,4.9,0.0,569,,,,,,2024,2,12
570802A001,익산시 함열읍,2024-02-13,9.4,17.2,-0.1,62.1,211.1,1.1,8.1,0.0,580,,,,,,2024,2,13
570802A001,익산시 함열읍,2024-02-14,13.7,18.2,10.5,69.8,184.0,1.0,5.3,1.0,219,,,,,,2024,2,14
570802A001,익산시 함열읍,2024-02-15,6.4,11.5,-1.5,23.7,272.8,1.3,8.8,2.0,85,,,,,,2024,2,15
570802A001,익산시 함열읍,2024-02-16,2.4,9.6,-3.2,69.6,225.0,0.9,4.7,0.0,597,,,,,,2024,2,16
570802A001,익산시 함열읍,2024-02-17,4.4,14.0,-2.5,74.6,270.7,0.7,4.9,0.0,596,,,,,,2024,2,17
570802A001,익산시 함열읍,2024-02-18,5.2,10.4,-1.7,58.1,346.9,0.8,3.5,26.5,0,,,,,,2024,2,18
570802A001,익산시 함열읍,2024-02-19,10.2,14.9,5.3,5.6,233.5,1.3,7.5,13.0,0,,,,,,2024,2,19
570802A001,익산시 함열읍,2024-02-20,6.4,8.2,4.6,5.4,27.6,1.4,5.4,5.5,0,,,,,,2024,2,20
570802A001,익산시 함열읍,2024-02-21,6.0,7.2,4.7,12.0,43.6,2.1,7.5,17.5,0,,,,,,2024,2,21
570802A001,익산시 함열읍,2024-02-22,3.7,4.7,2.5,8.8,43.8,2.0,6.5,6.0,0,,,,,,2024,2,22
570802A001,익산시 함열읍,2024-02-23,4.2,7.9,1.4,37.4,47.4,1.9,5.3,0.5,28,,,,,,2024,2,23
570802A001,익산시 함열읍,2024-02-24,4.3,8.1,1.5,65.1,38.3,1.3,4.8,4.0,142,,,,,,2024,2,24
570802A001,익산시 함열읍,2024-02-25,3.5,6.8,-0.1,55.0,354.4,1.2,5.8,1.5,0,,,,,,2024,2,25
570802A001,익산시 함열읍,2024-02-26,3.6,10.3,-2.5,61.1,7.6,1.2,6.0,0.0,579,,,,,,2024,2,26
570802A001,익산시 함열읍,2024-02-27,6.3,12.7,1.0,58.5,23.9,0.9,4.2,0.0,379,,,,,,2024,2,27
570802A001,익산시 함열읍,2024-02-28,7.5,12.7,2.4,56.1,14.9,1.2,6.4,0.0,488,,,,,,2024,2,28
