no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,252805A001,인제군 인제읍,2020-12-01,-2.8,6.2,-9.4,65.4,189.0,0.3,5.1,0.0,,9.0,16,-2.5,5.5,17.6,2020,12,1
336,252805A001,인제군 인제읍,2020-12-02,-0.3,6.2,-3.9,62.4,178.4,0.4,5.0,0.0,,5.8,0,-0.2,8.5,17.5,2020,12,2
337,252805A001,인제군 인제읍,2020-12-03,-1.4,5.6,-6.9,56.0,183.4,0.5,6.6,0.0,,9.1,2,-1.5,7.3,17.3,2020,12,3
338,252805A001,인제군 인제읍,2020-12-04,-4.1,3.9,-10.3,63.8,181.3,0.5,7.1,0.0,,8.9,10,-3.8,4.6,16.6,2020,12,4
339,252805A001,인제군 인제읍,2020-12-05,-2.0,5.9,-7.9,68.7,173.7,0.5,7.1,0.0,,8.1,0,-1.9,5.2,15.8,2020,12,5
340,252805A001,인제군 인제읍,2020-12-06,1.5,6.6,-5.2,68.6,181.8,0.8,6.8,0.0,,4.5,0,1.2,8.6,15.8,2020,12,6
341,252805A001,인제군 인제읍,2020-12-07,2.7,7.0,-1.7,53.0,188.8,1.2,10.7,0.0,,6.7,10,2.3,9.8,16.0,2020,12,7
342,252805A001,인제군 인제읍,2020-12-08,-3.1,4.1,-7.8,56.7,180.3,0.5,5.1,0.0,,8.8,0,-3.0,5.3,15.6,2020,12,8
343,252805A001,인제군 인제읍,2020-12-09,-3.3,6.1,-10.7,67.9,170.8,0.3,6.1,0.0,,7.6,13,-3.1,4.3,14.7,2020,12,9
344,252805A001,인제군 인제읍,2020-12-10,2.0,6.8,-1.6,69.7,177.6,0.5,6.7,0.0,,3.8,94,1.5,8.8,14.8,2020,12,10
345,252805A001,인제군 인제읍,2020-12-11,1.8,7.9,-3.0,79.3,177.9,0.5,6.5,0.0,,4.7,572,1.4,9.2,15.0,2020,12,11
346,252805A001,인제군 인제읍,2020-12-12,0.2,7.3,-5.1,60.4,166.3,0.5,8.6,0.0,,8.3,401,-0.2,8.3,14.9,2020,12,12
347,252805A001,인제군 인제읍,2020-12-13,-3.2,0.0,-6.9,77.5,161.8,0.2,5.0,0.0,,0.7,404,-3.5,4.3,14.7,2020,12,13
348,252805A001,인제군 인제읍,2020-12-14,-9.7,-4.9,-13.9,54.6,177.9,0.7,10.8,0.0,,5.2,111,-9.8,1.5,14.3,2020,12,14
349,252805A001,인제군 인제읍,2020-12-15,-11.4,-5.2,-17.5,51.2,176.8,0.7,8.0,0.0,,8.8,0,-11.2,-1.9,13.3,2020,12,15
350,252805A001,인제군 인제읍,2020-12-16,-11.9,-4.8,-17.0,54.7,188.5,0.6,7.7,0.0,,8.8,0,-11.7,-3.3,10.6,2020,12,16
351,252805A001,인제군 인제읍,2020-12-17,-10.1,-2.0,-18.5,58.0,183.3,0.7,8.0,0.0,,8.7,5,-9.6,-2.7,6.6,2020,12,17
352,252805A001,인제군 인제읍,2020-12-18,-3.1,2.4,-10.2,54.1,177.5,0.8,7.2,0.0,,7.3,0,-3.1,2.7,7.2,2020,12,18
353,252805A001,인제군 인제읍,2020-12-19,-8.3,-0.3,-15.1,57.1,176.5,0.5,8.6,0.0,,8.7,14,-8.2,-0.9,4.6,2020,12,19
354,252805A001,인제군 인제읍,2020-12-20,-8.3,0.1,-15.3,62.2,182.6,0.5,7.2,0.0,,8.6,14,-8.1,-0.2,2.9,2020,12,20
355,252805A001,인제군 인제읍,2020-12-21,-6.6,2.2,-14.6,66.8,176.0,0.6,8.0,0.0,,8.5,13,-6.6,1.6,2.6,2020,12,21
356,252805A001,인제군 인제읍,2020-12-22,-3.6,3.1,-9.7,80.6,167.3,0.5,6.2,0.0,,3.7,291,-3.8,-0.2,3.0,2020,12,22
357,252805A001,인제군 인제읍,2020-12-23,-0.3,6.0,-8.3,79.7,178.5,1.3,9.5,0.0,,3.7,181,-0.7,3.3,3.1,2020,12,23
358,252805A001,인제군 인제읍,2020-12-24,3.5,6.0,-1.9,48.4,176.2,1.6,11.0,0.0,,6.3,76,3.1,9.5,5.3,2020,12,24
359,252805A001,인제군 인제읍,2020-12-25,-1.7,1.8,-5.8,38.1,180.8,1.5,9.1,0.0,,8.1,0,-1.9,4.4,6.6,2020,12,25
360,252805A001,인제군 인제읍,2020-12-26,0.5,6.2,-5.7,58.9,172.6,1.3,8.4,0.0,,7.4,256,0.4,7.0,7.9,2020,12,26
361,252805A001,인제군 인제읍,2020-12-27,1.2,9.6,-6.3,71.3,178.2,0.2,3.8,0.0,,6.3,355,1.2,3.9,8.9,2020,12,27
362,252805A001,인제군 인제읍,2020-12-28,2.9,11.4,-2.5,70.8,177.8,0.3,4.5,0.0,,7.4,201,2.6,7.1,11.7,2020,12,28
363,252805A001,인제군 인제읍,2020-12-29,-1.4,3.1,-5.2,83.7,174.2,0.5,6.1,0.0,,2.3,1105,-1.7,4.5,11.8,2020,12,29
364,252805A001,인제군 인제읍,2020-12-30,-9.5,-2.3,-14.0,43.7,174.0,1.3,9.4,0.0,,8.5,0,-9.1,-1.1,11.3,2020,12,30
365,252805A001,인제군 인제읍,2020-12-31,-10.4,-4.6,-15.3,47.7,177.1,1.5,10.0,0.0,,8.7,0,-9.9,-4.4,6.0,2020,12,31
