stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
252805A001,인제군 인제읍,2024-08-04,29.0,35.3,24.1,77.7,48.7,1.4,5.9,0.0,,22.8,46,29.3,35.5,17.7,2024,8,4
252805A001,인제군 인제읍,2024-08-11,27.9,34.7,23.8,80.6,172.4,0.7,4.8,0.0,,17.1,0,29.2,36.1,17.0,2024,8,11
252805A001,인제군 인제읍,2024-08-12,28.3,35.8,23.9,77.5,90.0,1.0,6.4,0.0,,17.3,0,29.3,36.4,16.3,2024,8,12
252805A001,인제군 인제읍,2024-08-13,28.8,37.9,22.7,73.4,85.1,0.8,6.3,0.0,,21.3,0,29.7,36.6,15.4,2024,8,13
252805A001,인제군 인제읍,2024-08-14,28.3,35.7,22.8,73.6,62.4,1.5,7.0,0.0,,22.1,0,28.9,36.9,14.6,2024,8,14
252805A001,인제군 인제읍,2024-08-15,27.6,35.2,22.0,73.0,61.7,1.5,6.6,0.0,,21.8,0,28.5,36.9,13.9,2024,8,15
252805A001,인제군 인제읍,2024-08-16,26.5,33.3,20.5,76.2,65.3,1.2,6.2,0.0,,17.0,0,27.4,36.4,13.5,2024,8,16
252805A001,인제군 인제읍,2024-08-17,28.0,36.5,21.5,73.1,58.8,1.0,6.2,0.0,,23.1,0,28.9,36.5,13.1,2024,8,17
252805A001,인제군 인제읍,2024-08-18,27.0,36.6,23.0,81.8,64.7,0.9,6.9,25.0,,18.4,249,28.5,36.7,15.7,2024,8,18
252805A001,인제군 인제읍,2024-08-19,27.5,37.2,23.5,83.2,70.7,0.9,7.9,3.5,,18.5,63,28.4,35.8,20.5,2024,8,19
252805A001,인제군 인제읍,2024-08-20,28.1,34.0,23.1,79.6,54.6,1.2,6.1,0.0,,16.5,222,28.3,35.4,19.3,2024,8,20
252805A001,인제군 인제읍,2024-08-21,26.1,27.9,25.1,93.6,160.4,1.2,7.8,19.0,,2.3,1099,26.2,34.4,21.6,2024,8,21
252805A001,인제군 인제읍,2024-08-22,27.8,31.7,25.4,83.6,169.3,3.1,11.0,2.5,,8.4,442,27.2,33.8,21.4,2024,8,22
252805A001,인제군 인제읍,2024-08-23,27.5,31.5,24.7,76.3,166.2,2.5,9.2,0.0,,14.9,23,27.5,33.6,20.5,2024,8,23
252805A001,인제군 인제읍,2024-08-24,26.6,32.2,23.4,80.4,173.3,1.1,7.1,0.0,,17.8,130,27.8,33.7,19.7,2024,8,24
252805A001,인제군 인제읍,2024-08-25,26.9,33.2,23.1,80.1,150.3,1.0,5.2,0.0,,18.9,0,28.1,34.0,18.7,2024,8,25
252805A001,인제군 인제읍,2024-08-26,26.4,31.5,23.9,82.4,93.7,0.9,4.9,0.0,,9.6,0,26.8,34.1,17.6,2024,8,26
252805A001,인제군 인제읍,2024-08-27,24.1,28.3,20.6,83.6,91.2,1.3,6.2,0.0,,7.4,72,24.2,33.3,16.7,2024,8,27
252805A001,인제군 인제읍,2024-08-28,24.4,31.6,19.0,78.7,49.3,1.3,5.5,0.0,,16.4,384,24.5,32.6,15.9,2024,8,28
252805A001,인제군 인제읍,2024-08-29,23.5,28.5,18.8,80.8,84.6,2.4,10.1,0.0,,10.5,319,23.7,32.5,15.1,2024,8,29
252805A001,인제군 인제읍,2024-08-30,26.4,34.3,20.7,72.6,121.5,1.6,6.2,0.0,,20.8,714,26.8,33.0,14.3,2024,8,30
252805A001,인제군 인제읍,2024-08-31,24.4,33.1,19.9,75.8,87.1,1.0,6.8,0.0,,18.6,692,25.3,33.3,13.7,2024,8,31
