no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
182,566822A001,임실군 신평면,2011-07-01,24.8,29.8,21.6,85.0,235.3,1.1,,0.0,,0.0,10,,24.0,,2011,7,1
183,566822A001,임실군 신평면,2011-07-02,26.9,32.0,23.5,80.4,166.5,1.1,,1.5,,0.0,10,,25.2,,2011,7,2
184,566822A001,임실군 신평면,2011-07-03,24.6,26.9,22.0,90.1,168.4,2.0,,38.5,,0.0,10,,25.1,,2011,7,3
185,566822A001,임실군 신평면,2011-07-04,23.2,28.3,18.6,79.9,238.3,1.6,,8.5,,0.0,10,,24.6,,2011,7,4
186,566822A001,임실군 신평면,2011-07-05,23.1,31.1,17.2,75.5,211.6,0.9,,0.0,,0.0,10,,24.5,,2011,7,5
187,566822A001,임실군 신평면,2011-07-06,21.3,24.3,18.2,88.5,125.1,0.6,,0.5,,0.0,10,,24.2,,2011,7,6
188,566822A001,임실군 신평면,2011-07-07,22.7,24.9,20.9,90.7,126.5,1.8,,12.0,,0.0,10,,23.3,,2011,7,7
189,566822A001,임실군 신평면,2011-07-08,25.0,28.4,23.3,87.0,153.9,2.2,,1.5,,0.0,10,,23.6,,2011,7,8
190,566822A001,임실군 신평면,2011-07-09,22.9,25.1,20.7,94.0,105.5,1.2,,95.5,,0.0,10,,24.0,,2011,7,9
191,566822A001,임실군 신평면,2011-07-10,22.7,26.2,20.9,92.6,109.3,1.2,,38.0,,0.0,10,,23.1,,2011,7,10
192,566822A001,임실군 신평면,2011-07-11,25.1,29.2,19.5,81.2,133.6,1.8,,6.5,,0.0,10,,23.7,,2011,7,11
193,566822A001,임실군 신평면,2011-07-12,22.9,25.7,21.2,92.7,91.0,0.8,,36.5,,0.0,10,,23.7,,2011,7,12
194,566822A001,임실군 신평면,2011-07-13,24.2,26.8,21.6,88.1,117.7,1.5,,2.0,,0.0,10,,23.5,,2011,7,13
195,566822A001,임실군 신평면,2011-07-14,24.6,28.0,22.9,89.2,116.2,1.6,,5.0,,0.0,10,,24.0,,2011,7,14
196,566822A001,임실군 신평면,2011-07-15,26.4,31.6,23.1,81.0,139.1,1.8,,5.0,,0.0,10,,24.7,,2011,7,15
197,566822A001,임실군 신평면,2011-07-16,25.6,31.2,20.9,83.5,129.4,0.9,,2.0,,0.0,10,,25.2,,2011,7,16
198,566822A001,임실군 신평면,2011-07-17,26.3,32.9,20.9,79.5,131.1,0.8,,0.0,,0.0,10,,25.7,,2011,7,17
199,566822A001,임실군 신평면,2011-07-18,27.4,33.6,21.5,73.5,83.5,1.1,,0.0,,0.0,10,,26.4,,2011,7,18
200,566822A001,임실군 신평면,2011-07-19,28.1,34.3,22.1,63.2,78.8,1.7,,0.0,,0.0,0,,26.3,,2011,7,19
201,566822A001,임실군 신평면,2011-07-20,27.4,33.9,21.1,71.7,177.2,0.8,,0.0,,0.0,0,,26.6,,2011,7,20
202,566822A001,임실군 신평면,2011-07-21,25.2,28.6,22.1,87.6,111.1,0.9,,13.5,,0.0,10,,26.9,,2011,7,21
203,566822A001,임실군 신평면,2011-07-22,23.4,28.1,20.8,89.2,109.6,1.0,,14.5,,0.0,10,,25.7,,2011,7,22
204,566822A001,임실군 신평면,2011-07-23,24.7,29.8,22.1,85.5,195.8,0.7,,0.0,,0.0,10,,26.0,,2011,7,23
205,566822A001,임실군 신평면,2011-07-24,23.3,26.5,21.8,91.6,98.3,0.5,,17.0,,0.0,10,,25.7,,2011,7,24
206,566822A001,임실군 신평면,2011-07-25,25.4,30.6,21.4,77.8,117.0,1.2,,0.0,,0.0,10,,25.7,,2011,7,25
207,566822A001,임실군 신평면,2011-07-26,25.3,30.7,21.1,81.2,113.2,1.9,,0.0,,0.0,10,,26.0,,2011,7,26
208,566822A001,임실군 신평면,2011-07-27,26.1,30.3,23.7,85.4,132.9,1.8,,16.0,,0.0,10,,26.0,,2011,7,27
209,566822A001,임실군 신평면,2011-07-28,26.4,32.1,22.6,80.8,137.8,1.6,,2.5,,0.0,10,,26.3,,2011,7,28
210,566822A001,임실군 신평면,2011-07-29,25.8,30.9,22.8,85.2,143.5,0.9,,12.5,,0.0,10,,26.7,,2011,7,29
211,566822A001,임실군 신평면,2011-07-30,26.1,31.7,23.0,84.3,134.1,0.9,,0.0,,0.0,10,,26.9,,2011,7,30
212,566822A001,임실군 신평면,2011-07-31,26.2,32.0,22.7,81.4,109.9,1.2,,0.5,,0.0,10,,26.9,,2011,7,31
