no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,515804A001,장성군 장성읍,2023-11-01,17.1,24.8,11.4,82.2,205.2,0.9,7.6,0.0,430,12.2,0,17.8,17.5,5.0,2023,11,1
306,515804A001,장성군 장성읍,2023-11-02,17.3,27.0,11.4,80.6,212.2,0.2,6.2,0.0,522,14.7,391,17.9,18.7,5.0,2023,11,2
307,515804A001,장성군 장성읍,2023-11-03,17.3,25.9,10.2,83.4,212.4,0.4,6.0,0.0,485,14.1,683,18.0,18.7,5.0,2023,11,3
308,515804A001,장성군 장성읍,2023-11-04,19.3,25.6,14.7,84.1,166.0,0.1,6.7,0.0,172,8.6,482,19.9,19.5,5.0,2023,11,4
309,515804A001,장성군 장성읍,2023-11-05,20.3,25.3,16.6,83.4,142.9,1.8,11.0,7.5,159,7.2,711,20.5,19.8,5.0,2023,11,5
310,515804A001,장성군 장성읍,2023-11-06,16.9,22.2,11.7,72.5,233.5,2.9,13.2,16.5,82,3.0,469,16.7,18.9,5.0,2023,11,6
311,515804A001,장성군 장성읍,2023-11-07,10.3,14.6,2.9,67.3,339.1,1.5,9.9,0.0,336,11.0,30,10.8,15.0,5.0,2023,11,7
312,515804A001,장성군 장성읍,2023-11-08,8.2,18.9,-0.5,74.7,253.4,0.1,5.8,0.0,522,14.2,97,8.9,12.9,5.0,2023,11,8
313,515804A001,장성군 장성읍,2023-11-09,12.8,20.8,4.0,85.3,24.1,0.1,7.0,11.5,128,7.3,255,13.2,13.5,5.0,2023,11,9
314,515804A001,장성군 장성읍,2023-11-10,8.3,13.9,2.4,64.6,16.7,3.0,10.4,3.0,436,12.0,227,8.7,13.5,5.0,2023,11,10
315,515804A001,장성군 장성읍,2023-11-11,4.7,9.4,-0.4,60.6,21.9,1.1,8.1,0.0,443,12.4,0,5.3,10.1,5.0,2023,11,11
316,515804A001,장성군 장성읍,2023-11-12,5.2,8.8,3.0,69.2,9.5,1.2,8.5,0.5,238,9.3,402,5.9,9.8,5.0,2023,11,12
317,515804A001,장성군 장성읍,2023-11-13,4.8,9.1,1.5,69.8,12.3,1.6,9.5,0.0,396,12.0,375,5.3,9.0,5.0,2023,11,13
318,515804A001,장성군 장성읍,2023-11-14,6.8,13.2,2.1,77.9,326.3,0.3,6.7,0.0,176,7.8,0,7.2,9.6,5.0,2023,11,14
319,515804A001,장성군 장성읍,2023-11-15,6.6,14.7,0.7,79.6,342.3,0.2,6.1,0.0,494,12.3,0,7.3,9.9,5.0,2023,11,15
320,515804A001,장성군 장성읍,2023-11-16,5.5,8.7,1.6,95.8,88.8,0.0,3.5,11.0,0,1.8,745,5.8,9.5,5.0,2023,11,16
321,515804A001,장성군 장성읍,2023-11-17,4.7,7.7,0.3,84.5,342.5,1.1,9.0,13.0,163,5.9,1174,5.2,9.0,5.0,2023,11,17
322,515804A001,장성군 장성읍,2023-11-18,4.4,8.4,-1.0,70.6,339.0,1.9,14.3,1.5,17,3.3,479,4.1,6.8,5.0,2023,11,18
323,515804A001,장성군 장성읍,2023-11-19,7.3,14.2,-0.4,82.7,235.3,0.3,7.1,0.0,258,9.6,0,7.4,7.7,5.0,2023,11,19
324,515804A001,장성군 장성읍,2023-11-20,6.5,13.9,-0.4,71.0,349.1,0.4,6.9,0.0,548,13.7,0,6.7,8.7,5.0,2023,11,20
325,515804A001,장성군 장성읍,2023-11-21,5.1,16.4,-2.3,81.5,213.4,0.0,4.6,0.0,521,13.1,103,5.7,8.3,5.0,2023,11,21
326,515804A001,장성군 장성읍,2023-11-22,8.2,18.0,0.0,88.4,226.3,0.1,5.4,0.0,444,11.6,95,8.8,9.3,5.0,2023,11,22
327,515804A001,장성군 장성읍,2023-11-23,12.0,18.7,6.5,80.7,296.1,0.9,10.6,0.0,435,9.9,102,12.3,11.5,5.0,2023,11,23
328,515804A001,장성군 장성읍,2023-11-24,3.9,7.0,0.6,62.9,6.2,2.6,10.7,0.0,74,5.6,146,4.3,9.4,5.0,2023,11,24
329,515804A001,장성군 장성읍,2023-11-25,0.8,5.6,-3.5,51.3,16.5,0.7,7.5,0.0,539,13.5,0,1.5,6.6,5.0,2023,11,25
330,515804A001,장성군 장성읍,2023-11-26,3.2,11.6,-4.0,65.4,,0.0,1.0,0.0,237,7.9,0,3.7,6.0,5.0,2023,11,26
331,515804A001,장성군 장성읍,2023-11-27,6.6,11.0,3.8,88.9,281.9,0.1,6.7,1.5,4,2.4,728,6.8,7.9,5.0,2023,11,27
332,515804A001,장성군 장성읍,2023-11-28,5.0,8.9,-0.9,73.0,341.8,0.7,8.9,0.5,252,7.7,397,5.0,7.8,5.0,2023,11,28
333,515804A001,장성군 장성읍,2023-11-29,4.1,8.7,-1.1,81.1,5.4,0.6,8.3,0.5,110,5.1,271,4.5,6.9,5.0,2023,11,29
334,515804A001,장성군 장성읍,2023-11-30,0.7,4.1,-2.6,66.8,6.9,2.8,9.2,0.0,330,9.7,0,1.4,6.0,5.0,2023,11,30
