no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,055640F028,장수군 개정리,2023-10-01,14.8,21.6,7.8,71.9,13.9,1.2,7.5,0.0,,18.1,492,,,,2023,10,1
275,055640F028,장수군 개정리,2023-10-02,12.9,22.0,6.7,76.1,335.9,0.9,6.2,0.0,,19.3,239,,,,2023,10,2
276,055640F028,장수군 개정리,2023-10-03,12.4,18.2,8.5,88.5,120.2,0.5,7.6,0.5,,6.0,735,,,,2023,10,3
277,055640F028,장수군 개정리,2023-10-04,14.7,23.0,7.3,80.1,305.9,1.0,6.2,0.0,,17.8,754,,,,2023,10,4
278,055640F028,장수군 개정리,2023-10-05,12.8,18.8,7.5,53.4,28.2,1.6,8.2,0.0,,19.4,0,,,,2023,10,5
279,055640F028,장수군 개정리,2023-10-06,12.5,20.7,6.6,65.7,39.2,1.0,4.9,0.0,,15.3,0,,,,2023,10,6
280,055640F028,장수군 개정리,2023-10-07,13.0,19.2,7.6,79.2,148.9,0.7,6.2,0.0,,11.4,13,,,,2023,10,7
281,055640F028,장수군 개정리,2023-10-08,14.5,19.8,11.4,77.3,91.3,0.9,6.1,0.5,,10.9,750,,,,2023,10,8
282,055640F028,장수군 개정리,2023-10-09,14.6,20.9,10.9,82.6,232.3,0.8,6.2,0.0,,11.8,22,,,,2023,10,9
283,055640F028,장수군 개정리,2023-10-10,13.9,21.2,9.2,79.8,13.0,0.9,4.7,0.0,,15.8,0,,,,2023,10,10
284,055640F028,장수군 개정리,2023-10-11,12.6,21.7,7.0,80.1,146.6,0.6,4.1,0.0,,14.5,129,,,,2023,10,11
285,055640F028,장수군 개정리,2023-10-12,12.6,21.7,6.0,76.0,36.9,0.6,4.1,0.0,,15.3,91,,,,2023,10,12
286,055640F028,장수군 개정리,2023-10-13,13.3,20.8,8.4,78.7,146.0,0.6,4.3,0.0,,10.5,231,,,,2023,10,13
287,055640F028,장수군 개정리,2023-10-14,12.8,19.3,7.1,78.4,197.8,1.4,7.5,0.0,,13.4,540,,,,2023,10,14
288,055640F028,장수군 개정리,2023-10-15,13.0,18.6,8.9,78.5,311.4,1.2,6.8,0.0,,10.6,203,,,,2023,10,15
289,055640F028,장수군 개정리,2023-10-16,12.4,17.7,4.8,72.9,247.0,1.4,7.1,0.0,,18.1,29,,,,2023,10,16
290,055640F028,장수군 개정리,2023-10-17,9.2,20.7,1.1,74.5,31.5,0.8,9.1,0.0,,17.5,678,,,,2023,10,17
291,055640F028,장수군 개정리,2023-10-18,11.7,21.3,2.8,70.0,184.9,1.2,6.8,0.0,,16.6,622,,,,2023,10,18
292,055640F028,장수군 개정리,2023-10-19,13.7,19.7,8.3,78.4,179.8,1.7,7.3,6.5,,11.0,390,,,,2023,10,19
293,055640F028,장수군 개정리,2023-10-20,9.3,14.4,5.6,69.7,355.6,2.0,7.9,3.0,,13.5,497,,,,2023,10,20
294,055640F028,장수군 개정리,2023-10-21,7.1,13.9,1.4,70.5,128.7,1.7,7.7,1.0,,10.0,401,,,,2023,10,21
295,055640F028,장수군 개정리,2023-10-22,7.9,16.2,0.8,78.3,267.0,0.7,5.6,0.0,,10.1,1063,,,,2023,10,22
296,055640F028,장수군 개정리,2023-10-23,10.7,19.0,5.4,82.5,225.6,0.7,4.7,0.0,,13.3,981,,,,2023,10,23
297,055640F028,장수군 개정리,2023-10-24,10.6,18.8,3.6,82.1,191.5,0.9,5.8,0.0,,12.8,956,,,,2023,10,24
298,055640F028,장수군 개정리,2023-10-25,12.6,21.8,6.3,81.6,214.9,0.7,4.7,0.0,,14.4,1017,,,,2023,10,25
299,055640F028,장수군 개정리,2023-10-26,13.0,20.5,5.4,84.9,190.3,1.2,5.9,0.0,,13.7,1034,,,,2023,10,26
300,055640F028,장수군 개정리,2023-10-27,11.3,17.6,6.1,75.6,309.6,1.2,6.7,0.0,,9.7,841,,,,2023,10,27
301,055640F028,장수군 개정리,2023-10-28,9.7,18.6,3.3,82.1,350.9,0.7,4.8,0.0,,14.2,1024,,,,2023,10,28
302,055640F028,장수군 개정리,2023-10-29,10.3,18.5,4.4,80.2,198.0,0.9,5.1,0.5,,13.6,964,,,,2023,10,29
303,055640F028,장수군 개정리,2023-10-30,11.1,20.5,4.8,80.4,221.2,0.6,4.3,0.0,,14.0,995,,,,2023,10,30
304,055640F028,장수군 개정리,2023-10-31,12.0,21.8,4.2,66.5,191.3,0.9,6.4,0.0,,14.5,653,,,,2023,10,31
