no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,597803A001,장수군 장수읍,2022-03-01,5.8,10.6,-1.2,88.3,272.5,2.2,8.7,3.0,,10.5,909,5.5,,22.8,2022,3,1
61,597803A001,장수군 장수읍,2022-03-02,0.4,6.8,-5.9,67.9,302.3,2.0,8.3,0.0,,18.6,270,0.5,,25.3,2022,3,2
62,597803A001,장수군 장수읍,2022-03-03,4.2,11.5,-1.4,61.5,263.4,1.5,7.3,0.0,,18.3,0,3.9,,25.5,2022,3,3
63,597803A001,장수군 장수읍,2022-03-04,6.3,13.7,-2.8,62.5,207.2,2.5,10.6,0.0,,15.0,0,6.1,,25.7,2022,3,4
64,597803A001,장수군 장수읍,2022-03-05,1.4,6.4,-4.6,55.4,293.5,3.9,13.2,0.0,,19.1,0,1.8,,25.3,2022,3,5
65,597803A001,장수군 장수읍,2022-03-06,-0.7,6.6,-5.5,48.6,330.1,1.8,7.8,0.0,,19.7,0,-0.5,,24.7,2022,3,6
66,597803A001,장수군 장수읍,2022-03-07,1.3,10.4,-6.3,49.5,257.5,1.0,5.6,0.0,,15.7,0,1.6,,24.3,2022,3,7
67,597803A001,장수군 장수읍,2022-03-08,3.1,12.2,-5.6,51.4,297.7,1.1,7.9,0.0,,18.6,0,3.1,,24.1,2022,3,8
68,597803A001,장수군 장수읍,2022-03-09,5.0,16.3,-4.1,55.2,306.7,1.0,6.9,0.0,,19.1,0,4.7,,23.9,2022,3,9
69,597803A001,장수군 장수읍,2022-03-10,6.4,14.8,-3.1,47.4,225.8,1.2,7.3,0.0,,15.3,0,6.3,,23.5,2022,3,10
70,597803A001,장수군 장수읍,2022-03-11,9.2,16.8,0.6,79.4,223.5,0.9,6.3,0.0,,8.0,0,9.1,,23.2,2022,3,11
71,597803A001,장수군 장수읍,2022-03-12,13.4,19.0,6.9,80.8,196.6,2.0,9.2,0.0,,8.7,219,13.3,,23.1,2022,3,12
72,597803A001,장수군 장수읍,2022-03-13,12.9,14.2,10.6,98.1,190.6,2.3,9.1,18.5,,2.4,1053,12.8,,25.6,2022,3,13
73,597803A001,장수군 장수읍,2022-03-14,9.7,13.5,1.7,99.4,220.4,2.0,9.3,4.0,,3.5,1407,9.4,,28.6,2022,3,14
74,597803A001,장수군 장수읍,2022-03-15,8.2,20.2,-1.8,73.3,231.0,1.0,7.6,0.0,,19.5,494,8.3,,28.2,2022,3,15
75,597803A001,장수군 장수읍,2022-03-16,10.2,20.9,0.1,62.6,277.5,1.0,5.6,0.0,,19.3,0,9.9,,27.6,2022,3,16
76,597803A001,장수군 장수읍,2022-03-17,7.7,10.5,5.1,87.5,19.4,0.9,7.9,4.0,,2.5,233,7.5,,27.4,2022,3,17
77,597803A001,장수군 장수읍,2022-03-18,5.1,7.3,2.7,98.2,110.8,1.2,7.7,5.0,,4.0,1186,5.4,,29.6,2022,3,18
78,597803A001,장수군 장수읍,2022-03-19,1.2,4.4,-1.2,97.6,231.6,2.1,12.4,13.0,,3.9,1183,1.4,,29.6,2022,3,19
79,597803A001,장수군 장수읍,2022-03-20,1.2,6.3,-2.3,91.7,266.5,0.9,5.0,0.5,,7.5,156,1.7,,27.5,2022,3,20
80,597803A001,장수군 장수읍,2022-03-21,4.5,12.8,-2.7,64.2,1.1,1.0,6.5,0.0,,17.6,0,4.5,,26.8,2022,3,21
81,597803A001,장수군 장수읍,2022-03-22,4.9,12.2,-1.6,54.1,0.4,1.7,7.4,0.0,,19.4,0,4.9,,26.2,2022,3,22
82,597803A001,장수군 장수읍,2022-03-23,3.3,10.4,-1.6,76.5,259.9,1.1,6.7,0.0,,9.9,0,3.6,,25.8,2022,3,23
83,597803A001,장수군 장수읍,2022-03-24,5.9,15.7,-3.3,72.7,218.8,1.1,6.1,0.0,,17.7,0,6.3,,25.5,2022,3,24
84,597803A001,장수군 장수읍,2022-03-25,11.1,17.4,3.2,75.1,200.9,2.2,10.0,14.5,,13.8,242,11.2,,25.4,2022,3,25
85,597803A001,장수군 장수읍,2022-03-26,9.9,13.9,5.5,99.8,216.2,2.6,11.3,29.0,,4.2,552,10.0,,29.6,2022,3,26
86,597803A001,장수군 장수읍,2022-03-27,7.0,15.6,0.2,70.9,279.7,1.8,11.9,0.0,,19.7,0,7.2,,27.8,2022,3,27
87,597803A001,장수군 장수읍,2022-03-28,5.6,14.3,-2.4,54.9,216.6,1.1,6.3,0.0,,19.4,0,5.8,,27.0,2022,3,28
88,597803A001,장수군 장수읍,2022-03-29,8.6,18.7,-1.5,61.5,227.5,1.3,7.3,0.0,,22.2,0,8.7,,27.4,2022,3,29
89,597803A001,장수군 장수읍,2022-03-30,11.8,19.7,2.3,81.5,216.2,1.6,7.9,0.0,,10.9,0,11.6,,28.5,2022,3,30
90,597803A001,장수군 장수읍,2022-03-31,10.1,15.5,6.8,87.6,336.6,1.7,6.4,0.0,,11.5,0,10.2,,28.0,2022,3,31
