no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,597803A001,장수군 장수읍,2014-01-01,3.0,6.2,-0.4,63.0,47.1,2.5,11.6,0.0,,10.7,0,1.7,,,2014
2,597803A001,장수군 장수읍,2014-01-02,1.3,7.9,-3.4,61.5,132.3,0.8,7.4,0.0,,11.8,174,-0.3,,,2014
3,597803A001,장수군 장수읍,2014-01-03,0.7,10.0,-5.2,62.0,18.7,0.5,4.2,0.0,,10.5,94,-0.5,,,2014
4,597803A001,장수군 장수읍,2014-01-04,-0.9,5.6,-5.2,76.3,66.7,0.5,4.7,0.0,,12.3,643,-1.6,,,2014
5,597803A001,장수군 장수읍,2014-01-05,-2.7,4.6,-8.4,70.6,143.8,0.6,5.9,0.0,,13.0,658,-3.4,,,2014
6,597803A001,장수군 장수읍,2014-01-06,-2.4,6.1,-8.3,72.3,122.0,0.4,4.0,0.0,,13.0,644,-3.2,,,2014
7,597803A001,장수군 장수읍,2014-01-07,-0.7,6.6,-7.7,72.3,7.8,0.6,6.3,0.0,,9.6,563,-1.3,,,2014
8,597803A001,장수군 장수읍,2014-01-08,-0.2,1.6,-5.1,84.7,102.2,1.3,7.4,1.5,,2.3,703,-1.1,,,2014
9,597803A001,장수군 장수읍,2014-01-09,-7.0,-3.2,-11.1,50.8,113.8,2.0,7.8,0.0,,14.1,0,-6.4,,,2014
10,597803A001,장수군 장수읍,2014-01-10,-5.8,-0.9,-12.3,74.4,87.2,1.1,7.4,0.0,,6.8,0,-5.0,,,2014
11,597803A001,장수군 장수읍,2014-01-11,-2.5,3.1,-6.7,76.1,94.0,1.0,6.6,0.0,,11.6,0,-2.4,,,2014
12,597803A001,장수군 장수읍,2014-01-12,-2.4,3.5,-7.1,76.6,77.6,1.9,9.7,0.0,,6.8,35,-2.6,,,2014
13,597803A001,장수군 장수읍,2014-01-13,-7.2,-0.9,-12.9,56.5,129.6,1.1,6.6,0.0,,14.6,0,-7.0,,,2014
14,597803A001,장수군 장수읍,2014-01-14,-6.3,1.2,-12.2,54.9,133.2,1.0,7.2,0.0,,13.9,0,-6.4,,,2014
15,597803A001,장수군 장수읍,2014-01-15,-5.4,2.5,-11.6,64.4,143.5,0.7,5.2,0.0,,13.7,0,-5.7,,,2014
16,597803A001,장수군 장수읍,2014-01-16,-3.7,3.5,-10.0,74.3,143.6,0.8,5.6,0.0,,12.5,29,-4.3,,,2014
17,597803A001,장수군 장수읍,2014-01-17,-2.3,4.9,-8.3,77.6,88.3,0.8,5.8,0.0,,10.0,100,-3.1,,,2014
18,597803A001,장수군 장수읍,2014-01-18,-1.7,1.5,-3.9,72.2,90.6,2.3,12.3,0.0,,6.4,0,-2.0,,,2014
19,597803A001,장수군 장수읍,2014-01-19,1.1,5.4,-11.9,34.3,20.3,1.5,7.3,0.0,,14.7,0,1.6,,,2014
21,597803A001,장수군 장수읍,2014-01-21,-6.9,-4.1,-10.1,79.9,102.9,0.7,5.5,0.0,,2.0,15,-6.3,,,2014
22,597803A001,장수군 장수읍,2014-01-22,-7.6,1.0,-14.9,79.3,77.2,0.8,6.6,3.0,,13.6,95,-7.7,,,2014
23,597803A001,장수군 장수읍,2014-01-23,-3.6,7.0,-12.2,68.8,325.2,0.7,4.5,1.5,,14.7,91,-4.8,,,2014
24,597803A001,장수군 장수읍,2014-01-24,4.4,9.1,-1.8,77.0,294.8,1.5,7.1,0.0,,11.5,0,2.3,,,2014
25,597803A001,장수군 장수읍,2014-01-25,7.3,9.9,0.9,85.0,17.0,2.0,8.3,1.5,,2.8,320,5.0,,,2014
26,597803A001,장수군 장수읍,2014-01-26,-1.0,4.6,-6.5,59.0,125.4,1.1,6.1,0.0,,16.3,91,-2.0,,,2014
27,597803A001,장수군 장수읍,2014-01-27,-0.2,7.3,-9.0,55.0,333.5,1.2,7.8,0.0,,15.6,0,-1.3,,,2014
28,597803A001,장수군 장수읍,2014-01-28,3.2,8.6,-4.7,70.3,49.9,1.7,7.2,0.0,,11.2,0,1.9,,,2014
29,597803A001,장수군 장수읍,2014-01-29,2.9,12.5,-7.0,50.6,316.9,1.1,6.5,0.0,,13.7,21,0.8,,,2014
30,597803A001,장수군 장수읍,2014-01-30,5.2,7.2,-1.0,96.2,7.3,1.4,9.3,2.0,,1.7,1425,3.3,,,2014
31,597803A001,장수군 장수읍,2014-01-31,3.5,12.7,-4.7,64.1,302.1,0.6,5.4,0.0,,14.8,585,0.8,,,2014
32,597803A001,장수군 장수읍,2014-02-01,11.1,16.1,5.5,75.4,305.1,2.0,8.5,0.0,,9.6,67,8.2,,,2014
33,597803A001,장수군 장수읍,2014-02-02,11.4,17.2,7.1,88.3,10.1,1.8,8.8,0.0,,12.3,663,10.6,,,2014
34,597803A001,장수군 장수읍,2014-02-03,1.2,7.1,-8.0,66.2,106.4,2.4,8.4,0.0,,9.9,170,1.2,,,2014
35,597803A001,장수군 장수읍,2014-02-04,-7.6,-1.9,-11.1,49.0,139.8,2.2,8.6,0.0,,17.7,0,-6.7,,,2014
36,597803A001,장수군 장수읍,2014-02-05,-5.2,2.5,-10.0,43.0,150.6,1.1,4.7,0.0,,11.7,0,-4.4,,,2014
37,597803A001,장수군 장수읍,2014-02-06,-1.3,5.6,-6.2,57.6,53.9,0.6,4.1,0.0,,11.8,0,-1.3,,,2014
38,597803A001,장수군 장수읍,2014-02-07,0.7,6.3,-3.8,78.7,150.8,0.7,6.8,0.0,,7.0,0,0.3,,,2014
39,597803A001,장수군 장수읍,2014-02-08,1.2,3.3,-0.5,83.1,12.4,1.1,5.4,0.0,,4.6,0,0.7,,,2014
40,597803A001,장수군 장수읍,2014-02-09,-1.8,0.8,-2.9,83.8,112.6,1.5,5.2,1.0,,8.6,234,-1.6,,,2014
41,597803A001,장수군 장수읍,2014-02-10,-1.2,2.2,-3.4,80.7,177.5,1.1,5.4,0.0,,7.8,459,-1.2,,,2014
42,597803A001,장수군 장수읍,2014-02-11,-1.6,5.5,-7.4,69.6,224.0,0.9,8.3,0.0,,19.0,469,-1.6,,,2014
43,597803A001,장수군 장수읍,2014-02-12,-0.6,6.0,-4.6,68.4,207.3,0.6,4.2,0.0,,13.4,0,-0.7,,,2014
44,597803A001,장수군 장수읍,2014-02-13,-0.5,5.9,-5.6,73.2,209.2,0.9,5.9,0.0,,11.3,523,-0.8,,,2014
45,597803A001,장수군 장수읍,2014-02-14,-0.2,3.2,-4.6,69.1,176.3,1.1,5.8,0.0,,9.0,0,-0.8,,,2014
46,597803A001,장수군 장수읍,2014-02-15,-1.0,7.5,-7.9,67.6,151.3,0.8,6.6,0.0,,19.0,178,-1.7,,,2014
47,597803A001,장수군 장수읍,2014-02-16,0.8,9.4,-6.2,63.4,34.8,0.8,6.4,0.0,,14.9,281,0.3,,,2014
48,597803A001,장수군 장수읍,2014-02-17,2.5,7.6,-0.2,75.8,182.6,0.6,5.4,0.5,,5.9,417,2.0,,,2014
49,597803A001,장수군 장수읍,2014-02-18,1.1,3.3,-3.1,69.4,200.4,1.2,6.2,0.0,,9.6,9,0.7,,,2014
50,597803A001,장수군 장수읍,2014-02-19,-0.5,6.9,-6.2,67.8,327.1,0.7,5.4,0.0,,17.2,260,-0.5,,,2014
51,597803A001,장수군 장수읍,2014-02-20,-0.9,6.7,-6.7,73.2,83.7,1.5,7.3,0.0,,18.6,477,-0.6,,,2014
52,597803A001,장수군 장수읍,2014-02-21,-1.7,7.7,-8.8,65.2,132.8,0.9,5.0,0.0,,20.2,288,-1.4,,,2014
53,597803A001,장수군 장수읍,2014-02-22,-0.7,8.9,-8.2,59.5,146.1,0.6,4.1,0.0,,19.5,273,-1.0,,,2014
54,597803A001,장수군 장수읍,2014-02-23,1.2,10.4,-6.2,59.8,60.0,0.8,6.5,0.0,,17.5,116,0.7,,,2014
55,597803A001,장수군 장수읍,2014-02-24,2.7,12.6,-5.3,62.1,86.3,0.8,5.5,0.0,,17.4,66,1.9,,,2014
56,597803A001,장수군 장수읍,2014-02-25,4.4,14.4,-4.1,64.6,125.0,0.5,3.4,0.0,,16.4,359,3.0,,,2014
57,597803A001,장수군 장수읍,2014-02-26,4.4,9.1,1.4,81.2,219.6,0.5,6.5,4.0,,3.2,586,3.2,,,2014
58,597803A001,장수군 장수읍,2014-02-27,6.9,14.7,2.0,82.3,80.0,1.2,7.3,0.0,,16.0,573,6.7,,,2014
59,597803A001,장수군 장수읍,2014-02-28,6.3,12.7,0.3,73.6,323.5,0.8,6.0,0.0,,11.7,341,5.8,,,2014
60,597803A001,장수군 장수읍,2014-03-01,5.9,8.9,2.9,91.9,307.3,0.7,4.7,3.0,,4.3,650,5.5,,,2014
61,597803A001,장수군 장수읍,2014-03-02,3.6,9.8,-1.4,66.6,118.4,1.3,7.9,0.0,,20.8,578,3.8,,,2014
62,597803A001,장수군 장수읍,2014-03-03,2.9,11.7,-5.1,49.0,140.8,0.7,8.2,0.0,,22.2,0,2.4,,,2014
63,597803A001,장수군 장수읍,2014-03-04,2.6,10.1,-4.1,62.3,334.5,1.0,8.1,0.0,,12.4,208,2.0,,,2014
