no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,529805A001,,2012-05-01,17.4,19.3,16.4,84.2,117.5,1.3,7.0,32.5,,3.0,1407.0,,15.7,,2012,5,1
122,529805A001,,2012-05-02,19.5,25.8,15.1,81.3,233.0,1.3,7.2,0.5,,10.7,1398.0,,17.2,,2012,5,2
123,529805A001,,2012-05-03,17.7,23.9,12.0,76.2,271.2,2.2,10.3,0.0,,25.8,1398.0,,18.0,,2012,5,3
124,529805A001,,2012-05-04,19.3,27.7,12.5,67.6,266.2,1.9,10.6,0.0,,25.5,1398.0,,18.7,,2012,5,4
125,529805A001,,2012-05-05,18.8,26.7,10.8,64.3,268.2,1.9,8.8,0.0,,24.1,1382.0,,18.6,,2012,5,5
126,529805A001,,2012-05-06,18.5,26.6,10.5,56.8,236.9,1.5,7.5,0.5,,26.0,1431.0,,18.9,,2012,5,6
127,529805A001,,2012-05-07,19.3,28.6,11.9,63.4,237.2,1.3,6.4,0.0,,22.7,1390.0,,19.2,,2012,5,7
128,529805A001,,2012-05-08,20.2,28.4,13.9,67.3,253.8,2.0,9.1,0.0,,24.5,729.0,,20.2,,2012,5,8
129,529805A001,,2012-05-09,20.6,29.2,13.6,66.7,214.9,1.8,6.5,0.0,,23.8,1409.0,,20.7,,2012,5,9
130,529805A001,,2012-05-10,17.0,21.0,14.6,79.7,150.5,2.3,7.4,0.0,,16.4,1398.0,,20.1,,2012,5,10
131,529805A001,,2012-05-11,15.6,17.9,14.2,72.4,135.1,3.0,7.9,0.0,,11.5,0.0,,18.7,,2012,5,11
132,529805A001,,2012-05-12,15.4,19.1,12.9,65.0,128.5,3.4,10.0,0.0,,24.4,0.0,,18.2,,2012,5,12
133,529805A001,,2012-05-13,15.5,18.7,11.5,75.2,148.2,1.3,5.9,0.0,,7.5,1432.0,,17.3,,2012,5,13
134,529805A001,,2012-05-14,17.1,19.2,14.7,88.7,102.5,2.0,8.6,4.0,,6.0,1436.0,,17.3,,2012,5,14
135,529805A001,,2012-05-15,18.9,24.3,13.5,70.5,272.8,2.4,9.4,0.5,,24.8,1398.0,,19.1,,2012,5,15
136,529805A001,,2012-05-16,17.2,24.5,11.3,77.2,238.9,1.3,9.9,0.0,,17.6,1375.0,,18.8,,2012,5,16
137,529805A001,,2012-05-17,17.8,24.2,11.7,58.7,278.0,3.1,12.2,0.0,,27.0,1398.0,,19.3,,2012,5,17
138,529805A001,,2012-05-18,17.1,25.2,9.5,60.7,167.4,1.3,8.1,0.0,,26.8,1398.0,,19.2,,2012,5,18
139,529805A001,,2012-05-19,16.1,22.1,10.7,67.2,142.8,1.3,5.6,0.0,,13.6,1398.0,,18.5,,2012,5,19
140,529805A001,,2012-05-20,18.5,26.3,10.7,69.0,179.7,1.3,6.4,0.0,,23.9,1398.0,,19.3,,2012,5,20
141,529805A001,,2012-05-21,19.2,26.2,12.3,64.5,119.3,2.0,9.7,0.0,,26.9,1398.0,,20.5,,2012,5,21
142,529805A001,,2012-05-22,20.2,28.2,12.6,60.5,179.0,1.4,8.1,0.0,,26.3,1397.0,,21.3,,2012,5,22
143,529805A001,,2012-05-23,21.4,29.7,14.8,58.1,250.5,1.5,7.4,0.0,,22.9,1398.0,,22.2,,2012,5,23
144,529805A001,,2012-05-24,19.7,24.8,15.2,67.4,258.3,1.3,5.6,0.0,,10.2,1369.0,,21.4,,2012,5,24
145,529805A001,,2012-05-25,19.6,24.7,16.1,74.3,217.3,1.7,6.3,0.5,,19.2,1398.0,,21.3,,2012,5,25
146,529805A001,,2012-05-26,20.4,29.4,13.9,55.1,145.8,1.5,8.0,0.0,,27.1,1428.0,,22.1,,2012,5,26
147,529805A001,,2012-05-27,20.8,28.8,12.2,51.1,269.9,1.8,9.8,0.0,,28.8,1384.0,,22.5,,2012,5,27
148,529805A001,,2012-05-28,20.9,28.0,14.7,64.0,157.1,1.8,7.7,0.0,,24.9,1366.0,,23.0,,2012,5,28
149,529805A001,,2012-05-29,21.7,29.0,14.5,68.6,149.4,1.2,5.4,0.0,,24.8,1398.0,,23.5,,2012,5,29
150,529805A001,,2012-05-30,20.6,24.2,18.7,68.1,124.8,2.5,8.4,0.0,,14.0,260.0,,23.0,,2012,5,30
151,529805A001,,2012-05-31,21.0,27.2,16.7,69.2,150.7,1.5,7.4,0.0,,19.7,1436.0,,22.9,,2012,5,31
