no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,026136A003,정선군 신동읍,2018-01-01,-5.2,2.3,-11.9,55.1,191.0,0.5,6.1,0.0,407.0,9.2,0,-5.0,,,2018,1,1
2,026136A003,정선군 신동읍,2018-01-02,-4.6,3.9,-11.5,60.6,230.0,0.8,8.4,0.0,397.0,7.8,0,-4.6,,,2018,1,2
3,026136A003,정선군 신동읍,2018-01-03,-6.5,0.3,-12.3,57.2,200.0,0.3,4.2,0.0,408.0,9.2,0,-6.2,,,2018,1,3
4,026136A003,정선군 신동읍,2018-01-04,-6.6,0.8,-13.6,64.9,75.0,0.1,1.9,0.0,337.0,8.3,0,-6.1,,,2018,1,4
5,026136A003,정선군 신동읍,2018-01-05,-4.0,3.0,-9.1,61.7,259.4,0.4,6.2,0.0,340.0,8.4,0,-3.7,,,2018,1,5
6,026136A003,정선군 신동읍,2018-01-06,-6.4,2.0,-12.3,68.8,69.2,0.3,4.7,0.0,409.0,9.1,0,-6.1,,,2018,1,6
7,026136A003,정선군 신동읍,2018-01-07,-5.2,3.5,-13.2,66.1,,0.0,0.0,0.0,237.0,7.6,0,-4.8,,,2018,1,7
8,026136A003,정선군 신동읍,2018-01-08,-0.4,3.0,-2.5,74.8,250.1,0.7,9.5,1.0,3.0,4.1,388,-0.4,,,2018,1,8
9,026136A003,정선군 신동읍,2018-01-09,-4.0,-0.4,-6.2,55.1,262.4,2.1,11.2,0.5,341.0,8.6,0,-3.9,,,2018,1,9
10,026136A003,정선군 신동읍,2018-01-10,-7.2,-3.7,-11.6,52.7,240.8,1.3,13.0,0.5,374.0,8.6,52,-7.1,,,2018,1,10
11,026136A003,정선군 신동읍,2018-01-11,-11.1,-6.7,-14.7,49.2,222.7,1.2,7.8,0.0,417.0,9.6,0,-10.4,,,2018,1,11
12,026136A003,정선군 신동읍,2018-01-12,-12.9,-7.2,-17.5,56.2,198.5,0.5,6.7,0.0,421.0,9.7,0,-11.9,,,2018,1,12
13,026136A003,정선군 신동읍,2018-01-13,-9.7,-1.3,-16.3,73.1,273.3,0.0,4.1,0.0,216.0,6.3,0,-9.4,,,2018,1,13
14,026136A003,정선군 신동읍,2018-01-14,-3.2,4.7,-12.0,67.5,259.2,0.1,6.1,0.0,393.0,9.0,0,-2.7,,,2018,1,14
15,026136A003,정선군 신동읍,2018-01-15,3.7,9.5,-2.4,62.7,230.3,0.8,9.5,0.0,262.0,7.7,0,3.2,,,2018,1,15
16,026136A003,정선군 신동읍,2018-01-16,-0.2,6.6,-5.4,85.1,231.4,0.0,4.1,1.0,40.0,4.5,457,-0.4,,,2018,1,16
17,026136A003,정선군 신동읍,2018-01-17,2.8,6.4,0.2,88.4,241.6,0.1,4.8,4.5,80.0,4.9,664,2.5,,,2018,1,17
18,026136A003,정선군 신동읍,2018-01-18,2.3,5.9,-2.0,68.4,185.0,0.0,5.1,0.0,87.0,6.3,0,1.7,,,2018,1,18
19,026136A003,정선군 신동읍,2018-01-19,-1.2,5.2,-5.2,65.4,222.8,0.2,4.7,0.0,434.0,9.5,0,-0.9,,,2018,1,19
20,026136A003,정선군 신동읍,2018-01-20,-2.3,4.0,-7.7,75.3,255.9,0.2,5.5,0.0,150.0,7.0,0,-2.1,,,2018,1,20
21,026136A003,정선군 신동읍,2018-01-21,-2.5,5.5,-6.1,74.2,217.6,0.1,3.5,0.0,321.0,8.0,0,-2.0,,,2018,1,21
22,026136A003,정선군 신동읍,2018-01-22,-1.0,4.2,-4.6,76.7,261.1,0.3,8.9,0.0,57.0,5.8,269,-0.6,,,2018,1,22
23,026136A003,정선군 신동읍,2018-01-23,-9.2,0.1,-13.7,42.8,244.7,2.3,10.5,0.0,443.0,11.3,39,-8.5,,,2018,1,23
24,026136A003,정선군 신동읍,2018-01-24,-14.0,-9.8,-17.4,33.7,245.1,1.6,11.3,0.0,445.0,11.4,0,-13.1,,,2018,1,24
25,026136A003,정선군 신동읍,2018-01-25,-14.4,-8.8,-20.1,45.1,232.3,1.0,6.0,0.0,447.0,10.7,0,-13.3,,,2018,1,25
26,026136A003,정선군 신동읍,2018-01-26,-14.9,-9.1,-19.2,44.3,217.6,1.1,5.9,0.0,447.0,11.2,0,-13.9,,,2018,1,26
27,026136A003,정선군 신동읍,2018-01-27,-12.3,-1.0,-21.0,57.7,314.8,0.2,3.3,0.0,448.0,11.1,0,-11.4,,,2018,1,27
28,026136A003,정선군 신동읍,2018-01-28,-5.6,-0.6,-9.0,40.8,237.7,1.5,9.4,0.0,416.0,10.2,0,-4.9,,,2018,1,28
29,026136A003,정선군 신동읍,2018-01-29,-8.9,-5.0,-13.7,32.2,239.9,1.3,11.6,0.0,452.0,11.1,0,-8.3,,,2018,1,29
30,026136A003,정선군 신동읍,2018-01-30,-9.0,-0.5,-17.5,61.2,191.8,0.9,9.5,0.0,449.0,11.2,0,-8.1,,,2018,1,30
31,026136A003,정선군 신동읍,2018-01-31,-2.7,0.2,-6.0,59.5,222.7,1.1,6.8,1.0,136.0,7.4,270,-3.0,,,2018,1,31
