no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
244,233852A002,정선군 임계면,2023-09-01,20.6,28.7,16.0,80.8,266.6,0.7,4.5,0.0,591.0,9.3,0,22.1,,,2023,9,1
245,233852A002,정선군 임계면,2023-09-02,19.0,25.4,15.0,87.3,132.4,0.7,5.6,0.0,440.0,17.3,0,20.4,,,2023,9,2
246,233852A002,정선군 임계면,2023-09-03,20.6,26.0,17.9,91.8,130.7,0.6,6.0,2.0,223.0,12.0,411,21.8,,,2023,9,3
247,233852A002,정선군 임계면,2023-09-04,21.3,26.3,18.2,90.2,122.4,0.7,5.2,0.0,197.0,11.2,0,22.4,,,2023,9,4
248,233852A002,정선군 임계면,2023-09-05,21.4,26.2,17.1,86.1,117.4,0.8,10.7,0.0,411.0,15.3,0,22.6,,,2023,9,5
249,233852A002,정선군 임계면,2023-09-06,19.2,24.3,15.4,88.1,108.9,1.0,7.0,0.0,336.0,14.3,0,20.4,,,2023,9,6
250,233852A002,정선군 임계면,2023-09-07,17.7,24.1,11.7,83.6,137.2,0.7,6.9,0.0,675.0,22.9,0,19.5,,,2023,9,7
251,233852A002,정선군 임계면,2023-09-08,17.6,25.3,12.7,85.2,111.5,0.7,5.4,0.0,586.0,21.1,0,19.1,,,2023,9,8
252,233852A002,정선군 임계면,2023-09-09,17.8,25.8,11.9,83.3,123.4,0.7,5.1,0.0,589.0,21.4,0,19.4,,,2023,9,9
253,233852A002,정선군 임계면,2023-09-10,18.3,25.2,12.5,85.3,121.2,0.8,5.8,0.0,564.0,21.2,0,20.0,,,2023,9,10
254,233852A002,정선군 임계면,2023-09-11,20.8,26.3,17.3,86.5,140.3,0.7,6.2,0.0,490.0,18.0,0,22.2,,,2023,9,11
255,233852A002,정선군 임계면,2023-09-12,21.2,28.1,17.4,84.4,258.7,0.7,4.9,0.0,489.0,15.6,0,22.4,,,2023,9,12
256,233852A002,정선군 임계면,2023-09-13,17.9,19.6,15.9,94.9,127.5,0.4,3.6,25.0,0.0,3.6,768,18.6,,,2023,9,13
257,233852A002,정선군 임계면,2023-09-14,17.5,19.6,16.1,94.9,127.9,0.5,4.5,19.5,0.0,5.1,1095,18.2,,,2023,9,14
258,233852A002,정선군 임계면,2023-09-15,18.5,19.7,17.5,94.9,115.7,0.5,3.4,21.5,0.0,4.1,975,19.0,,,2023,9,15
259,233852A002,정선군 임계면,2023-09-16,20.3,26.5,18.5,93.3,119.2,0.5,5.2,24.5,171.0,5.3,866,21.0,,,2023,9,16
260,233852A002,정선군 임계면,2023-09-17,21.1,26.4,19.1,91.3,220.1,0.6,4.4,0.0,235.0,3.1,383,21.9,,,2023,9,17
261,233852A002,정선군 임계면,2023-09-18,21.9,27.6,18.4,85.4,275.0,1.1,6.7,0.5,582.0,18.6,329,22.6,,,2023,9,18
262,233852A002,정선군 임계면,2023-09-19,21.2,26.4,17.4,80.3,270.0,1.7,6.6,0.0,462.0,16.1,0,21.5,,,2023,9,19
263,233852A002,정선군 임계면,2023-09-20,17.4,19.5,15.3,94.7,122.6,1.2,7.5,56.5,0.0,2.7,396,17.7,,,2023,9,20
264,233852A002,정선군 임계면,2023-09-21,14.5,16.7,12.2,89.0,146.4,0.9,6.5,9.5,65.0,6.2,380,15.2,,,2023,9,21
265,233852A002,정선군 임계면,2023-09-22,14.4,22.9,10.5,85.5,135.1,0.5,4.8,0.0,466.0,17.9,0,15.8,,,2023,9,22
266,233852A002,정선군 임계면,2023-09-23,15.0,20.7,10.3,89.0,120.8,1.0,6.4,1.0,212.0,11.5,67,15.9,,,2023,9,23
267,233852A002,정선군 임계면,2023-09-24,14.7,19.0,11.5,85.8,129.4,0.7,6.8,0.5,341.0,11.5,268,15.7,,,2023,9,24
268,233852A002,정선군 임계면,2023-09-25,16.4,22.3,12.7,87.4,121.1,0.7,5.0,5.5,370.0,15.6,153,17.5,,,2023,9,25
269,233852A002,정선군 임계면,2023-09-26,17.0,18.6,15.6,94.9,121.6,0.2,2.8,17.0,0.0,4.7,1078,17.7,,,2023,9,26
270,233852A002,정선군 임계면,2023-09-27,18.0,19.6,17.0,94.9,228.6,0.2,8.2,13.5,0.0,4.5,1111,18.5,,,2023,9,27
271,233852A002,정선군 임계면,2023-09-28,18.6,24.7,12.7,84.0,269.4,1.1,7.5,0.0,532.0,16.7,395,19.0,,,2023,9,28
272,233852A002,정선군 임계면,2023-09-29,16.0,22.6,12.8,85.1,272.5,0.5,4.2,0.0,309.0,12.7,0,16.9,,,2023,9,29
273,233852A002,정선군 임계면,2023-09-30,15.6,20.6,12.4,84.6,265.8,1.3,7.0,4.0,342.0,13.2,278,16.3,,,2023,9,30
