no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,233852A001,정선군 정선읍,2017-12-01,-3.2,1.9,-8.8,37.9,99.2,2.1,7.3,0.0,515,10.9,0,-2.7,2.5,,2017,12,1
336,233852A001,정선군 정선읍,2017-12-02,-2.1,5.0,-8.4,65.9,96.8,1.2,7.1,0.0,501,10.2,0,-1.9,1.8,,2017,12,2
337,233852A001,정선군 정선읍,2017-12-03,0.8,5.4,-4.6,80.4,94.0,1.8,7.6,0.0,486,4.4,170,0.4,1.7,,2017,12,3
338,233852A001,정선군 정선읍,2017-12-04,-0.5,4.0,-5.8,60.2,93.9,1.8,12.1,0.5,442,7.9,435,-0.8,1.8,,2017,12,4
339,233852A001,정선군 정선읍,2017-12-05,-5.6,-1.9,-9.5,35.6,123.7,2.1,9.0,0.0,488,10.5,0,-5.1,1.4,,2017,12,5
340,233852A001,정선군 정선읍,2017-12-06,-2.2,2.2,-8.3,61.4,90.3,1.6,7.2,0.0,498,9.0,57,-1.2,1.1,,2017,12,6
341,233852A001,정선군 정선읍,2017-12-07,0.9,4.9,-4.0,65.1,141.8,1.9,9.1,1.5,463,7.7,993,0.5,1.1,,2017,12,7
342,233852A001,정선군 정선읍,2017-12-08,-4.6,-0.4,-8.7,49.0,131.7,1.9,7.4,0.0,492,9.5,0,-4.2,1.0,,2017,12,8
343,233852A001,정선군 정선읍,2017-12-09,-3.3,2.6,-10.0,55.0,113.1,1.7,6.4,0.0,482,9.8,0,-2.9,0.8,,2017,12,9
344,233852A001,정선군 정선읍,2017-12-10,-0.8,3.2,-4.7,73.8,76.0,2.5,14.7,2.5,219,1.9,529,-1.5,0.7,,2017,12,10
345,233852A001,정선군 정선읍,2017-12-11,-6.8,-2.0,-11.3,34.9,41.3,2.6,13.2,0.0,512,10.1,0,-6.3,0.6,,2017,12,11
346,233852A001,정선군 정선읍,2017-12-12,-10.1,-5.2,-14.5,44.5,116.9,1.8,6.8,0.0,478,10.0,0,-9.5,0.1,,2017,12,12
347,233852A001,정선군 정선읍,2017-12-13,-9.1,-2.5,-13.6,47.6,87.7,1.5,7.2,0.0,488,9.9,0,-9.0,-0.6,,2017,12,13
348,233852A001,정선군 정선읍,2017-12-14,-9.2,-0.6,-16.0,67.9,289.2,0.3,2.1,0.0,515,6.8,0,-8.7,-1.3,,2017,12,14
349,233852A001,정선군 정선읍,2017-12-15,-4.4,1.3,-11.4,63.4,106.3,1.5,7.1,0.0,469,6.0,0,-4.2,-1.1,,2017,12,15
350,233852A001,정선군 정선읍,2017-12-16,-4.2,-0.5,-9.1,41.2,297.5,3.0,14.1,0.0,486,8.7,0,-4.2,-0.7,,2017,12,16
351,233852A001,정선군 정선읍,2017-12-17,-8.5,-3.8,-13.2,43.4,116.6,1.7,10.2,0.0,491,9.8,0,-8.4,-1.6,,2017,12,17
352,233852A001,정선군 정선읍,2017-12-18,-3.9,1.0,-11.0,72.1,86.3,2.6,8.8,0.5,360,4.4,95,-4.2,-1.5,,2017,12,18
353,233852A001,정선군 정선읍,2017-12-19,-4.1,1.1,-11.0,44.4,133.8,2.1,14.7,0.0,489,9.5,0,-4.9,-0.8,,2017,12,19
354,233852A001,정선군 정선읍,2017-12-20,-6.3,0.4,-13.8,65.1,87.5,1.6,6.7,0.0,494,8.8,0,-5.8,-1.8,,2017,12,20
355,233852A001,정선군 정선읍,2017-12-21,-1.6,2.9,-6.4,63.0,123.7,1.7,8.0,0.0,466,9.1,0,-1.7,-0.9,,2017,12,21
356,233852A001,정선군 정선읍,2017-12-22,-1.4,4.2,-9.6,72.5,89.7,1.7,8.3,0.0,408,5.2,0,-1.7,-1.1,,2017,12,22
357,233852A001,정선군 정선읍,2017-12-23,3.1,6.7,-2.0,74.6,101.4,1.9,6.1,0.0,472,4.4,0,2.1,-0.4,,2017,12,23
358,233852A001,정선군 정선읍,2017-12-24,0.7,2.5,-1.5,85.9,89.6,1.4,10.8,9.5,187,1.6,795,0.1,-0.3,,2017,12,24
359,233852A001,정선군 정선읍,2017-12-25,-2.4,0.1,-4.4,53.1,155.3,2.0,8.1,0.0,476,9.6,66,-2.5,-0.2,,2017,12,25
360,233852A001,정선군 정선읍,2017-12-26,-3.4,0.0,-9.2,43.0,86.0,2.4,11.6,0.0,491,8.7,0,-3.8,-0.2,,2017,12,26
361,233852A001,정선군 정선읍,2017-12-27,-8.2,-3.0,-12.1,42.6,129.8,1.5,5.9,0.0,487,10.0,0,-8.1,-1.6,,2017,12,27
362,233852A001,정선군 정선읍,2017-12-28,-5.5,2.0,-11.5,59.1,92.6,1.9,6.8,0.0,506,9.3,0,-5.8,-2.3,,2017,12,28
363,233852A001,정선군 정선읍,2017-12-29,-0.6,3.4,-5.8,74.0,90.5,1.8,8.4,0.5,480,4.2,0,-1.7,-1.2,,2017,12,29
364,233852A001,정선군 정선읍,2017-12-30,-1.5,5.4,-7.7,81.5,113.9,0.7,4.8,0.5,359,6.4,124,-1.8,-1.4,,2017,12,30
365,233852A001,정선군 정선읍,2017-12-31,-0.2,2.4,-4.8,57.5,278.3,1.6,14.3,1.0,489,9.1,903,-0.6,-0.5,,2017,12,31
