stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
233852A001,정선군 정선읍,2024-01-01,1.9,4.3,0.0,83.6,86.3,0.9,6.4,7.0,3,3.7,1430,-0.3,-0.2,-2.6
233852A001,정선군 정선읍,2024-01-02,2.4,4.1,-1.7,67.8,91.8,1.5,8.5,3.5,69,4.1,393,-0.3,-0.1,-2.0
233852A001,정선군 정선읍,2024-01-03,0.6,4.2,-1.9,72.6,263.8,0.8,7.7,0.0,70,4.8,0,-0.2,0.0,-1.3
233852A001,정선군 정선읍,2024-01-04,-1.3,3.4,-6.1,71.1,98.7,1.1,6.0,0.0,352,7.4,0,-0.2,0.0,-0.4
233852A001,정선군 정선읍,2024-01-05,3.7,7.2,0.1,68.2,98.0,2.3,9.5,0.0,69,3.4,0,-0.2,0.0,1.0
233852A001,정선군 정선읍,2024-01-06,0.6,4.6,-3.9,55.2,104.3,1.7,7.1,0.0,439,8.3,0,-0.2,0.0,3.1
233852A001,정선군 정선읍,2024-01-07,-3.8,-1.4,-9.3,44.2,173.8,1.8,10.4,0.0,442,8.7,0,-0.2,0.0,4.6
233852A001,정선군 정선읍,2024-01-08,-6.5,0.1,-13.0,50.9,113.5,1.3,6.1,0.0,448,9.0,0,-0.6,-0.6,-2.1
233852A001,정선군 정선읍,2024-01-09,-1.2,1.0,-5.2,73.3,137.1,1.5,6.7,0.0,2,3.6,0,-0.7,-0.7,-3.0
233852A001,정선군 정선읍,2024-01-10,-1.9,4.6,-6.5,80.0,273.4,0.5,4.5,0.0,327,7.2,60,-0.5,-0.4,-2.7
233852A001,정선군 정선읍,2024-01-11,-0.7,3.1,-4.6,68.8,103.3,2.3,10.2,0.0,230,6.1,0,-0.5,-0.5,-2.8
233852A001,정선군 정선읍,2024-01-12,2.2,6.0,-1.8,43.0,125.1,1.7,7.8,0.0,458,8.7,0,-0.3,-0.2,-2.5
233852A001,정선군 정선읍,2024-01-13,-2.1,3.9,-6.0,52.1,122.9,1.0,4.0,0.0,464,9.2,0,-0.5,-0.5,-2.9
233852A001,정선군 정선읍,2024-01-14,-1.1,6.2,-7.3,73.3,90.2,1.7,8.2,4.0,235,4.9,415,-0.8,-0.7,-3.2
233852A001,정선군 정선읍,2024-01-15,-2.6,2.1,-7.3,70.5,154.8,1.0,6.9,0.0,433,8.4,0,-0.4,-0.2,-2.7
233852A001,정선군 정선읍,2024-01-16,-4.6,4.3,-10.9,67.2,160.3,0.5,3.8,0.0,471,9.8,0,-1.0,-0.9,-3.4
233852A001,정선군 정선읍,2024-01-17,-0.1,5.1,-6.2,78.2,90.8,1.8,7.6,4.0,33,3.8,381,-0.9,-0.8,-3.4
233852A001,정선군 정선읍,2024-01-18,3.0,5.3,1.7,86.4,282.4,0.9,5.2,3.5,0,1.8,534,-0.3,-0.1,3.4
233852A001,정선군 정선읍,2024-01-19,1.6,2.9,0.6,77.2,285.8,1.4,7.5,0.0,0,1.7,0,-0.2,-0.1,8.3
233852A001,정선군 정선읍,2024-01-20,1.5,3.0,0.4,76.2,272.3,1.2,6.9,0.0,0,2.0,356,-0.2,0.0,9.6
233852A001,정선군 정선읍,2024-01-21,1.7,4.0,0.3,74.2,6.0,1.2,5.8,1.0,25,5.3,904,-0.2,0.0,10.5
233852A001,정선군 정선읍,2024-01-22,-5.5,2.0,-11.7,58.7,103.4,2.4,12.4,0.0,334,8.6,192,-0.2,0.0,10.7
233852A001,정선군 정선읍,2024-01-23,-12.3,-9.0,-14.9,51.7,123.9,2.0,11.8,0.0,360,8.1,0,-0.7,-0.7,2.2
233852A001,정선군 정선읍,2024-01-24,-11.2,-6.4,-15.0,51.5,147.6,1.4,7.7,0.0,473,10.4,0,-2.3,-2.3,-2.6
233852A001,정선군 정선읍,2024-01-25,-8.3,-1.1,-15.3,57.4,127.8,1.1,5.7,0.0,480,10.5,0,-2.7,-2.6,-2.7
233852A001,정선군 정선읍,2024-01-26,-4.9,3.0,-12.1,58.0,125.8,1.2,6.7,0.0,482,10.6,0,-2.4,-2.3,-2.7
233852A001,정선군 정선읍,2024-01-27,-3.8,3.4,-10.1,71.8,104.0,0.8,5.7,0.0,406,9.8,0,-2.0,-1.8,-2.6
233852A001,정선군 정선읍,2024-01-28,-2.5,3.5,-7.1,65.9,116.2,0.9,5.8,0.0,364,9.1,0,-1.5,-1.3,-2.5
233852A001,정선군 정선읍,2024-01-29,-3.9,3.9,-10.3,70.3,104.5,0.8,5.3,0.0,381,10.0,0,-1.8,-1.6,-2.6
233852A001,정선군 정선읍,2024-01-30,-3.2,7.5,-10.8,67.2,132.4,0.4,3.1,0.0,484,10.9,0,-1.8,-1.7,-2.6
233852A001,정선군 정선읍,2024-01-31,0.5,11.2,-6.4,65.0,106.3,0.9,5.8,0.0,486,10.9,0,-1.2,-1.1,-2.4
233852A001,정선군 정선읍,2024-02-01,-1.8,3.4,-6.1,78.5,300.9,1.0,7.5,0.0,10,3.5,0,-0.9,-0.6,-2.2
233852A001,정선군 정선읍,2024-02-02,0.4,6.9,-3.7,72.0,259.2,0.8,4.5,0.0,168,7.2,0,-0.6,-0.4,-2.0
233852A001,정선군 정선읍,2024-02-03,0.4,8.1,-4.9,78.7,265.5,0.6,5.7,0.0,256,7.7,0,-0.6,-0.4,-1.9
233852A001,정선군 정선읍,2024-02-04,1.9,5.8,-1.3,78.9,291.7,1.0,5.7,0.0,74,5.8,0,-0.4,-0.2,-1.3
233852A001,정선군 정선읍,2024-02-05,0.2,2.7,-2.4,84.1,284.6,1.3,7.9,5.5,0,3.0,902,-0.3,-0.1,-0.6
233852A001,정선군 정선읍,2024-02-06,-0.9,1.9,-3.2,81.0,65.9,0.4,2.6,2.0,0,3.9,758,-0.3,-0.1,0.5
233852A001,정선군 정선읍,2024-02-07,-0.6,3.1,-3.3,81.8,287.4,0.4,2.5,0.0,1,5.3,733,-0.3,-0.1,1.9
233852A001,정선군 정선읍,2024-02-08,-2.2,4.2,-7.9,77.7,92.4,0.6,4.6,0.5,385,11.1,624,-0.3,-0.1,2.8
233852A001,정선군 정선읍,2024-02-09,-2.0,4.2,-6.8,73.0,103.8,0.9,5.7,0.0,377,10.3,48,-0.3,-0.1,2.8
233852A001,정선군 정선읍,2024-02-10,-2.1,3.2,-6.7,74.6,82.5,1.0,7.3,0.0,41,5.8,0,-0.3,-0.1,1.6
