no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,580813A001,정읍시 정우면,2020-06-01,20.3,26.8,14.3,75.3,271.1,1.1,7.1,0.0,,21.3,622.0,,23.5,23.9,2020,6,1
153,580813A001,정읍시 정우면,2020-06-02,20.0,26.6,11.9,64.2,128.0,0.8,4.9,0.0,,15.4,397.0,,22.9,23.3,2020,6,2
154,580813A001,정읍시 정우면,2020-06-03,23.8,29.4,20.1,74.1,237.9,0.9,7.0,0.0,,15.5,8.0,,23.5,23.1,2020,6,3
155,580813A001,정읍시 정우면,2020-06-04,25.2,32.4,19.9,73.9,253.2,1.1,7.1,0.0,,22.7,238.0,,25.1,22.7,2020,6,4
156,580813A001,정읍시 정우면,2020-06-05,24.1,31.8,20.0,81.1,264.7,0.7,4.9,0.0,,18.1,270.0,,25.8,22.4,2020,6,5
157,580813A001,정읍시 정우면,2020-06-06,23.4,31.6,20.1,81.5,251.9,0.9,7.2,0.0,,17.0,208.0,,26.1,22.0,2020,6,6
158,580813A001,정읍시 정우면,2020-06-07,23.8,31.2,19.8,75.9,260.9,0.8,5.6,0.0,,20.5,11.0,,26.4,21.6,2020,6,7
159,580813A001,정읍시 정우면,2020-06-08,25.2,34.4,17.8,68.5,255.1,0.7,5.6,0.0,,22.5,435.0,,26.6,21.2,2020,6,8
160,580813A001,정읍시 정우면,2020-06-09,26.6,35.1,18.5,59.1,122.4,0.9,5.7,0.0,,22.7,18.0,,27.2,20.6,2020,6,9
161,580813A001,정읍시 정우면,2020-06-10,25.9,35.2,20.8,71.7,122.9,1.0,6.2,10.5,,17.8,422.0,,27.6,20.1,2020,6,10
162,580813A001,정읍시 정우면,2020-06-11,24.9,31.6,21.4,86.1,272.6,0.7,4.4,10.0,,14.0,559.0,,26.9,29.3,2020,6,11
163,580813A001,정읍시 정우면,2020-06-12,23.8,27.8,21.8,87.3,272.2,0.6,4.8,5.5,,7.9,328.0,,26.7,26.5,2020,6,12
164,580813A001,정읍시 정우면,2020-06-13,24.4,28.3,21.6,91.2,213.5,0.5,4.1,15.0,,7.3,790.0,,25.9,31.0,2020,6,13
165,580813A001,정읍시 정우면,2020-06-14,23.7,27.1,20.9,89.4,264.4,1.3,7.3,32.5,,7.7,679.0,,25.6,32.7,2020,6,14
166,580813A001,정읍시 정우면,2020-06-15,22.9,29.8,16.9,72.8,262.1,0.7,4.9,0.0,,23.5,455.0,,25.7,30.1,2020,6,15
167,580813A001,정읍시 정우면,2020-06-16,23.1,28.9,17.1,72.5,258.2,0.7,4.9,0.0,,22.0,13.0,,26.1,28.4,2020,6,16
168,580813A001,정읍시 정우면,2020-06-17,22.3,28.7,18.1,79.5,253.5,0.7,4.7,1.5,,13.5,677.0,,25.8,27.7,2020,6,17
169,580813A001,정읍시 정우면,2020-06-18,19.7,21.9,18.4,93.3,89.8,0.6,4.2,13.0,,5.9,1026.0,,24.5,31.1,2020,6,18
170,580813A001,정읍시 정우면,2020-06-19,22.7,29.6,18.3,78.3,268.0,0.8,5.7,0.5,,20.8,506.0,,25.0,30.9,2020,6,19
171,580813A001,정읍시 정우면,2020-06-20,22.8,28.8,17.4,79.5,268.0,0.6,5.2,0.0,,16.0,429.0,,25.4,29.1,2020,6,20
172,580813A001,정읍시 정우면,2020-06-21,24.1,31.4,18.7,74.9,258.2,0.9,6.0,0.0,,21.3,164.0,,26.1,28.3,2020,6,21
173,580813A001,정읍시 정우면,2020-06-22,25.2,32.4,18.5,76.6,245.3,0.8,6.2,0.0,,22.6,327.0,,26.7,27.4,2020,6,22
174,580813A001,정읍시 정우면,2020-06-23,25.9,32.7,20.8,67.4,151.4,0.7,4.5,0.0,,18.2,0.0,,27.2,26.8,2020,6,23
175,580813A001,정읍시 정우면,2020-06-24,24.8,27.1,22.2,71.7,116.3,1.3,10.0,1.5,,3.9,164.0,,25.8,26.6,2020,6,24
176,580813A001,정읍시 정우면,2020-06-25,22.6,24.4,20.2,87.2,242.3,1.1,6.8,0.5,,4.0,450.0,,25.0,26.8,2020,6,25
177,580813A001,정읍시 정우면,2020-06-26,23.2,28.5,19.6,80.2,253.4,0.7,4.3,0.0,,16.1,270.0,,25.1,26.7,2020,6,26
178,580813A001,정읍시 정우면,2020-06-27,24.6,31.8,19.7,78.7,270.5,0.6,4.4,0.0,,16.7,317.0,,25.8,26.3,2020,6,27
179,580813A001,정읍시 정우면,2020-06-28,23.2,29.7,18.7,83.0,271.6,0.8,5.2,0.0,,18.9,379.0,,26.2,25.7,2020,6,28
180,580813A001,정읍시 정우면,2020-06-29,22.2,27.7,20.7,89.6,94.4,1.2,7.1,19.5,,5.3,627.0,,25.6,27.9,2020,6,29
181,580813A001,정읍시 정우면,2020-06-30,20.5,23.1,18.7,95.1,253.9,1.9,9.5,6.0,,8.1,1212.0,,24.3,32.3,2020,6,30
