no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,580813A001,정읍시 정우면,2012-01-01,-0.2,1.7,-4.5,72.1,59.0,1.3,10.2,1.0,,1.7,1399.0,,1.0,,2012
2,580813A001,정읍시 정우면,2012-01-02,-2.6,2.0,-7.6,65.7,124.4,0.6,4.2,0.0,,7.9,1418.0,,1.1,,2012
3,580813A001,정읍시 정우면,2012-01-03,-1.8,2.9,-5.4,75.3,102.0,1.3,10.0,0.0,,4.7,1398.0,,1.1,,2012
4,580813A001,정읍시 정우면,2012-01-04,-3.4,0.1,-5.7,74.8,77.3,1.2,10.9,2.0,,6.9,1398.0,,1.2,,2012
5,580813A001,정읍시 정우면,2012-01-05,-4.7,1.2,-8.8,70.3,77.7,0.6,4.2,1.0,,8.1,1398.0,,1.3,,2012
6,580813A001,정읍시 정우면,2012-01-06,-4.2,2.4,-10.0,71.8,91.3,0.5,4.6,0.0,,7.2,1398.0,,1.1,,2012
7,580813A001,정읍시 정우면,2012-01-07,-5.1,1.5,-11.4,64.1,88.1,0.5,4.1,0.0,,10.7,1390.0,,0.9,,2012
8,580813A001,정읍시 정우면,2012-01-08,-3.8,2.8,-10.4,66.5,102.6,0.5,4.2,0.0,,8.5,1398.0,,0.8,,2012
9,580813A001,정읍시 정우면,2012-01-09,-0.6,4.5,-5.5,69.5,106.4,0.4,3.0,0.0,,5.2,1398.0,,0.8,,2012
10,580813A001,정읍시 정우면,2012-01-10,0.1,3.9,-2.2,64.2,86.8,0.8,5.1,0.0,,9.4,1398.0,,0.8,,2012
11,580813A001,정읍시 정우면,2012-01-11,-2.7,-0.2,-8.5,58.2,70.1,1.4,8.9,0.0,,8.6,1424.0,,0.8,,2012
12,580813A001,정읍시 정우면,2012-01-12,-3.3,2.4,-9.2,60.3,130.0,0.6,4.1,0.0,,8.2,1397.0,,0.8,,2012
13,580813A001,정읍시 정우면,2012-01-13,0.4,6.6,-4.2,62.1,93.9,0.9,6.5,0.0,,7.1,1416.0,,0.8,,2012
14,580813A001,정읍시 정우면,2012-01-14,-2.5,3.3,-8.0,58.4,87.5,0.6,4.2,0.0,,10.2,1398.0,,0.8,,2012
15,580813A001,정읍시 정우면,2012-01-15,-1.8,1.9,-4.7,58.9,75.8,0.6,4.1,0.0,,6.6,1398.0,,0.7,,2012
16,580813A001,정읍시 정우면,2012-01-16,-0.5,6.5,-4.7,60.8,71.5,0.5,3.6,0.0,,9.9,1398.0,,0.7,,2012
17,580813A001,정읍시 정우면,2012-01-17,1.1,8.6,-3.6,70.8,83.5,0.5,4.1,0.0,,6.2,1398.0,,0.7,,2012
18,580813A001,정읍시 정우면,2012-01-18,0.2,6.7,-4.5,68.6,87.1,0.5,4.0,0.0,,6.3,1398.0,,0.8,,2012
19,580813A001,정읍시 정우면,2012-01-19,2.1,4.3,0.0,83.1,64.4,0.2,2.1,1.5,,1.8,1354.0,,1.0,,2012
20,580813A001,정읍시 정우면,2012-01-20,4.1,7.4,1.0,84.5,275.7,0.4,2.3,0.5,,3.4,1398.0,,1.8,,2012
21,580813A001,정읍시 정우면,2012-01-21,3.1,3.9,1.0,85.8,69.8,0.9,5.0,9.5,,2.2,1398.0,,2.8,,2012
