no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,063356F008,제주시 구좌읍,2023-05-01,15.6,23.6,7.6,51.1,310.1,0.7,6.0,0.0,,26.7,,,,,2023,5,1
122,063356F008,제주시 구좌읍,2023-05-02,17.0,25.5,7.4,48.9,154.0,0.7,6.1,0.0,,26.0,,,,,2023,5,2
123,063356F008,제주시 구좌읍,2023-05-03,16.3,19.1,13.3,87.1,152.9,0.9,8.7,31.5,,3.2,,,,,2023,5,3
124,063356F008,제주시 구좌읍,2023-05-04,17.0,19.6,14.1,99.0,153.2,1.6,11.0,96.0,,1.4,,,,,2023,5,4
125,063356F008,제주시 구좌읍,2023-05-05,20.1,20.8,19.3,99.4,161.1,2.7,15.5,77.0,,2.2,,,,,2023,5,5
126,063356F008,제주시 구좌읍,2023-05-06,17.4,20.4,14.4,94.6,268.7,0.4,5.3,8.0,,6.1,,,,,2023,5,6
127,063356F008,제주시 구좌읍,2023-05-07,12.7,14.5,11.0,99.2,335.8,0.2,4.8,36.0,,1.4,,,,,2023,5,7
128,063356F008,제주시 구좌읍,2023-05-08,13.2,19.7,7.9,73.3,333.4,0.3,4.3,0.0,,23.3,,,,,2023,5,8
129,063356F008,제주시 구좌읍,2023-05-09,14.8,23.5,6.5,60.4,311.6,0.7,5.6,0.0,,27.2,,,,,2023,5,9
130,063356F008,제주시 구좌읍,2023-05-10,18.2,26.5,11.7,44.5,308.4,0.6,4.8,0.0,,26.0,,,,,2023,5,10
131,063356F008,제주시 구좌읍,2023-05-11,17.4,24.7,11.0,68.2,151.2,0.1,3.3,0.0,,21.8,,,,,2023,5,11
132,063356F008,제주시 구좌읍,2023-05-12,16.8,21.3,11.0,76.7,178.4,0.4,4.6,0.5,,10.8,,,,,2023,5,12
133,063356F008,제주시 구좌읍,2023-05-13,14.5,17.8,12.6,96.6,330.1,0.2,4.0,9.5,,6.5,,,,,2023,5,13
134,063356F008,제주시 구좌읍,2023-05-14,17.0,24.3,10.6,80.3,324.6,0.3,3.7,0.0,,21.5,,,,,2023,5,14
135,063356F008,제주시 구좌읍,2023-05-15,17.8,26.8,11.3,75.8,195.3,0.4,9.6,2.5,,11.5,,,,,2023,5,15
136,063356F008,제주시 구좌읍,2023-05-16,20.7,31.7,11.3,67.6,319.9,0.2,3.6,0.0,,26.1,,,,,2023,5,16
137,063356F008,제주시 구좌읍,2023-05-17,21.9,27.2,13.3,68.3,164.7,1.5,11.0,0.0,,21.7,,,,,2023,5,17
138,063356F008,제주시 구좌읍,2023-05-18,17.5,20.5,15.8,97.1,155.2,0.3,6.0,71.0,,7.0,,,,,2023,5,18
139,063356F008,제주시 구좌읍,2023-05-19,18.4,24.4,15.7,88.8,323.4,0.4,4.2,8.0,,16.9,,,,,2023,5,19
140,063356F008,제주시 구좌읍,2023-05-20,19.2,25.8,14.8,81.3,307.8,0.3,4.1,0.0,,25.4,,,,,2023,5,20
141,063356F008,제주시 구좌읍,2023-05-21,17.2,23.3,14.1,86.4,301.6,0.9,5.9,0.0,,23.6,,,,,2023,5,21
142,063356F008,제주시 구좌읍,2023-05-22,15.5,18.8,12.2,85.2,300.3,0.6,6.4,1.0,,7.5,,,,,2023,5,22
143,063356F008,제주시 구좌읍,2023-05-23,17.4,24.2,11.8,67.8,306.2,0.7,5.6,0.0,,27.5,,,,,2023,5,23
144,063356F008,제주시 구좌읍,2023-05-24,17.2,24.6,10.2,66.9,189.7,0.3,6.2,0.0,,14.3,,,,,2023,5,24
145,063356F008,제주시 구좌읍,2023-05-25,19.7,26.6,14.5,65.1,159.2,0.4,6.1,0.0,,26.5,,,,,2023,5,25
146,063356F008,제주시 구좌읍,2023-05-26,21.6,28.3,15.7,75.1,159.3,0.9,9.6,0.0,,21.0,,,,,2023,5,26
147,063356F008,제주시 구좌읍,2023-05-27,21.4,23.7,20.3,86.2,157.7,1.4,9.0,0.5,,7.2,,,,,2023,5,27
148,063356F008,제주시 구좌읍,2023-05-28,23.1,26.6,20.8,88.9,166.4,1.8,8.8,1.0,,18.7,,,,,2023,5,28
149,063356F008,제주시 구좌읍,2023-05-29,23.6,30.0,20.2,87.9,175.6,0.5,7.1,5.5,,11.5,,,,,2023,5,29
150,063356F008,제주시 구좌읍,2023-05-30,20.3,22.8,18.2,98.8,318.7,0.1,3.0,57.0,,4.6,,,,,2023,5,30
151,063356F008,제주시 구좌읍,2023-05-31,18.8,21.7,17.1,95.1,,0.0,2.2,12.5,,10.0,,,,,2023,5,31
