no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,063190F010,제주시 금악리,2020-10-01,18.8,26.0,14.7,87.9,20.3,0.2,2.9,0.0,,12.0,,,,,2020,10,1
275,063190F010,제주시 금악리,2020-10-02,18.9,26.7,12.9,80.2,311.0,0.2,2.8,0.0,,15.8,,,,,2020,10,2
276,063190F010,제주시 금악리,2020-10-03,20.4,27.1,17.4,80.0,354.8,0.2,2.9,0.0,,11.5,,,,,2020,10,3
277,063190F010,제주시 금악리,2020-10-04,19.3,23.0,17.1,88.7,23.9,0.4,7.0,0.0,,5.5,,,,,2020,10,4
278,063190F010,제주시 금악리,2020-10-05,16.4,20.1,13.6,62.8,23.2,1.9,11.3,0.0,,19.4,,,,,2020,10,5
279,063190F010,제주시 금악리,2020-10-06,16.3,21.4,12.5,63.5,28.8,1.4,9.6,0.0,,20.9,,,,,2020,10,6
280,063190F010,제주시 금악리,2020-10-07,18.1,24.0,12.3,65.5,32.6,1.2,9.7,0.0,,19.7,,,,,2020,10,7
281,063190F010,제주시 금악리,2020-10-08,18.7,24.2,15.4,65.6,38.0,1.5,11.3,0.0,,20.1,,,,,2020,10,8
282,063190F010,제주시 금악리,2020-10-09,18.1,22.9,14.2,64.2,34.4,1.3,12.5,0.0,,19.4,,,,,2020,10,9
283,063190F010,제주시 금악리,2020-10-10,18.6,24.1,14.4,69.8,30.7,0.7,6.6,0.0,,14.3,,,,,2020,10,10
284,063190F010,제주시 금악리,2020-10-11,18.6,25.7,14.0,73.6,21.0,0.2,3.6,0.0,,10.4,,,,,2020,10,11
285,063190F010,제주시 금악리,2020-10-12,18.1,23.8,13.9,76.9,12.3,0.7,6.6,0.0,,17.1,,,,,2020,10,12
286,063190F010,제주시 금악리,2020-10-13,16.2,20.7,13.1,65.4,28.2,1.7,10.1,0.0,,18.4,,,,,2020,10,13
287,063190F010,제주시 금악리,2020-10-14,16.7,22.8,12.5,55.9,30.2,1.3,8.9,0.0,,18.8,,,,,2020,10,14
288,063190F010,제주시 금악리,2020-10-15,15.5,21.0,11.9,55.0,28.9,1.2,7.5,0.0,,16.5,,,,,2020,10,15
289,063190F010,제주시 금악리,2020-10-16,14.5,18.6,11.2,71.3,31.4,0.7,6.7,3.5,,4.6,,,,,2020,10,16
290,063190F010,제주시 금악리,2020-10-17,14.6,21.1,9.9,66.2,26.2,0.6,6.1,0.0,,18.5,,,,,2020,10,17
291,063190F010,제주시 금악리,2020-10-18,14.9,21.3,10.5,77.0,20.8,0.4,5.1,0.0,,17.2,,,,,2020,10,18
292,063190F010,제주시 금악리,2020-10-19,15.6,22.6,11.4,68.4,26.3,0.6,6.1,0.0,,17.8,,,,,2020,10,19
293,063190F010,제주시 금악리,2020-10-20,15.7,24.8,9.3,65.1,31.3,0.4,7.9,0.0,,16.1,,,,,2020,10,20
294,063190F010,제주시 금악리,2020-10-21,16.0,22.1,11.8,86.1,30.5,0.6,7.1,17.5,,2.7,,,,,2020,10,21
295,063190F010,제주시 금악리,2020-10-22,15.2,18.8,12.4,83.5,22.3,1.5,9.8,1.5,,6.0,,,,,2020,10,22
296,063190F010,제주시 금악리,2020-10-23,13.0,15.7,11.9,59.5,358.0,1.7,10.6,0.0,,11.2,,,,,2020,10,23
297,063190F010,제주시 금악리,2020-10-24,12.8,16.4,9.7,64.8,3.9,1.4,9.8,0.0,,12.2,,,,,2020,10,24
298,063190F010,제주시 금악리,2020-10-25,13.8,19.7,9.8,73.2,20.0,0.9,6.8,0.0,,12.9,,,,,2020,10,25
299,063190F010,제주시 금악리,2020-10-26,13.0,19.9,9.3,78.0,26.7,0.6,5.7,0.0,,15.1,,,,,2020,10,26
300,063190F010,제주시 금악리,2020-10-27,13.9,21.4,9.0,81.8,23.3,0.3,4.4,0.0,,14.7,,,,,2020,10,27
301,063190F010,제주시 금악리,2020-10-28,15.3,19.6,12.6,77.9,27.5,1.1,6.2,0.0,,7.5,,,,,2020,10,28
302,063190F010,제주시 금악리,2020-10-29,13.0,17.8,10.3,62.6,28.4,1.7,8.3,0.0,,17.2,,,,,2020,10,29
303,063190F010,제주시 금악리,2020-10-30,12.9,18.0,9.6,62.0,27.2,1.1,6.8,0.0,,16.1,,,,,2020,10,30
304,063190F010,제주시 금악리,2020-10-31,13.1,21.7,7.6,73.1,29.4,0.3,5.0,0.0,,14.0,,,,,2020,10,31
