no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,695971A001,제주시 김녕리,2019-10-01,23.8,26.5,20.4,88.8,109.2,1.8,7.9,28.0,0,3.7,967,22.7,,22.0,2019,10,1
275,695971A001,제주시 김녕리,2019-10-02,24.5,28.6,20.8,87.5,145.3,3.6,15.3,162.5,0,5.0,946,23.0,,24.7,2019,10,2
276,695971A001,제주시 김녕리,2019-10-03,23.0,25.7,20.6,85.2,273.2,4.8,15.2,0.5,0,12.9,208,22.5,,21.8,2019,10,3
277,695971A001,제주시 김녕리,2019-10-04,22.5,25.9,20.0,81.6,269.6,1.8,5.6,0.0,0,16.5,7,23.3,,20.9,2019,10,4
278,695971A001,제주시 김녕리,2019-10-05,20.8,23.6,17.9,76.0,285.7,3.4,10.0,0.0,0,11.9,0,20.7,,20.3,2019,10,5
279,695971A001,제주시 김녕리,2019-10-06,20.5,23.9,16.9,74.4,99.5,2.5,10.0,2.0,0,8.2,101,19.6,,19.9,2019,10,6
280,695971A001,제주시 김녕리,2019-10-07,21.2,24.4,19.0,75.0,272.0,2.6,9.7,0.0,0,3.8,0,20.0,,19.8,2019,10,7
281,695971A001,제주시 김녕리,2019-10-08,20.0,23.5,16.7,62.3,288.2,3.6,10.0,0.0,0,13.7,0,19.0,,19.6,2019,10,8
282,695971A001,제주시 김녕리,2019-10-09,16.9,21.9,10.2,54.2,247.5,1.7,6.7,0.0,0,21.2,0,17.1,,19.1,2019,10,9
283,695971A001,제주시 김녕리,2019-10-10,16.5,24.1,8.5,64.2,145.4,1.5,4.8,0.0,0,19.8,0,16.7,,18.5,2019,10,10
284,695971A001,제주시 김녕리,2019-10-11,20.0,24.9,14.9,65.3,210.7,1.2,4.6,0.0,0,19.2,0,19.5,,17.8,2019,10,11
285,695971A001,제주시 김녕리,2019-10-12,21.4,25.5,16.5,61.8,88.3,1.3,6.6,0.0,0,18.7,3,20.2,,17.1,2019,10,12
286,695971A001,제주시 김녕리,2019-10-13,20.2,22.7,17.0,58.0,92.1,2.0,8.7,0.0,0,14.5,0,19.2,,16.3,2019,10,13
287,695971A001,제주시 김녕리,2019-10-14,19.4,23.0,15.9,64.2,288.2,2.8,10.5,0.0,0,16.1,0,19.4,,15.6,2019,10,14
288,695971A001,제주시 김녕리,2019-10-15,17.4,20.1,13.4,65.7,80.5,2.3,9.0,2.5,0,3.5,248,16.3,,15.1,2019,10,15
289,695971A001,제주시 김녕리,2019-10-16,17.8,22.0,11.8,58.8,93.4,1.4,5.9,0.0,0,18.8,267,17.2,,14.8,2019,10,16
290,695971A001,제주시 김녕리,2019-10-17,18.1,22.4,12.4,70.7,93.7,1.6,7.7,0.0,0,10.0,463,17.7,,14.4,2019,10,17
291,695971A001,제주시 김녕리,2019-10-18,19.2,20.9,18.2,81.6,87.6,1.9,7.9,3.5,0,1.8,361,18.1,,14.1,2019,10,18
292,695971A001,제주시 김녕리,2019-10-19,19.8,22.5,16.7,73.4,283.3,2.2,6.6,1.0,0,17.5,143,19.6,,14.2,2019,10,19
293,695971A001,제주시 김녕리,2019-10-20,17.8,22.8,13.8,78.1,152.9,1.2,5.2,0.0,0,9.9,164,17.9,,14.2,2019,10,20
294,695971A001,제주시 김녕리,2019-10-21,20.3,23.4,15.0,61.3,82.7,1.4,7.0,0.0,0,14.8,0,18.6,,14.1,2019,10,21
295,695971A001,제주시 김녕리,2019-10-22,20.3,22.0,18.1,66.9,83.4,1.3,7.5,0.0,0,6.1,15,18.9,,13.9,2019,10,22
296,695971A001,제주시 김녕리,2019-10-23,20.5,22.8,18.5,72.4,92.7,2.2,10.4,0.5,0,7.2,90,19.3,,13.8,2019,10,23
297,695971A001,제주시 김녕리,2019-10-24,20.3,23.4,17.7,67.9,77.7,1.8,9.0,1.5,0,10.2,276,18.7,,18.3,2019,10,24
298,695971A001,제주시 김녕리,2019-10-25,19.5,23.2,15.3,70.6,273.5,2.5,7.7,0.0,0,15.6,62,19.0,,18.3,2019,10,25
299,695971A001,제주시 김녕리,2019-10-26,16.3,19.4,14.6,63.0,287.8,5.0,11.6,0.0,0,10.9,1,16.3,,18.0,2019,10,26
300,695971A001,제주시 김녕리,2019-10-27,15.4,18.1,11.7,57.5,284.7,2.8,9.2,0.0,0,13.7,0,15.4,,17.6,2019,10,27
301,695971A001,제주시 김녕리,2019-10-28,13.8,19.5,8.8,71.2,154.0,1.0,3.9,0.0,0,14.6,0,14.7,,17.2,2019,10,28
302,695971A001,제주시 김녕리,2019-10-29,16.6,20.4,11.1,61.5,276.8,2.6,9.1,0.0,0,13.5,0,15.6,,16.7,2019,10,29
303,695971A001,제주시 김녕리,2019-10-30,15.8,19.1,12.2,59.1,279.0,2.4,8.5,0.0,0,16.9,0,15.6,,16.2,2019,10,30
304,695971A001,제주시 김녕리,2019-10-31,15.1,20.6,8.5,66.8,249.5,1.8,6.7,0.0,0,17.1,0,14.9,,15.6,2019,10,31
