stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
695971A001,力林矫 辫崇府,2024-01-01,8.3,10.9,3.5,72.7,180.7,1.0,7.7,0.0,0.0,3.0,87.0,8.0,,18.9
695971A001,力林矫 辫崇府,2024-01-02,9.7,12.7,5.2,71.3,267.7,1.1,5.3,0.0,0.0,7.1,0.0,9.6,,18.8
695971A001,力林矫 辫崇府,2024-01-03,8.6,10.3,6.8,65.4,283.4,4.1,14.7,4.5,0.0,5.5,342.0,7.6,,19.4
695971A001,力林矫 辫崇府,2024-01-04,7.7,11.6,2.8,64.2,273.7,1.8,9.5,0.0,0.0,11.7,0.0,7.8,,19.5
695971A001,力林矫 辫崇府,2024-01-05,9.5,16.3,1.1,66.7,213.3,1.2,6.9,0.0,0.0,9.5,0.0,8.2,,19.3
695971A001,力林矫 辫崇府,2024-01-06,9.3,11.9,6.9,61.6,285.9,2.7,8.5,0.0,0.0,12.6,0.0,9.0,,19.3
695971A001,力林矫 辫崇府,2024-01-07,6.0,8.3,3.4,58.4,282.3,4.5,12.7,0.0,0.0,4.3,0.0,5.7,,18.9
695971A001,力林矫 辫崇府,2024-01-08,3.9,6.4,1.4,68.1,254.8,1.3,7.9,0.0,0.0,8.2,0.0,5.6,,18.7
695971A001,力林矫 辫崇府,2024-01-09,6.8,11.8,0.4,80.0,168.2,1.3,8.3,3.0,0.0,2.9,217.0,6.0,,18.5
695971A001,力林矫 辫崇府,2024-01-10,6.9,10.7,4.3,69.1,283.5,4.0,11.1,3.5,0.0,7.7,357.0,6.4,,19.7
695971A001,力林矫 辫崇府,2024-01-11,7.1,10.3,4.5,63.6,270.5,2.9,9.8,0.0,0.0,10.1,0.0,6.3,,19.5
695971A001,力林矫 辫崇府,2024-01-12,10.1,12.3,7.2,64.2,274.6,2.7,8.7,0.0,0.0,5.4,0.0,8.1,,19.3
695971A001,力林矫 辫崇府,2024-01-13,6.6,10.7,0.7,54.2,271.4,2.1,7.0,0.0,0.0,13.4,0.0,6.3,,19.0
695971A001,力林矫 辫崇府,2024-01-14,10.8,17.8,1.4,67.6,243.3,2.1,10.2,0.0,0.0,13.3,194.0,9.1,,18.8
695971A001,力林矫 辫崇府,2024-01-15,6.1,8.9,3.0,60.2,285.4,4.2,11.6,0.0,0.0,13.7,0.0,6.3,,18.5
695971A001,力林矫 辫崇府,2024-01-16,6.7,11.7,2.1,61.4,198.2,1.5,7.7,0.0,0.0,13.5,0.0,6.8,,18.3
695971A001,力林矫 辫崇府,2024-01-17,12.8,19.4,5.7,66.5,147.2,1.0,8.4,0.0,0.0,8.1,0.0,10.5,,18.1
695971A001,力林矫 辫崇府,2024-01-18,12.7,16.8,9.8,84.6,269.8,1.3,5.7,2.0,0.0,1.4,414.0,11.4,,17.9
695971A001,力林矫 辫崇府,2024-01-19,11.6,12.8,9.9,86.5,92.6,3.4,11.6,16.0,0.0,0.8,853.0,10.5,,21.0
695971A001,力林矫 辫崇府,2024-01-20,11.8,13.0,8.9,88.5,94.1,3.8,11.6,32.5,0.0,1.2,1255.0,10.6,,22.0
695971A001,力林矫 辫崇府,2024-01-21,8.7,11.7,5.5,84.4,284.8,2.7,12.3,5.5,0.0,2.7,1083.0,8.9,,21.3
695971A001,力林矫 辫崇府,2024-01-22,2.3,6.1,-1.1,69.5,286.1,6.4,15.7,1.0,0.0,2.2,190.0,3.1,,20.4
695971A001,力林矫 辫崇府,2024-01-23,0.3,2.3,-1.8,75.2,286.5,7.1,18.3,8.0,0.0,5.1,1039.0,1.0,,20.3
695971A001,力林矫 辫崇府,2024-01-24,2.6,4.7,0.0,70.3,286.7,7.0,18.7,141.0,0.0,4.2,434.0,2.0,,20.6
695971A001,力林矫 辫崇府,2024-01-25,3.6,5.1,2.2,66.8,286.1,4.5,12.7,6.0,0.0,3.5,0.0,3.2,,20.4
695971A001,力林矫 辫崇府,2024-01-26,5.6,8.2,3.7,61.8,287.0,3.5,10.0,2.0,0.0,6.5,0.0,4.7,,20.2
695971A001,力林矫 辫崇府,2024-01-27,6.8,9.7,5.2,60.3,283.0,2.9,8.3,0.0,0.0,7.0,0.0,5.7,,19.9
695971A001,力林矫 辫崇府,2024-01-28,6.0,8.5,4.0,61.0,284.6,3.6,10.4,0.0,0.0,7.7,149.0,5.4,,19.7
695971A001,力林矫 辫崇府,2024-01-29,5.2,8.9,1.6,69.6,269.8,1.0,6.6,0.0,0.0,9.6,0.0,5.4,,19.5
695971A001,力林矫 辫崇府,2024-01-30,6.6,10.4,0.8,85.9,135.8,1.1,5.5,2.0,0.0,3.0,714.0,5.9,,19.3
695971A001,力林矫 辫崇府,2024-01-31,11.7,13.7,9.6,91.5,103.7,1.1,5.5,3.5,0.0,4.0,1131.0,10.4,,20.0
695971A001,力林矫 辫崇府,2024-02-01,10.1,12.1,8.6,92.6,74.4,1.4,5.5,19.0,0.0,0.8,1439.0,9.5,,22.2
695971A001,力林矫 辫崇府,2024-02-02,9.1,10.5,8.3,90.0,71.2,1.3,7.3,7.5,0.0,1.1,1439.0,8.6,,21.5
695971A001,力林矫 辫崇府,2024-02-03,10.0,11.3,8.9,86.8,103.1,2.0,8.2,16.0,0.0,1.2,1383.0,8.9,,21.6
695971A001,力林矫 辫崇府,2024-02-04,11.4,13.4,9.8,83.9,91.2,2.6,10.2,25.0,0.0,3.5,514.0,10.1,,21.4
695971A001,力林矫 辫崇府,2024-02-05,10.1,12.7,7.8,87.7,286.9,3.1,10.4,35.0,0.0,3.1,1366.0,9.7,,22.7
695971A001,力林矫 辫崇府,2024-02-06,7.5,8.8,6.3,73.2,282.9,2.8,8.3,0.0,0.0,3.2,350.0,7.4,,21.1
695971A001,力林矫 辫崇府,2024-02-07,5.6,7.1,3.7,65.3,285.9,3.3,9.4,1.5,0.0,4.8,0.0,5.7,,20.4
695971A001,力林矫 辫崇府,2024-02-08,5.0,7.1,3.5,64.3,283.1,3.0,8.7,0.0,0.0,6.7,0.0,5.2,,20.1
695971A001,力林矫 辫崇府,2024-02-09,6.1,8.1,4.7,61.1,284.6,3.8,11.1,11.0,0.0,6.5,0.0,5.4,,19.9
695971A001,力林矫 辫崇府,2024-02-10,7.6,10.2,6.0,64.7,278.1,2.4,11.3,5.5,0.0,5.9,434.0,6.5,,19.9
695971A001,力林矫 辫崇府,2024-02-11,8.8,12.7,6.8,53.5,276.8,3.9,14.2,32.0,0.0,12.6,0.0,7.0,,20.0
695971A001,力林矫 辫崇府,2024-02-12,8.2,13.4,0.5,60.9,215.7,1.4,9.0,0.0,0.0,17.0,0.0,8.1,,19.8
695971A001,力林矫 辫崇府,2024-02-13,11.5,17.7,2.6,69.6,138.2,1.3,6.3,0.5,0.0,17.0,0.0,10.4,,19.6
695971A001,力林矫 辫崇府,2024-02-14,15.6,18.4,11.8,80.9,154.9,2.1,9.8,5.0,0.0,5.1,446.0,13.2,,19.9
695971A001,力林矫 辫崇府,2024-02-15,9.3,16.2,4.7,82.4,278.6,3.6,14.6,50.0,0.0,2.5,603.0,9.2,,20.0
695971A001,力林矫 辫崇府,2024-02-16,6.1,12.2,0.6,71.4,210.5,1.6,8.9,0.0,0.0,10.1,0.0,6.9,,19.9
695971A001,力林矫 辫崇府,2024-02-17,8.5,16.0,1.7,71.5,144.7,1.7,8.6,1.0,0.0,18.2,102.0,8.7,,19.6
695971A001,力林矫 辫崇府,2024-02-18,14.7,18.9,8.8,85.4,140.3,2.5,13.2,24.5,0.0,3.5,624.0,12.6,,20.7
695971A001,力林矫 辫崇府,2024-02-19,15.8,20.3,10.1,90.0,258.1,2.6,11.4,18.5,0.0,4.5,984.0,14.9,,22.4
695971A001,力林矫 辫崇府,2024-02-20,10.8,14.1,8.1,93.0,126.6,2.4,9.9,12.5,0.0,1.3,1113.0,11.1,,22.7
695971A001,力林矫 辫崇府,2024-02-21,12.2,13.4,11.3,95.1,101.4,3.2,10.9,43.0,0.0,2.0,1439.0,11.6,,24.1
695971A001,力林矫 辫崇府,2024-02-22,9.4,11.8,8.0,92.5,89.5,2.9,12.0,34.0,0.0,1.5,1439.0,9.2,,24.0
695971A001,力林矫 辫崇府,2024-02-23,8.1,9.0,7.2,85.0,78.4,2.1,9.7,13.5,0.0,2.4,1439.0,7.6,,23.1
695971A001,力林矫 辫崇府,2024-02-24,8.2,9.8,6.8,81.3,95.9,3.0,10.2,25.5,0.0,1.8,1213.0,7.1,,23.3
695971A001,力林矫 辫崇府,2024-02-25,8.1,9.5,6.4,83.2,299.8,2.6,8.8,9.5,0.0,4.1,823.0,7.9,,23.0
695971A001,力林矫 辫崇府,2024-02-26,7.2,10.8,5.0,69.8,263.8,1.7,8.6,0.0,0.0,16.4,0.0,8.3,,21.5
695971A001,力林矫 辫崇府,2024-02-27,9.5,12.6,6.6,62.8,101.0,2.5,8.7,0.5,0.0,12.1,279.0,8.4,,21.0
695971A001,力林矫 辫崇府,2024-02-28,10.7,12.9,8.8,60.5,99.3,2.4,8.7,0.0,0.0,9.8,0.0,9.2,,20.6
695971A001,力林矫 辫崇府,2024-03-01,3.4,7.9,0.7,63.9,288.7,5.4,14.8,0.0,0.0,5.9,0.0,4.2,,22.1
695971A001,力林矫 辫崇府,2024-03-02,4.1,8.7,0.7,57.5,270.5,2.5,10.8,0.0,0.0,18.8,0.0,5.5,,21.3
695971A001,力林矫 辫崇府,2024-03-03,8.1,13.2,4.5,56.5,233.8,1.3,9.0,0.0,0.0,7.2,155.0,6.7,,20.7
695971A001,力林矫 辫崇府,2024-03-04,9.3,14.9,2.4,70.3,125.6,1.7,8.1,19.0,0.0,8.5,485.0,8.2,,21.1
695971A001,力林矫 辫崇府,2024-03-05,11.0,12.1,9.7,91.4,92.3,2.8,9.5,17.5,0.0,1.2,1439.0,10.0,,23.6
695971A001,力林矫 辫崇府,2024-03-06,10.6,12.6,7.9,71.8,44.4,1.7,7.2,0.0,0.0,6.7,14.0,9.6,,22.1
695971A001,力林矫 辫崇府,2024-03-07,8.0,11.0,5.6,65.2,281.4,3.6,11.5,0.0,0.0,18.4,0.0,9.0,,21.2
695971A001,力林矫 辫崇府,2024-03-08,7.5,10.8,5.7,52.9,287.9,4.7,13.9,0.0,0.0,18.0,45.0,7.2,,20.6
695971A001,力林矫 辫崇府,2024-03-09,6.6,10.1,4.5,55.0,283.2,3.5,12.5,0.0,0.0,21.8,0.0,7.4,,20.0
695971A001,力林矫 辫崇府,2024-03-10,6.9,12.3,1.6,53.5,239.1,1.4,6.9,0.0,0.0,22.7,0.0,7.4,,19.7
695971A001,力林矫 辫崇府,2024-03-11,9.0,14.7,2.3,76.0,157.4,1.0,7.2,8.5,0.0,6.7,540.0,8.4,,20.0
695971A001,力林矫 辫崇府,2024-03-12,10.1,13.9,6.5,74.1,286.5,3.2,12.2,8.5,0.0,12.9,523.0,9.8,,21.7
695971A001,力林矫 辫崇府,2024-03-13,9.1,13.3,6.3,57.9,276.5,2.5,9.4,0.0,0.0,22.7,0.0,9.4,,21.2
695971A001,力林矫 辫崇府,2024-03-14,9.8,14.7,5.4,65.2,237.2,1.2,4.7,0.0,0.0,17.9,0.0,10.3,,20.5
695971A001,力林矫 辫崇府,2024-03-15,9.8,16.2,3.1,67.3,188.0,1.2,4.0,0.0,0.0,22.4,0.0,10.3,,20.1
695971A001,力林矫 辫崇府,2024-03-16,12.5,21.0,3.0,64.7,153.9,1.3,6.2,0.0,0.0,17.3,12.0,12.4,,19.7
695971A001,力林矫 辫崇府,2024-03-17,12.0,15.0,7.4,81.2,277.2,2.6,11.1,0.5,0.0,9.3,630.0,12.2,,19.6
695971A001,力林矫 辫崇府,2024-03-18,10.5,15.4,4.3,63.1,345.4,1.5,10.2,0.0,0.0,21.6,0.0,10.7,,19.6
695971A001,力林矫 辫崇府,2024-03-19,11.8,16.6,7.9,63.4,276.1,3.7,15.1,0.0,0.0,18.6,41.0,12.2,,19.3
695971A001,力林矫 辫崇府,2024-03-20,8.4,11.2,6.1,49.2,285.6,5.5,14.6,0.0,0.0,21.7,0.0,8.5,,18.8
695971A001,力林矫 辫崇府,2024-03-21,7.5,12.4,2.4,57.0,275.8,2.4,8.8,0.0,0.0,24.1,0.0,8.9,,18.3
695971A001,力林矫 辫崇府,2024-03-22,13.6,19.3,4.5,64.4,157.6,2.5,13.2,0.0,0.0,18.4,0.0,12.4,,18.0
695971A001,力林矫 辫崇府,2024-03-23,17.1,19.6,14.7,79.5,136.1,1.3,7.2,1.0,0.0,17.1,97.0,16.7,,17.7
695971A001,力林矫 辫崇府,2024-03-24,14.1,16.5,12.4,93.0,100.8,2.6,8.1,21.0,0.0,1.9,1205.0,13.6,,20.4
695971A001,力林矫 辫崇府,2024-03-25,13.8,14.9,12.6,90.5,104.6,2.6,9.5,25.0,0.0,1.9,810.0,13.0,,22.3
695971A001,力林矫 辫崇府,2024-03-26,10.7,13.4,8.6,86.3,272.5,2.5,11.1,18.0,0.0,4.1,678.0,11.3,,23.0
695971A001,力林矫 辫崇府,2024-03-27,11.6,17.3,4.6,74.8,127.1,1.7,7.7,0.0,0.0,17.7,300.0,11.9,,21.4
695971A001,力林矫 辫崇府,2024-03-28,13.8,17.5,11.3,88.5,249.5,2.6,12.1,21.5,0.0,2.2,864.0,12.9,,22.5
695971A001,力林矫 辫崇府,2024-03-29,14.5,24.3,6.3,73.9,262.4,2.2,12.8,9.0,0.0,23.2,0.0,14.3,,21.7
695971A001,力林矫 辫崇府,2024-03-30,16.9,22.3,11.6,74.5,207.7,1.4,7.7,0.0,0.0,19.8,0.0,16.3,,20.8
695971A001,力林矫 辫崇府,2024-03-31,14.1,16.8,10.1,83.3,100.8,1.1,4.8,0.5,0.0,8.8,339.0,14.2,,20.2
695971A001,力林矫 辫崇府,2024-04-01,14.6,19.9,9.8,67.3,239.2,1.2,4.6,0.0,0.0,25.4,116.0,15.4,,19.9
695971A001,力林矫 辫崇府,2024-04-02,16.0,19.6,9.6,80.3,123.5,2.1,11.5,27.5,0.0,4.4,706.0,14.6,,20.9
695971A001,力林矫 辫崇府,2024-04-03,16.2,18.7,13.8,96.6,254.3,1.1,7.0,9.5,0.0,2.8,1439.0,16.1,,23.1
695971A001,力林矫 辫崇府,2024-04-04,14.7,16.3,13.4,89.3,104.0,1.2,6.1,6.5,0.0,5.3,804.0,14.6,,22.7
695971A001,力林矫 辫崇府,2024-04-05,14.2,17.9,8.4,76.2,98.3,1.6,6.4,1.0,0.0,21.1,0.0,14.3,,21.5
695971A001,力林矫 辫崇府,2024-04-06,12.5,17.0,8.3,84.1,193.1,1.1,3.6,0.0,0.0,11.0,412.0,13.8,,20.8
695971A001,力林矫 辫崇府,2024-04-07,14.3,21.0,7.7,76.8,130.8,1.1,4.3,0.0,0.0,21.8,49.0,15.2,,20.4
695971A001,力林矫 辫崇府,2024-04-08,14.5,19.0,10.4,79.5,176.0,0.8,4.0,2.0,0.0,4.9,618.0,14.4,,20.2
695971A001,力林矫 辫崇府,2024-04-09,14.4,19.7,8.9,70.5,124.5,1.7,8.2,0.0,0.0,22.2,11.0,14.5,,20.3
695971A001,力林矫 辫崇府,2024-04-10,14.2,17.7,10.5,70.6,106.8,1.7,6.9,0.0,0.0,22.5,0.0,14.2,,19.8
695971A001,力林矫 辫崇府,2024-04-11,15.5,19.4,11.5,79.8,121.8,1.3,6.5,1.5,0.0,6.2,231.0,14.5,,19.5
695971A001,力林矫 辫崇府,2024-04-12,16.2,19.9,11.5,84.3,110.2,1.5,5.9,0.0,0.0,19.2,48.0,16.3,,19.3
695971A001,力林矫 辫崇府,2024-04-13,17.6,22.3,13.5,76.2,104.6,1.3,5.6,0.0,0.0,25.7,0.0,17.6,,18.9
695971A001,力林矫 辫崇府,2024-04-14,18.6,23.1,13.2,76.4,123.6,2.6,14.2,12.5,0.0,18.5,33.0,18.1,,18.2
695971A001,力林矫 辫崇府,2024-04-15,17.1,20.9,13.5,90.1,173.6,3.1,12.8,26.5,0.0,9.8,480.0,17.6,,19.3
695971A001,力林矫 辫崇府,2024-04-16,14.8,20.4,10.8,85.3,268.8,1.8,8.2,0.5,0.0,21.3,426.0,16.5,,19.2
695971A001,力林矫 辫崇府,2024-04-17,13.5,17.4,9.3,78.4,231.6,1.2,4.0,0.0,0.0,12.9,0.0,15.4,,18.7
695971A001,力林矫 辫崇府,2024-04-18,15.6,20.8,11.0,70.7,265.6,2.0,9.3,1.0,0.0,26.9,0.0,16.5,,18.4
695971A001,力林矫 辫崇府,2024-04-19,17.1,22.4,10.3,58.1,183.6,1.1,5.8,0.0,0.0,21.6,0.0,17.4,,17.8
695971A001,力林矫 辫崇府,2024-04-20,17.7,23.6,14.7,80.8,167.1,2.0,8.9,10.0,0.0,7.5,453.0,17.0,,17.8
695971A001,力林矫 辫崇府,2024-04-21,16.1,19.4,14.3,87.1,111.5,0.8,3.9,1.0,0.0,10.2,183.0,17.3,,17.9
695971A001,力林矫 辫崇府,2024-04-22,16.6,17.7,15.5,86.2,98.6,2.2,9.0,19.5,0.0,5.5,208.0,16.2,,17.7
695971A001,力林矫 辫崇府,2024-04-23,15.5,16.8,14.5,86.0,96.2,2.3,9.5,89.5,0.0,3.0,480.0,15.0,,18.0
695971A001,力林矫 辫崇府,2024-04-24,15.7,19.0,11.5,81.1,269.3,2.4,9.8,2.0,0.0,24.7,259.0,17.2,,18.7
