no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,695909B001,제주시 상귀길,2020-06-01,18.1,23.2,10.9,81.8,199.6,0.7,4.2,0.5,239.0,11.8,479,20.5,,,2020,6,1
153,695909B001,제주시 상귀길,2020-06-02,18.7,26.3,9.7,60.8,102.9,0.9,5.6,0.0,715.0,25.5,0,22.9,,,2020,6,2
154,695909B001,제주시 상귀길,2020-06-03,21.4,28.2,17.4,73.6,161.7,0.5,6.3,0.0,0.0,7.0,105,22.4,,,2020,6,3
155,695909B001,제주시 상귀길,2020-06-04,21.4,27.6,16.3,76.7,191.7,0.6,4.4,0.0,389.0,18.4,503,24.8,,,2020,6,4
156,695909B001,제주시 상귀길,2020-06-05,21.1,28.2,16.0,76.2,139.1,0.6,3.5,0.0,223.0,15.6,103,23.7,,,2020,6,5
157,695909B001,제주시 상귀길,2020-06-06,22.3,28.9,18.0,75.7,83.9,0.9,4.8,0.0,445.0,19.3,195,26.1,,,2020,6,6
158,695909B001,제주시 상귀길,2020-06-07,21.7,29.1,16.6,72.9,138.0,0.7,5.7,0.0,710.0,24.1,351,26.0,,,2020,6,7
159,695909B001,제주시 상귀길,2020-06-08,23.1,31.2,15.1,59.3,244.0,0.9,5.7,0.0,782.0,26.1,1,26.2,,,2020,6,8
160,695909B001,제주시 상귀길,2020-06-09,24.5,30.9,17.0,62.4,240.1,1.0,4.9,0.0,730.0,25.4,0,27.6,,,2020,6,9
161,695909B001,제주시 상귀길,2020-06-10,23.6,29.5,19.8,75.0,155.6,0.6,7.3,2.5,202.0,10.2,230,23.9,,,2020,6,10
162,695909B001,제주시 상귀길,2020-06-11,23.6,28.0,20.9,82.1,240.0,1.3,7.4,0.0,182.0,12.8,92,25.5,,,2020,6,11
163,695909B001,제주시 상귀길,2020-06-12,22.8,27.3,20.1,82.9,109.9,0.8,7.9,0.0,71.0,7.8,220,24.2,,,2020,6,12
164,695909B001,제주시 상귀길,2020-06-13,26.9,30.0,23.4,74.1,200.3,2.1,12.1,49.0,31.0,6.7,557,25.2,,,2020,6,13
165,695909B001,제주시 상귀길,2020-06-14,23.2,25.5,20.1,87.7,220.2,1.9,10.1,37.0,0.0,4.7,503,23.7,,,2020,6,14
166,695909B001,제주시 상귀길,2020-06-15,22.2,28.0,18.7,79.3,205.9,0.7,3.6,0.0,301.0,18.2,648,25.2,,,2020,6,15
167,695909B001,제주시 상귀길,2020-06-16,22.7,28.5,18.8,74.5,189.4,0.7,3.9,0.0,516.0,22.1,0,26.4,,,2020,6,16
168,695909B001,제주시 상귀길,2020-06-17,21.0,24.8,19.0,80.6,211.2,0.6,3.9,2.5,50.0,5.9,247,22.6,,,2020,6,17
169,695909B001,제주시 상귀길,2020-06-18,19.5,24.2,17.4,88.4,78.0,1.5,7.6,33.0,0.0,3.7,859,20.5,,,2020,6,18
170,695909B001,제주시 상귀길,2020-06-19,19.8,24.9,17.6,84.7,69.8,1.5,6.6,6.0,289.0,14.8,797,21.8,,,2020,6,19
171,695909B001,제주시 상귀길,2020-06-20,22.1,27.3,17.6,71.2,71.2,1.3,6.4,0.0,526.0,21.6,0,24.5,,,2020,6,20
172,695909B001,제주시 상귀길,2020-06-21,21.6,27.4,17.4,73.9,65.1,1.9,8.9,0.0,641.0,22.0,132,25.0,,,2020,6,21
173,695909B001,제주시 상귀길,2020-06-22,22.4,29.2,15.4,73.4,90.9,1.0,6.0,0.0,728.0,24.4,181,26.2,,,2020,6,22
174,695909B001,제주시 상귀길,2020-06-23,24.5,29.3,18.2,64.2,182.5,1.1,8.3,0.0,567.0,21.4,0,26.8,,,2020,6,23
175,695909B001,제주시 상귀길,2020-06-24,24.4,27.0,21.4,73.1,165.3,1.5,14.9,37.0,0.0,4.3,429,23.6,,,2020,6,24
176,695909B001,제주시 상귀길,2020-06-25,22.5,24.7,19.9,86.0,233.2,0.8,5.4,13.0,0.0,4.0,527,23.1,,,2020,6,25
177,695909B001,제주시 상귀길,2020-06-26,22.7,27.3,18.4,73.7,160.6,0.7,3.8,0.0,745.0,25.9,11,25.7,,,2020,6,26
178,695909B001,제주시 상귀길,2020-06-27,23.3,29.2,19.4,80.7,87.3,0.5,3.5,0.5,194.0,12.7,303,25.2,,,2020,6,27
179,695909B001,제주시 상귀길,2020-06-28,23.2,29.0,18.9,75.8,222.7,0.7,3.8,0.0,357.0,18.0,95,25.9,,,2020,6,28
180,695909B001,제주시 상귀길,2020-06-29,22.0,26.2,17.5,81.7,188.2,1.3,17.3,43.5,0.0,3.7,883,22.6,,,2020,6,29
181,695909B001,제주시 상귀길,2020-06-30,20.3,22.8,18.8,82.8,245.5,2.4,14.2,0.5,17.0,8.6,38,21.5,,,2020,6,30
