no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,063352B012,,2017-08-01,27.8,30.8,25.5,92.7,116.8,1.3,8.9,6.5,0,11.1,,30.6,,,2017,8,1
214,063352B012,,2017-08-02,27.6,30.2,24.9,86.3,92.3,1.3,7.8,0.0,0,21.8,,33.2,,,2017,8,2
215,063352B012,,2017-08-03,28.0,30.8,24.3,83.1,109.0,1.8,8.4,0.0,0,17.3,,31.6,,,2017,8,3
216,063352B012,,2017-08-04,28.5,31.9,25.3,88.2,89.5,1.2,6.7,0.0,0,21.0,,33.7,,,2017,8,4
217,063352B012,,2017-08-05,29.0,32.2,26.7,87.5,100.3,1.3,7.4,0.0,0,21.9,,34.3,,,2017,8,5
218,063352B012,,2017-08-06,29.3,32.5,27.2,81.9,252.4,2.1,8.0,0.0,0,21.0,,33.8,,,2017,8,6
219,063352B012,,2017-08-07,29.3,32.9,26.4,79.2,282.2,3.2,10.3,0.0,0,24.6,,33.6,,,2017,8,7
220,063352B012,,2017-08-08,27.2,32.1,23.8,80.0,180.8,1.1,6.6,3.5,0,7.8,,29.0,,,2017,8,8
221,063352B012,,2017-08-09,27.8,32.1,25.5,85.8,248.1,1.9,8.2,6.5,0,14.5,,30.8,,,2017,8,9
222,063352B012,,2017-08-10,27.3,30.7,24.3,81.4,281.6,1.4,6.6,0.0,0,19.0,,31.7,,,2017,8,10
223,063352B012,,2017-08-11,27.0,31.5,23.6,77.7,270.9,1.5,7.3,0.0,0,24.8,,32.2,,,2017,8,11
224,063352B012,,2017-08-12,26.4,29.9,22.6,82.9,97.5,1.3,7.6,0.0,0,15.2,,29.8,,,2017,8,12
225,063352B012,,2017-08-13,26.8,29.2,25.6,76.7,108.3,2.3,8.2,1.0,0,8.0,,28.3,,,2017,8,13
226,063352B012,,2017-08-14,26.7,31.2,24.4,93.4,144.2,1.3,7.8,59.5,0,6.1,,28.4,,,2017,8,14
227,063352B012,,2017-08-15,27.5,31.1,25.2,87.1,231.0,1.3,7.2,1.5,0,14.5,,30.7,,,2017,8,15
228,063352B012,,2017-08-16,26.6,29.7,24.2,81.0,279.5,2.2,9.2,0.5,0,23.4,,30.5,,,2017,8,16
229,063352B012,,2017-08-17,25.7,29.0,23.3,83.3,283.9,1.7,7.2,6.5,0,20.2,,30.2,,,2017,8,17
230,063352B012,,2017-08-18,25.8,29.5,22.3,81.0,220.6,1.0,4.9,0.0,0,22.0,,30.4,,,2017,8,18
231,063352B012,,2017-08-19,25.4,29.3,21.4,87.5,133.1,1.5,6.5,2.0,0,10.8,,28.2,,,2017,8,19
232,063352B012,,2017-08-20,26.9,30.5,23.8,86.2,152.1,2.6,11.1,7.5,0,17.4,,30.0,,,2017,8,20
233,063352B012,,2017-08-21,27.0,31.5,24.6,88.6,151.6,2.4,10.8,18.5,0,15.8,,30.0,,,2017,8,21
234,063352B012,,2017-08-22,28.6,32.9,23.8,87.6,163.3,2.5,8.9,54.0,0,23.1,,32.8,,,2017,8,22
235,063352B012,,2017-08-23,29.6,32.7,27.4,85.0,169.5,2.5,9.3,0.0,0,23.0,,33.0,,,2017,8,23
236,063352B012,,2017-08-24,29.7,33.8,26.5,78.4,187.0,2.3,11.1,0.5,0,20.8,,32.2,,,2017,8,24
237,063352B012,,2017-08-25,28.3,33.1,25.3,84.1,261.7,1.7,7.0,0.5,0,14.0,,31.1,,,2017,8,25
238,063352B012,,2017-08-26,25.7,29.4,20.9,62.7,267.7,1.8,6.4,0.0,0,25.0,,29.2,,,2017,8,26
239,063352B012,,2017-08-27,24.3,29.5,17.8,75.1,99.3,1.0,7.3,0.0,0,22.2,,28.5,,,2017,8,27
240,063352B012,,2017-08-28,26.4,31.3,19.9,77.8,159.1,0.7,5.1,0.0,0,16.9,,28.9,,,2017,8,28
241,063352B012,,2017-08-29,24.7,28.3,20.9,74.2,281.3,2.7,9.5,0.0,0,19.4,,27.4,,,2017,8,29
242,063352B012,,2017-08-30,22.7,26.4,19.0,66.9,278.3,2.0,6.9,0.0,0,15.2,,24.8,,,2017,8,30
243,063352B012,,2017-08-31,23.2,26.7,19.9,68.6,275.7,2.0,7.4,0.0,0,22.5,,26.8,,,2017,8,31
