stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
063048F003,力林矫 脚决府,2024-05-01,15.2,18.6,13.0,76.1,120.5,0.3,6.3,0.0,,11.9,,,,,2024,5,1
063048F003,力林矫 脚决府,2024-05-02,16.2,21.0,12.5,59.8,126.7,0.2,6.6,0.0,,24.8,,,,,2024,5,2
063048F003,力林矫 脚决府,2024-05-03,16.2,22.4,10.6,74.8,,0.0,4.6,0.0,,28.4,,,,,2024,5,3
063048F003,力林矫 脚决府,2024-05-04,20.4,28.6,11.8,66.7,144.0,0.5,7.9,0.0,,16.3,,,,,2024,5,4
063048F003,力林矫 脚决府,2024-05-05,21.4,22.8,17.2,86.1,141.7,3.3,18.7,47.5,,7.8,,,,,2024,5,5
063048F003,力林矫 脚决府,2024-05-06,17.6,22.4,14.8,84.2,267.3,0.1,4.7,0.5,,19.8,,,,,2024,5,6
063048F003,力林矫 脚决府,2024-05-07,17.6,22.1,14.4,75.5,272.8,0.3,5.7,0.0,,25.1,,,,,2024,5,7
063048F003,力林矫 脚决府,2024-05-08,14.2,17.1,10.8,80.7,128.7,0.2,6.3,1.0,,9.9,,,,,2024,5,8
063048F003,力林矫 脚决府,2024-05-09,15.3,21.9,10.0,70.0,148.8,0.1,3.3,0.0,,29.0,,,,,2024,5,9
063048F003,力林矫 脚决府,2024-05-10,17.4,24.2,10.2,60.7,143.8,0.2,5.1,0.0,,28.8,,,,,2024,5,10
063048F003,力林矫 脚决府,2024-05-11,20.7,24.2,18.7,69.9,137.3,2.4,10.9,8.5,,14.0,,,,,2024,5,11
063048F003,力林矫 脚决府,2024-05-12,16.8,19.3,12.2,75.7,130.2,0.2,7.3,7.0,,9.0,,,,,2024,5,12
063048F003,力林矫 脚决府,2024-05-13,16.5,21.0,11.2,63.9,146.8,0.1,3.0,0.0,,28.9,,,,,2024,5,13
063048F003,力林矫 脚决府,2024-05-14,17.0,23.6,9.4,55.0,,0.0,1.8,0.0,,30.2,,,,,2024,5,14
063048F003,力林矫 脚决府,2024-05-15,16.7,24.3,11.9,53.1,255.4,0.3,7.6,0.0,,23.8,,,,,2024,5,15
063048F003,力林矫 脚决府,2024-05-16,18.3,23.8,14.0,46.5,226.8,0.6,8.3,0.0,,29.8,,,,,2024,5,16
063048F003,力林矫 脚决府,2024-05-17,20.5,25.9,15.4,39.2,132.2,1.6,9.7,0.0,,29.6,,,,,2024,5,17
063048F003,力林矫 脚决府,2024-05-18,18.3,26.1,12.5,62.7,,0.1,2.4,0.0,,28.6,,,,,2024,5,18
063048F003,力林矫 脚决府,2024-05-19,20.0,26.9,13.3,48.8,,0.0,2.4,0.0,,30.3,,,,,2024,5,19
063048F003,力林矫 脚决府,2024-05-20,20.3,26.6,15.0,54.6,,0.0,2.3,0.0,,24.2,,,,,2024,5,20
063048F003,力林矫 脚决府,2024-05-21,19.3,25.1,13.2,69.1,,0.0,4.4,0.0,,26.9,,,,,2024,5,21
063048F003,力林矫 脚决府,2024-05-22,19.5,24.2,14.7,73.8,,0.0,1.6,0.0,,16.0,,,,,2024,5,22
063048F003,力林矫 脚决府,2024-05-23,20.4,25.8,16.6,72.7,,0.0,1.8,0.0,,26.0,,,,,2024,5,23
063048F003,力林矫 脚决府,2024-05-24,19.1,26.0,14.3,71.4,,0.0,2.9,0.0,,28.4,,,,,2024,5,24
063048F003,力林矫 脚决府,2024-05-25,20.1,25.9,14.3,69.6,,0.1,5.0,0.0,,27.9,,,,,2024,5,25
063048F003,力林矫 脚决府,2024-05-26,21.3,27.2,15.2,81.3,139.3,0.6,8.1,3.0,,10.4,,,,,2024,5,26
063048F003,力林矫 脚决府,2024-05-27,20.0,24.4,17.6,69.8,,0.0,2.6,0.5,,16.4,,,,,2024,5,27
063048F003,力林矫 脚决府,2024-05-28,18.8,23.9,14.4,68.9,,0.0,4.0,0.0,,28.6,,,,,2024,5,28
063048F003,力林矫 脚决府,2024-05-29,18.9,24.6,13.2,66.9,,0.0,2.4,0.0,,27.9,,,,,2024,5,29
063048F003,力林矫 脚决府,2024-05-30,19.0,24.8,13.6,73.8,,0.0,2.4,2.5,,17.2,,,,,2024,5,30
063048F003,力林矫 脚决府,2024-05-31,18.1,22.4,15.3,86.4,,0.0,2.1,2.0,,15.8,,,,,2024,5,31
