no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,063057B009,제주시 애월읍,2021-03-01,13.9,19.0,5.2,88.0,,0.0,16.3,28.5,,8.7,856,14.1,,23.4,2021,3,1
61,063057B009,제주시 애월읍,2021-03-02,4.7,6.7,2.1,81.9,,0.0,10.1,0.5,,12.2,237,5.8,,24.0,2021,3,2
62,063057B009,제주시 애월읍,2021-03-03,6.1,11.4,1.1,73.0,,0.0,9.2,0.0,,18.6,0,6.5,,23.2,2021,3,3
63,063057B009,제주시 애월읍,2021-03-04,8.4,10.4,5.3,90.1,,0.0,8.8,33.0,,3.1,940,8.5,,24.2,2021,3,4
64,063057B009,제주시 애월읍,2021-03-05,9.6,12.5,8.1,93.6,,0.0,6.5,0.0,,15.8,100,11.4,,24.2,2021,3,5
65,063057B009,제주시 애월읍,2021-03-06,8.9,13.5,4.7,87.6,,0.0,12.6,0.0,,10.3,0,9.6,,23.4,2021,3,6
66,063057B009,제주시 애월읍,2021-03-07,7.8,9.7,5.3,83.9,,0.0,10.8,0.0,,9.0,9,8.6,,22.9,2021,3,7
67,063057B009,제주시 애월읍,2021-03-08,8.1,11.5,5.7,84.8,,0.0,7.1,0.0,,18.4,0,9.8,,22.5,2021,3,8
68,063057B009,제주시 애월읍,2021-03-09,7.5,10.8,4.0,74.6,,0.0,5.8,0.0,,12.1,0,8.2,,24.0,2021,3,9
69,063057B009,제주시 애월읍,2021-03-10,8.8,14.8,3.5,71.0,,0.0,8.7,0.0,,20.4,0,8.8,,28.4,2021,3,10
70,063057B009,제주시 애월읍,2021-03-11,11.3,19.1,4.9,81.8,,0.0,6.1,0.0,,13.1,310,12.0,,27.4,2021,3,11
71,063057B009,제주시 애월읍,2021-03-12,9.4,12.0,7.7,96.9,,0.0,8.3,0.0,,1.8,959,10.0,,29.5,2021,3,12
72,063057B009,제주시 애월읍,2021-03-13,8.9,12.3,3.9,87.0,,0.0,4.9,0.0,,18.3,0,10.5,,29.0,2021,3,13
73,063057B009,제주시 애월읍,2021-03-14,7.9,13.3,3.1,78.0,,0.0,4.8,0.0,,21.2,0,8.8,,28.7,2021,3,14
74,063057B009,제주시 애월읍,2021-03-15,11.5,17.8,3.5,71.5,,0.0,11.4,0.0,,17.8,19,12.0,,28.4,2021,3,15
75,063057B009,제주시 애월읍,2021-03-16,10.6,16.2,1.9,89.6,,0.0,11.2,0.0,,14.1,710,12.0,,29.0,2021,3,16
76,063057B009,제주시 애월읍,2021-03-17,7.6,14.9,-0.1,80.0,,0.0,6.4,0.0,,22.4,334,8.1,,28.9,2021,3,17
77,063057B009,제주시 애월읍,2021-03-18,11.3,16.1,5.5,83.2,,0.0,8.5,0.0,,21.7,0,11.8,,28.7,2021,3,18
78,063057B009,제주시 애월읍,2021-03-19,12.5,15.4,9.9,86.8,,0.0,11.4,0.0,,18.7,263,13.4,,28.1,2021,3,19
79,063057B009,제주시 애월읍,2021-03-20,11.6,15.5,7.1,97.5,,0.0,9.6,0.0,,2.5,1289,12.2,,28.5,2021,3,20
80,063057B009,제주시 애월읍,2021-03-21,6.6,9.9,4.5,75.2,,0.0,11.3,0.0,,16.3,36,7.9,,29.1,2021,3,21
81,063057B009,제주시 애월읍,2021-03-22,6.5,10.4,3.6,57.8,,0.0,9.8,0.0,,24.0,0,7.6,,28.8,2021,3,22
82,063057B009,제주시 애월읍,2021-03-23,8.9,14.5,4.0,63.3,,0.0,6.8,0.0,,23.3,0,9.4,,28.3,2021,3,23
83,063057B009,제주시 애월읍,2021-03-24,11.2,18.1,3.9,64.1,,0.0,9.0,0.0,,20.1,0,11.5,,27.4,2021,3,24
84,063057B009,제주시 애월읍,2021-03-25,11.6,16.5,5.9,77.3,,0.0,5.0,0.0,,24.4,0,12.7,,26.5,2021,3,25
85,063057B009,제주시 애월읍,2021-03-26,11.5,19.5,4.2,64.4,,0.0,5.2,0.0,,24.4,0,12.6,,25.6,2021,3,26
86,063057B009,제주시 애월읍,2021-03-27,15.6,19.1,7.3,82.4,,0.0,15.8,0.0,,9.4,591,15.1,,26.4,2021,3,27
87,063057B009,제주시 애월읍,2021-03-28,12.7,15.0,10.3,85.6,,0.0,7.9,0.0,,13.2,0,14.1,,28.7,2021,3,28
88,063057B009,제주시 애월읍,2021-03-29,12.7,15.8,7.0,62.2,,0.0,7.9,0.0,,19.5,0,14.3,,28.2,2021,3,29
89,063057B009,제주시 애월읍,2021-03-30,11.2,19.1,6.8,61.1,,0.0,5.8,0.0,,23.2,0,12.1,,27.7,2021,3,30
90,063057B009,제주시 애월읍,2021-03-31,13.6,20.2,6.7,64.7,,0.0,8.6,0.0,,14.4,0,13.7,,27.1,2021,3,31
