no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,695907A001,제주시 월각로,2020-06-01,17.5,22.5,13.2,87.4,59.3,1.8,6.4,1.0,307,14.9,524,21.8,,35.3,2020,6,1
153,695907A001,제주시 월각로,2020-06-02,20.6,25.7,10.4,59.2,176.2,2.2,8.2,0.0,724,27.3,0,24.5,,34.9,2020,6,2
154,695907A001,제주시 월각로,2020-06-03,20.2,24.7,17.8,91.8,167.5,2.5,10.3,0.0,2,11.0,182,20.8,,34.2,2020,6,3
155,695907A001,제주시 월각로,2020-06-04,21.4,26.9,16.6,73.8,173.6,1.8,6.0,0.0,500,20.7,81,25.6,,33.8,2020,6,4
156,695907A001,제주시 월각로,2020-06-05,22.5,26.3,17.5,73.2,164.5,1.1,4.8,0.0,274,18.1,0,25.2,,32.9,2020,6,5
157,695907A001,제주시 월각로,2020-06-06,22.3,27.6,17.5,77.2,255.9,1.1,5.1,0.0,482,21.8,107,27.0,,32.3,2020,6,6
158,695907A001,제주시 월각로,2020-06-07,21.1,26.3,16.5,84.7,268.9,1.1,5.8,0.0,680,25.4,111,28.7,,31.4,2020,6,7
159,695907A001,제주시 월각로,2020-06-08,23.0,27.6,15.9,57.8,162.7,2.3,10.0,0.0,729,28.0,0,27.9,,30.0,2020,6,8
160,695907A001,제주시 월각로,2020-06-09,23.7,28.8,17.3,70.9,135.2,3.4,13.7,0.0,525,23.9,0,26.1,,28.5,2020,6,9
161,695907A001,제주시 월각로,2020-06-10,22.5,25.7,20.6,86.2,153.6,3.6,12.8,10.5,81,12.2,377,21.9,,28.0,2020,6,10
162,695907A001,제주시 월각로,2020-06-11,21.1,23.0,19.6,100.0,233.9,1.2,6.5,2.0,10,9.8,465,22.2,,31.5,2020,6,11
163,695907A001,제주시 월각로,2020-06-12,22.4,26.5,18.5,96.0,172.0,1.9,9.9,1.0,17,10.8,506,22.7,,31.9,2020,6,12
164,695907A001,제주시 월각로,2020-06-13,23.0,25.4,21.5,99.3,187.3,3.0,11.0,76.5,6,8.9,1033,22.5,,44.6,2020,6,13
165,695907A001,제주시 월각로,2020-06-14,21.8,23.8,19.1,100.0,215.4,2.1,10.1,42.5,0,5.4,1253,21.5,,48.8,2020,6,14
166,695907A001,제주시 월각로,2020-06-15,20.5,26.0,16.9,92.9,118.8,1.1,4.5,0.5,305,21.1,727,24.5,,46.3,2020,6,15
167,695907A001,제주시 월각로,2020-06-16,21.2,27.2,16.9,86.1,88.1,1.2,5.7,0.0,533,25.1,345,25.1,,43.1,2020,6,16
168,695907A001,제주시 월각로,2020-06-17,18.6,22.5,15.4,92.4,146.8,0.7,7.3,18.5,0,6.2,915,18.8,,42.5,2020,6,17
169,695907A001,제주시 월각로,2020-06-18,20.8,25.6,16.5,98.5,181.1,1.6,7.8,32.0,0,7.1,1125,20.1,,49.8,2020,6,18
170,695907A001,제주시 월각로,2020-06-19,18.9,23.9,16.1,95.2,52.3,1.7,7.7,2.5,256,15.7,775,21.9,,47.3,2020,6,19
171,695907A001,제주시 월각로,2020-06-20,19.9,25.7,16.4,90.2,270.8,1.1,6.3,0.0,264,16.7,494,21.7,,43.7,2020,6,20
172,695907A001,제주시 월각로,2020-06-21,20.4,27.3,16.0,87.2,107.6,1.0,6.7,0.0,566,22.5,658,23.9,,41.5,2020,6,21
173,695907A001,제주시 월각로,2020-06-22,21.1,26.9,14.9,81.5,180.5,1.2,5.3,0.0,600,22.0,375,23.7,,39.9,2020,6,22
174,695907A001,제주시 월각로,2020-06-23,23.4,27.5,17.3,69.2,149.4,2.7,14.3,0.0,526,23.4,0,23.8,,38.6,2020,6,23
175,695907A001,제주시 월각로,2020-06-24,22.5,23.8,21.4,95.5,165.0,4.9,18.0,78.5,0,4.2,853,21.2,,44.9,2020,6,24
176,695907A001,제주시 월각로,2020-06-25,20.9,22.9,18.1,99.8,194.1,0.9,5.1,25.5,0,5.1,1151,20.3,,49.0,2020,6,25
177,695907A001,제주시 월각로,2020-06-26,21.3,26.4,17.0,87.6,155.5,0.9,5.3,0.0,719,28.1,333,25.1,,46.0,2020,6,26
178,695907A001,제주시 월각로,2020-06-27,23.2,27.8,19.4,93.3,156.7,0.8,5.7,1.5,107,12.3,459,24.1,,42.7,2020,6,27
179,695907A001,제주시 월각로,2020-06-28,21.9,27.5,15.9,87.0,83.4,1.2,6.1,0.0,407,21.2,412,24.1,,41.4,2020,6,28
180,695907A001,제주시 월각로,2020-06-29,22.0,24.7,18.2,85.4,176.0,3.7,20.9,83.5,0,6.3,518,19.9,,44.7,2020,6,29
181,695907A001,제주시 월각로,2020-06-30,18.3,20.5,16.7,99.2,284.9,4.0,13.2,0.0,17,7.8,62,18.2,,47.4,2020,6,30
