no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,063336B011,제주시 조천읍,2019-08-01,27.8,35.0,23.4,91.1,,0.0,6.0,0.0,,25.3,0,30.4,,11.1,2019,8,1
214,063336B011,제주시 조천읍,2019-08-02,28.0,33.4,22.8,85.7,,0.0,5.1,0.0,,26.2,0,30.6,,10.9,2019,8,2
215,063336B011,제주시 조천읍,2019-08-03,27.2,31.9,22.5,89.8,,0.0,5.1,0.0,,15.5,0,28.6,,10.8,2019,8,3
216,063336B011,제주시 조천읍,2019-08-04,27.5,32.7,22.8,91.7,,0.0,5.8,0.0,,23.9,0,29.6,,10.6,2019,8,4
217,063336B011,제주시 조천읍,2019-08-05,26.2,31.8,21.0,91.2,,0.0,4.7,0.0,,22.9,0,29.2,,11.0,2019,8,5
218,063336B011,제주시 조천읍,2019-08-06,27.5,33.2,22.5,83.4,,0.0,3.7,0.0,,23.8,0,30.6,,11.7,2019,8,6
219,063336B011,제주시 조천읍,2019-08-07,28.7,34.4,22.5,80.5,,0.0,5.4,0.0,,26.7,0,31.5,,10.9,2019,8,7
220,063336B011,제주시 조천읍,2019-08-08,28.9,34.1,25.3,84.7,,0.0,6.9,2.5,,21.6,0,30.5,,10.4,2019,8,8
221,063336B011,제주시 조천읍,2019-08-09,28.6,33.0,25.4,86.7,,0.0,7.7,0.0,,16.4,0,29.7,,10.2,2019,8,9
222,063336B011,제주시 조천읍,2019-08-10,28.7,31.5,27.6,83.8,,0.0,9.2,0.0,,12.3,0,29.3,,9.7,2019,8,10
223,063336B011,제주시 조천읍,2019-08-11,27.5,29.7,26.2,95.0,,0.0,12.5,31.5,,6.1,0,27.2,,11.0,2019,8,11
224,063336B011,제주시 조천읍,2019-08-12,28.3,31.7,25.9,95.6,,0.0,10.3,9.5,,17.9,0,28.6,,16.5,2019,8,12
225,063336B011,제주시 조천읍,2019-08-13,27.8,32.2,23.5,91.5,,0.0,5.0,0.0,,26.1,0,29.7,,15.8,2019,8,13
226,063336B011,제주시 조천읍,2019-08-14,27.7,35.8,24.0,92.3,,0.0,3.9,0.0,,9.7,0,30.5,,12.9,2019,8,14
232,063336B011,제주시 조천읍,2019-08-20,26.2,31.0,23.9,98.5,,0.0,5.5,0.0,,13.0,0,26.9,,32.5,2019,8,20
233,063336B011,제주시 조천읍,2019-08-21,27.2,32.6,23.2,92.4,,0.0,5.0,1.0,,15.2,0,29.0,,32.1,2019,8,21
234,063336B011,제주시 조천읍,2019-08-22,26.7,31.1,23.3,95.9,,0.0,6.5,14.0,,15.5,0,28.8,,35.0,2019,8,22
235,063336B011,제주시 조천읍,2019-08-23,25.5,29.4,22.5,86.4,,0.0,5.1,0.0,,14.8,0,27.2,,36.4,2019,8,23
236,063336B011,제주시 조천읍,2019-08-24,24.9,30.4,21.0,73.1,,0.0,4.8,0.0,,19.4,0,26.3,,35.7,2019,8,24
237,063336B011,제주시 조천읍,2019-08-25,23.9,28.1,21.1,81.4,,0.0,4.4,0.5,,8.3,0,24.6,,34.7,2019,8,25
238,063336B011,제주시 조천읍,2019-08-26,24.5,29.4,21.9,95.7,,0.0,6.5,0.5,,8.9,0,25.1,,34.3,2019,8,26
239,063336B011,제주시 조천읍,2019-08-27,24.8,29.3,23.3,100.0,,0.0,7.9,59.0,,3.5,0,25.2,,41.6,2019,8,27
240,063336B011,제주시 조천읍,2019-08-28,23.7,26.6,21.4,99.5,,0.0,5.8,48.5,,3.8,0,24.5,,48.9,2019,8,28
241,063336B011,제주시 조천읍,2019-08-29,21.6,24.0,19.6,99.1,,0.0,4.7,66.0,,3.6,0,22.3,,49.9,2019,8,29
242,063336B011,제주시 조천읍,2019-08-30,23.4,27.9,18.0,83.5,,0.0,4.3,0.0,,24.5,0,25.3,,46.5,2019,8,30
243,063336B011,제주시 조천읍,2019-08-31,22.5,28.8,17.3,84.3,,0.0,3.2,0.0,,24.1,0,25.1,,43.2,2019,8,31
