stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
063336B011,제주시 조천읍,2024-04-01,13.8,20.2,7.4,82.4,,0,2.3,0.0,,22.3,0,14.7,,22.6,2024,4,1
063336B011,제주시 조천읍,2024-04-02,15.2,20.9,8.8,97.0,,0,7.1,5.5,,3.9,709,14.1,,22.7,2024,4,2
063336B011,제주시 조천읍,2024-04-03,16.3,17.6,14.3,99.9,,0,3.1,8.5,,2.1,1433,15.7,,24.8,2024,4,3
063336B011,제주시 조천읍,2024-04-04,14.8,17.7,13.2,99.9,,0,3.9,1.0,,5.0,957,14.6,,24.5,2024,4,4
063336B011,제주시 조천읍,2024-04-05,13.9,18.5,8.7,94.4,,0,3.7,0.0,,18.6,0,14.6,,23.6,2024,4,5
063336B011,제주시 조천읍,2024-04-06,12.7,18.0,8.1,95.5,,0,3.2,0.0,,9.5,500,12.9,,23.1,2024,4,6
063336B011,제주시 조천읍,2024-04-07,14.3,22.1,6.3,91.2,,0,2.5,0.0,,17.9,0,14.3,,22.8,2024,4,7
063336B011,제주시 조천읍,2024-04-08,15.2,20.1,11.2,93.4,,0,3.6,1.5,,4.2,645,14.1,,22.5,2024,4,8
063336B011,제주시 조천읍,2024-04-09,14.8,22.4,8.8,88.7,,0,6.0,0.0,,19.0,0,14.7,,22.5,2024,4,9
063336B011,제주시 조천읍,2024-04-10,14.5,20.8,8.3,87.2,,0,6.4,0.0,,19.8,0,15.0,,22.2,2024,4,10
063336B011,제주시 조천읍,2024-04-11,16.1,21.6,11.8,93.3,,0,6.2,3.0,,6.2,270,15.2,,22.0,2024,4,11
063336B011,제주시 조천읍,2024-04-12,17.0,22.7,10.3,93.0,,0,4.0,0.0,,17.2,0,16.7,,22.2,2024,4,12
063336B011,제주시 조천읍,2024-04-13,18.0,24.0,13.1,89.9,,0,4.6,0.0,,22.5,0,18.5,,21.7,2024,4,13
063336B011,제주시 조천읍,2024-04-14,19.4,24.8,12.8,90.6,,0,12.2,0.0,,13.9,11,18.5,,21.2,2024,4,14
063336B011,제주시 조천읍,2024-04-15,17.9,23.1,13.4,99.3,,0,9.7,0.5,,8.2,379,17.6,,21.0,2024,4,15
063336B011,제주시 조천읍,2024-04-16,14.9,22.4,10.7,96.3,,0,3.7,0.0,,17.9,7,16.1,,21.1,2024,4,16
063336B011,제주시 조천읍,2024-04-17,13.2,17.3,7.4,93.0,,0,2.1,0.0,,9.7,0,13.4,,20.8,2024,4,17
063336B011,제주시 조천읍,2024-04-18,15.1,21.0,9.0,86.2,,0,3.6,0.0,,23.3,0,16.2,,20.7,2024,4,18
063336B011,제주시 조천읍,2024-04-19,16.2,23.4,8.6,79.0,,0,1.5,0.0,,17.7,0,16.7,,20.2,2024,4,19
063336B011,제주시 조천읍,2024-04-20,18.3,23.5,15.3,93.8,,0,9.6,1.0,,5.7,238,17.5,,20.0,2024,4,20
063336B011,제주시 조천읍,2024-04-21,16.0,17.5,14.9,99.9,,0,1.6,0.0,,4.4,80,16.1,,20.1,2024,4,21
063336B011,제주시 조천읍,2024-04-22,16.6,18.0,15.6,99.9,,0,4.8,0.5,,3.8,673,16.1,,20.1,2024,4,22
063336B011,제주시 조천읍,2024-04-23,15.6,17.2,14.8,99.9,,0,4.7,2.5,,2.6,463,15.1,,20.1,2024,4,23
063336B011,제주시 조천읍,2024-04-24,15.8,19.9,10.8,94.0,,0,5.7,0.0,,22.6,506,16.7,,20.7,2024,4,24
063336B011,제주시 조천읍,2024-04-25,14.9,21.1,10.4,91.0,,0,3.7,0.0,,24.4,0,16.8,,20.6,2024,4,25
063336B011,제주시 조천읍,2024-04-26,15.9,21.3,12.7,95.9,,0,2.5,0.0,,10.8,237,16.3,,20.1,2024,4,26
063336B011,제주시 조천읍,2024-04-27,18.2,24.6,13.0,87.5,,0,3.4,0.0,,24.2,0,19.7,,19.9,2024,4,27
063336B011,제주시 조천읍,2024-04-28,18.2,26.0,9.8,85.9,,0,4.3,2.0,,17.0,216,18.8,,19.4,2024,4,28
063336B011,제주시 조천읍,2024-04-29,18.0,19.8,15.5,99.9,,0,4.9,21.5,,3.3,1433,17.6,,25.8,2024,4,29
063336B011,제주시 조천읍,2024-04-30,16.4,20.2,14.2,99.9,,0,3.9,1.0,,15.8,824,17.2,,24.1,2024,4,30
