no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,695923A001,제주시 한림읍,2014-12-01,7.5,12.9,2.7,48.5,238.5,3.2,16.3,0.0,23.0,2.9,211,6.9,,,2014,12,1
336,695923A001,제주시 한림읍,2014-12-02,3.7,6.6,1.2,63.1,217.6,1.7,14.1,8.0,126.0,5.8,1032,3.4,,,2014,12,2
337,695923A001,제주시 한림읍,2014-12-03,6.9,9.1,3.6,49.1,262.8,1.9,8.7,5.5,43.0,4.7,402,6.5,,,2014,12,3
338,695923A001,제주시 한림읍,2014-12-04,5.5,6.6,2.5,47.2,258.4,3.1,13.3,1.0,44.0,3.6,246,4.9,,,2014,12,4
339,695923A001,제주시 한림읍,2014-12-05,4.3,5.8,1.6,50.0,263.7,3.7,14.9,1.5,87.0,4.2,317,3.4,,,2014,12,5
340,695923A001,제주시 한림읍,2014-12-06,5.2,7.3,2.3,50.6,230.0,2.1,14.8,1.5,139.0,6.0,721,4.7,,,2014,12,6
341,695923A001,제주시 한림읍,2014-12-07,6.4,9.0,3.1,50.7,104.4,1.0,5.2,0.0,113.0,5.7,1038,6.8,,,2014,12,7
342,695923A001,제주시 한림읍,2014-12-08,8.2,11.1,5.4,52.2,172.0,1.8,9.0,6.0,176.0,6.6,245,7.9,,,2014,12,8
343,695923A001,제주시 한림읍,2014-12-09,5.1,8.4,1.8,50.7,112.0,1.5,8.0,0.0,425.0,11.2,0,6.1,,,2014,12,9
344,695923A001,제주시 한림읍,2014-12-10,8.4,13.9,0.8,63.9,150.6,0.9,6.2,0.0,103.0,5.5,215,8.2,,,2014,12,10
345,695923A001,제주시 한림읍,2014-12-11,7.4,9.3,5.0,52.9,169.2,1.5,8.9,2.0,63.0,4.5,390,7.3,,,2014,12,11
346,695923A001,제주시 한림읍,2014-12-12,5.9,7.4,4.5,42.3,236.8,2.2,11.5,0.0,74.0,4.8,88,5.9,,,2014,12,12
347,695923A001,제주시 한림읍,2014-12-13,5.2,7.4,2.7,43.3,247.7,2.5,12.1,0.5,134.0,5.9,165,5.4,,,2014,12,13
348,695923A001,제주시 한림읍,2014-12-14,5.6,8.1,2.2,43.8,195.8,1.4,9.0,0.0,187.0,6.9,10,6.2,,,2014,12,14
349,695923A001,제주시 한림읍,2014-12-15,7.1,12.7,0.6,59.9,112.6,1.0,6.1,2.5,127.0,4.6,440,6.9,,,2014,12,15
350,695923A001,제주시 한림읍,2014-12-16,5.2,10.9,0.3,52.7,253.2,3.7,17.6,2.5,81.0,5.1,312,4.5,,,2014,12,16
351,695923A001,제주시 한림읍,2014-12-17,2.1,4.2,-1.3,54.1,245.6,3.5,17.5,3.0,79.0,4.8,978,1.1,,,2014,12,17
352,695923A001,제주시 한림읍,2014-12-18,2.7,5.3,-0.3,47.7,153.4,2.2,11.7,0.0,325.0,9.1,881,3.1,,,2014,12,18
353,695923A001,제주시 한림읍,2014-12-19,5.4,10.3,0.0,56.5,111.2,0.8,4.9,2.0,3.0,2.7,1231,4.5,,,2014,12,19
354,695923A001,제주시 한림읍,2014-12-20,6.6,9.5,3.8,50.2,199.6,1.7,10.4,8.0,78.0,5.2,340,6.1,,,2014,12,20
355,695923A001,제주시 한림읍,2014-12-21,3.1,4.8,0.2,52.4,248.0,2.4,14.8,5.0,10.0,2.5,469,2.4,,,2014,12,21
356,695923A001,제주시 한림읍,2014-12-22,4.3,7.2,0.4,44.9,240.9,2.0,16.3,1.0,0.0,1.7,314,3.1,,,2014,12,22
357,695923A001,제주시 한림읍,2014-12-23,7.1,10.2,2.4,45.4,122.0,0.5,3.8,0.0,159.0,6.0,548,7.2,,,2014,12,23
358,695923A001,제주시 한림읍,2014-12-24,8.6,13.9,4.0,49.9,190.3,1.4,9.2,0.0,253.0,6.8,360,8.4,,,2014,12,24
359,695923A001,제주시 한림읍,2014-12-25,5.1,7.1,3.5,40.0,173.7,2.4,10.7,0.0,228.0,8.8,0,6.3,,,2014,12,25
360,695923A001,제주시 한림읍,2014-12-26,4.1,6.3,0.5,42.7,135.3,1.8,7.7,0.0,530.0,10.4,95,4.9,,,2014,12,26
361,695923A001,제주시 한림읍,2014-12-27,3.9,10.3,-1.6,56.3,137.5,0.7,4.6,0.0,377.0,9.8,843,4.4,,,2014,12,27
362,695923A001,제주시 한림읍,2014-12-28,5.4,8.3,-1.1,52.5,143.3,0.9,5.4,0.0,181.0,7.0,306,6.1,,,2014,12,28
363,695923A001,제주시 한림읍,2014-12-29,8.4,11.5,5.0,43.0,249.7,1.2,6.3,0.0,321.0,8.8,349,8.6,,,2014,12,29
364,695923A001,제주시 한림읍,2014-12-30,8.9,14.0,2.7,28.2,214.0,1.2,7.4,0.0,533.0,11.3,0,8.8,,,2014,12,30
365,695923A001,제주시 한림읍,2014-12-31,7.7,13.1,2.1,46.8,211.5,2.4,14.8,0.0,62.0,3.6,130,6.8,,,2014,12,31
