no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,390874A001,제천시 봉양읍,2016-06-01,20.7,27.0,15.1,51.1,90.5,1.6,6.8,0.0,602.0,23.6,0.0,21.8,24.1,10.1,2016,6,1
153,390874A001,제천시 봉양읍,2016-06-02,19.9,27.6,10.3,49.6,254.5,1.4,7.4,0.0,766.0,27.5,0.0,20.9,24.1,9.5,2016,6,2
154,390874A001,제천시 봉양읍,2016-06-03,20.4,27.1,12.5,60.0,260.0,1.6,7.4,0.0,709.0,25.1,0.0,21.1,24.4,9.0,2016,6,3
155,390874A001,제천시 봉양읍,2016-06-04,18.8,23.0,14.6,66.2,267.4,1.1,5.0,0.0,23.0,10.2,104.0,18.8,22.7,8.3,2016,6,4
156,390874A001,제천시 봉양읍,2016-06-05,21.5,29.6,12.9,56.8,119.4,1.4,7.8,0.0,646.0,24.2,0.0,22.6,23.3,7.9,2016,6,5
157,390874A001,제천시 봉양읍,2016-06-06,19.3,23.9,14.3,66.8,204.1,1.1,4.8,0.0,196.0,14.8,96.0,20.0,23.1,7.4,2016,6,6
158,390874A001,제천시 봉양읍,2016-06-07,21.0,25.7,17.8,73.2,269.4,1.1,6.5,0.0,246.0,15.0,0.0,21.6,23.1,7.1,2016,6,7
159,390874A001,제천시 봉양읍,2016-06-08,20.6,25.0,17.3,73.5,262.6,1.4,6.3,0.0,340.0,16.4,0.0,21.2,23.2,6.7,2016,6,8
160,390874A001,제천시 봉양읍,2016-06-09,22.4,28.9,14.9,68.4,272.6,1.2,5.6,0.0,645.0,23.3,0.0,23.4,24.2,6.4,2016,6,9
161,390874A001,제천시 봉양읍,2016-06-10,23.9,30.6,16.6,65.3,273.6,1.2,7.1,0.0,719.0,25.1,0.0,24.8,25.9,6.2,2016,6,10
162,390874A001,제천시 봉양읍,2016-06-11,23.0,28.5,19.6,77.5,272.4,1.4,6.2,0.5,284.0,15.4,314.0,23.7,25.6,5.9,2016,6,11
163,390874A001,제천시 봉양읍,2016-06-12,22.8,26.1,19.3,84.6,256.5,1.1,8.7,5.0,23.0,11.2,810.0,23.2,24.5,5.7,2016,6,12
164,390874A001,제천시 봉양읍,2016-06-13,23.2,28.9,19.0,74.4,256.6,1.5,5.3,0.0,621.0,24.6,549.0,23.9,24.6,5.6,2016,6,13
165,390874A001,제천시 봉양읍,2016-06-14,23.1,28.3,19.2,73.9,219.2,1.3,5.8,1.0,459.0,20.7,139.0,24.3,25.6,5.6,2016,6,14
166,390874A001,제천시 봉양읍,2016-06-15,20.4,25.4,18.9,87.5,94.2,0.9,4.6,1.0,121.0,10.8,1222.0,21.3,24.1,5.6,2016,6,15
167,390874A001,제천시 봉양읍,2016-06-16,20.5,24.1,18.1,80.3,265.1,2.1,6.4,0.0,203.0,13.3,605.0,21.0,22.4,5.5,2016,6,16
168,390874A001,제천시 봉양읍,2016-06-17,21.8,27.3,17.3,71.4,254.0,1.8,6.8,0.0,665.0,24.1,0.0,23.0,23.8,5.5,2016,6,17
169,390874A001,제천시 봉양읍,2016-06-18,23.9,30.1,16.4,67.9,257.8,1.2,6.3,0.0,710.0,24.8,0.0,25.2,26.1,5.6,2016,6,18
170,390874A001,제천시 봉양읍,2016-06-19,23.4,28.0,18.8,70.5,270.9,1.7,7.8,0.0,622.0,21.9,0.0,24.5,26.9,5.6,2016,6,19
171,390874A001,제천시 봉양읍,2016-06-20,23.0,29.5,16.7,70.5,267.7,1.1,4.8,0.0,440.0,19.8,0.0,24.1,26.3,5.6,2016,6,20
172,390874A001,제천시 봉양읍,2016-06-21,24.4,30.2,17.8,64.5,263.2,1.2,5.4,0.0,605.0,21.6,0.0,25.6,27.3,5.7,2016,6,21
173,390874A001,제천시 봉양읍,2016-06-22,24.2,30.9,20.0,69.8,126.1,1.6,7.6,0.0,421.0,18.3,257.0,25.6,27.8,5.7,2016,6,22
174,390874A001,제천시 봉양읍,2016-06-23,24.6,29.9,19.0,68.7,260.3,1.3,5.9,0.0,562.0,22.0,29.0,26.0,27.8,5.6,2016,6,23
175,390874A001,제천시 봉양읍,2016-06-24,21.1,23.7,19.3,88.7,266.2,1.7,6.7,16.5,38.0,8.6,1164.0,21.6,25.1,5.6,2016,6,24
176,390874A001,제천시 봉양읍,2016-06-25,20.6,25.1,17.2,70.9,269.5,2.7,9.2,0.0,238.0,12.8,0.0,20.9,22.1,5.5,2016,6,25
177,390874A001,제천시 봉양읍,2016-06-26,21.4,28.5,14.7,72.8,272.4,1.6,6.2,0.0,658.0,24.2,0.0,22.3,23.1,5.8,2016,6,26
178,390874A001,제천시 봉양읍,2016-06-27,21.6,27.0,15.4,73.2,265.4,0.9,3.8,0.0,306.0,16.3,0.0,22.3,24.2,6.1,2016,6,27
179,390874A001,제천시 봉양읍,2016-06-28,22.6,29.2,15.4,68.4,199.2,1.1,5.6,0.0,636.0,22.8,0.0,23.8,25.4,6.2,2016,6,28
180,390874A001,제천시 봉양읍,2016-06-29,22.5,28.6,17.4,68.3,189.1,1.2,4.8,0.0,444.0,18.8,0.0,23.5,26.0,6.2,2016,6,29
181,390874A001,제천시 봉양읍,2016-06-30,23.9,28.4,20.4,79.4,264.2,1.4,6.2,0.0,268.0,16.2,0.0,24.7,26.3,6.2,2016,6,30
