no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
91,539823A001,진도군 군내면,2011-04-01,8.1,19.2,-2.9,50.7,,,,0.0,10,38.3,10.0,,10.4,,2011,4,1
92,539823A001,진도군 군내면,2011-04-02,8.6,15.8,4.3,61.1,,,,0.0,10,38.8,0.0,,11.0,,2011,4,2
93,539823A001,진도군 군내면,2011-04-03,6.8,9.1,4.7,86.3,,,,4.0,0,16.8,10.0,,10.4,,2011,4,3
94,539823A001,진도군 군내면,2011-04-04,7.8,14.6,1.9,76.3,,,,0.5,10,39.2,10.0,,10.5,,2011,4,4
95,539823A001,진도군 군내면,2011-04-05,6.9,16.2,-1.2,66.2,,,,0.0,10,38.0,10.0,,10.7,,2011,4,5
96,539823A001,진도군 군내면,2011-04-06,10.2,19.4,-1.2,70.2,,,,2.0,10,39.7,10.0,,11.0,,2011,4,6
97,539823A001,진도군 군내면,2011-04-07,12.7,15.0,9.4,90.6,,,,28.0,0,18.4,10.0,,12.4,,2011,4,7
98,539823A001,진도군 군내면,2011-04-08,8.7,13.1,4.7,86.8,,,,1.0,10,38.7,10.0,,12.2,,2011,4,8
99,539823A001,진도군 군내면,2011-04-09,9.0,18.1,2.5,70.7,,,,0.0,10,39.0,10.0,,12.3,,2011,4,9
100,539823A001,진도군 군내면,2011-04-10,10.5,21.0,1.2,55.1,,,,0.0,10,38.4,10.0,,12.2,,2011,4,10
101,539823A001,진도군 군내면,2011-04-11,9.5,14.8,4.9,59.0,,,,2.0,10,39.3,10.0,,12.4,,2011,4,11
102,539823A001,진도군 군내면,2011-04-12,8.5,17.1,-0.6,57.0,,,,0.0,10,38.7,10.0,,12.0,,2011,4,12
103,539823A001,진도군 군내면,2011-04-13,9.2,18.7,1.0,55.5,,,,0.0,10,38.4,10.0,,12.6,,2011,4,13
104,539823A001,진도군 군내면,2011-04-14,11.0,20.7,-1.4,64.8,,,,0.0,10,39.8,10.0,,12.8,,2011,4,14
105,539823A001,진도군 군내면,2011-04-15,16.0,23.2,9.6,80.2,,,,0.0,10,40.0,10.0,,15.3,,2011,4,15
106,539823A001,진도군 군내면,2011-04-16,10.6,16.6,3.9,59.2,,,,0.0,10,37.0,10.0,,15.2,,2011,4,16
107,539823A001,진도군 군내면,2011-04-17,10.7,20.8,2.2,60.9,,,,0.0,10,38.9,10.0,,14.8,,2011,4,17
108,539823A001,진도군 군내면,2011-04-18,8.5,12.5,5.4,69.8,,,,1.5,10,39.9,10.0,,14.3,,2011,4,18
109,539823A001,진도군 군내면,2011-04-19,9.6,14.8,5.4,60.9,,,,0.0,10,38.7,10.0,,13.1,,2011,4,19
110,539823A001,진도군 군내면,2011-04-20,9.6,19.1,0.6,62.3,,,,0.0,10,38.8,10.0,,13.6,,2011,4,20
111,539823A001,진도군 군내면,2011-04-21,12.8,20.6,2.5,57.8,,,,0.0,10,38.5,10.0,,14.3,,2011,4,21
112,539823A001,진도군 군내면,2011-04-22,12.2,15.9,8.1,87.8,,,,35.5,0,18.7,10.0,,14.7,,2011,4,22
113,539823A001,진도군 군내면,2011-04-23,10.1,15.2,4.6,69.2,,,,0.0,10,36.6,10.0,,13.5,,2011,4,23
114,539823A001,진도군 군내면,2011-04-24,10.0,16.5,4.2,72.9,,,,0.0,10,38.8,10.0,,13.5,,2011,4,24
115,539823A001,진도군 군내면,2011-04-25,13.4,20.5,5.0,56.7,,,,0.0,10,37.7,10.0,,14.1,,2011,4,25
116,539823A001,진도군 군내면,2011-04-26,15.9,20.7,12.0,76.2,,,,7.5,10,39.5,10.0,,15.4,,2011,4,26
117,539823A001,진도군 군내면,2011-04-27,11.1,14.2,8.8,78.2,,,,0.0,10,39.1,10.0,,14.8,,2011,4,27
118,539823A001,진도군 군내면,2011-04-28,10.4,14.6,4.4,62.4,,,,0.0,10,39.5,10.0,,13.5,,2011,4,28
119,539823A001,진도군 군내면,2011-04-29,13.2,20.4,2.1,59.0,,,,0.0,10,36.8,10.0,,13.9,,2011,4,29
120,539823A001,진도군 군내면,2011-04-30,19.6,24.2,16.0,74.8,,,,14.0,10,39.5,10.0,,16.6,,2011,4,30
