no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,567801A002,진안군 진안읍,2020-10-01,17.1,23.2,11.1,81.5,183.8,1.6,5.9,0.0,577,15.3,0,,19.2,15.0,2020,10,1
275,567801A002,진안군 진안읍,2020-10-02,17.7,23.4,13.9,81.0,177.9,1.6,5.3,0.0,520,13.5,0,,19.8,14.3,2020,10,2
276,567801A002,진안군 진안읍,2020-10-03,17.6,23.5,13.5,86.7,223.2,1.0,3.7,1.5,206,10.0,885,,20.0,13.9,2020,10,3
277,567801A002,진안군 진안읍,2020-10-04,16.3,18.1,11.6,87.3,206.0,1.8,5.9,1.0,0,2.9,1159,,19.7,14.0,2020,10,4
278,567801A002,진안군 진안읍,2020-10-05,11.4,17.5,0.0,69.5,273.0,1.6,6.6,0.0,579,15.6,0,,17.5,13.8,2020,10,5
279,567801A002,진안군 진안읍,2020-10-06,11.1,19.0,4.3,74.8,16.9,1.1,4.2,0.0,294,16.6,0,,16.6,13.2,2020,10,6
280,567801A002,진안군 진안읍,2020-10-07,13.4,20.6,6.9,69.4,335.9,1.8,5.1,0.0,401,15.0,0,,16.8,12.6,2020,10,7
281,567801A002,진안군 진안읍,2020-10-08,14.8,21.0,7.5,66.7,16.4,2.5,6.1,0.0,567,16.2,0,,17.2,12.0,2020,10,8
282,567801A002,진안군 진안읍,2020-10-09,14.2,21.3,6.9,66.9,22.4,2.3,6.2,0.0,561,16.0,0,,16.9,11.5,2020,10,9
283,567801A002,진안군 진안읍,2020-10-10,13.9,21.9,6.9,77.3,332.5,1.4,4.4,0.0,531,14.5,0,,16.8,11.1,2020,10,10
284,567801A002,진안군 진안읍,2020-10-11,14.0,21.3,7.7,83.0,139.2,1.1,3.7,0.0,288,10.1,0,,17.1,10.8,2020,10,11
285,567801A002,진안군 진안읍,2020-10-12,14.8,20.6,9.5,81.9,220.7,1.5,5.2,0.0,376,11.0,99,,17.5,10.6,2020,10,12
286,567801A002,진안군 진안읍,2020-10-13,9.8,17.4,4.8,75.5,251.2,1.2,4.5,0.0,323,11.5,0,,16.4,10.3,2020,10,13
287,567801A002,진안군 진안읍,2020-10-14,9.7,16.7,4.1,81.6,239.1,1.2,4.1,0.0,64,5.5,0,,15.2,10.1,2020,10,14
288,567801A002,진안군 진안읍,2020-10-15,9.8,18.8,2.1,63.5,342.0,1.4,4.8,0.0,554,15.3,0,,14.7,9.9,2020,10,15
289,567801A002,진안군 진안읍,2020-10-16,8.6,14.9,2.1,78.6,346.2,0.8,2.9,0.0,0,4.6,0,,14.3,9.7,2020,10,16
290,567801A002,진안군 진안읍,2020-10-17,9.3,17.9,3.0,83.2,349.1,1.1,4.7,0.0,462,11.5,0,,14.2,9.7,2020,10,17
291,567801A002,진안군 진안읍,2020-10-18,9.0,18.4,3.6,75.9,9.0,1.4,4.7,0.0,519,14.5,0,,14.3,9.7,2020,10,18
292,567801A002,진안군 진안읍,2020-10-19,9.5,20.2,1.8,77.7,339.6,1.1,4.0,0.0,509,13.9,0,,14.0,9.5,2020,10,19
293,567801A002,진안군 진안읍,2020-10-20,10.0,21.6,1.6,74.2,257.5,1.1,3.8,0.0,517,14.5,0,,14.0,9.4,2020,10,20
294,567801A002,진안군 진안읍,2020-10-21,10.5,16.0,5.1,86.8,116.5,0.7,2.8,4.0,3,3.7,332,,14.1,9.4,2020,10,21
295,567801A002,진안군 진안읍,2020-10-22,11.1,16.6,5.1,84.5,243.4,1.5,5.1,0.0,127,6.7,822,,14.8,10.1,2020,10,22
296,567801A002,진안군 진안읍,2020-10-23,7.4,13.0,3.0,68.3,224.8,2.2,7.7,0.0,572,14.2,0,,13.3,10.3,2020,10,23
297,567801A002,진안군 진안읍,2020-10-24,6.8,13.1,2.0,64.8,200.4,2.3,6.2,0.0,596,14.3,0,,12.2,10.1,2020,10,24
298,567801A002,진안군 진안읍,2020-10-25,8.4,17.4,1.2,78.8,198.2,1.3,4.5,0.0,538,13.0,0,,12.2,10.0,2020,10,25
299,567801A002,진안군 진안읍,2020-10-26,8.6,19.3,1.1,79.0,330.7,1.1,5.4,0.0,579,13.2,40,,12.7,9.9,2020,10,26
300,567801A002,진안군 진안읍,2020-10-27,9.5,21.2,1.4,77.0,307.1,1.2,4.7,0.0,546,12.2,0,,12.6,9.8,2020,10,27
301,567801A002,진안군 진안읍,2020-10-28,11.1,18.7,3.7,78.7,216.7,1.3,4.9,0.0,389,10.0,0,,13.7,9.8,2020,10,28
302,567801A002,진안군 진안읍,2020-10-29,6.8,17.6,-1.3,63.6,255.9,1.2,4.5,0.0,578,13.5,0,,12.4,9.5,2020,10,29
303,567801A002,진안군 진안읍,2020-10-30,7.4,17.7,-1.2,69.0,350.0,1.2,4.6,0.0,578,12.9,0,,11.8,9.4,2020,10,30
304,567801A002,진안군 진안읍,2020-10-31,8.4,17.5,0.8,74.7,163.7,1.0,4.3,0.0,557,11.6,0,,12.0,9.4,2020,10,31
