no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,660985B001,진주시 초전동,2019-08-01,28.8,33.1,24.1,87.4,201.7,1.1,6.0,0.0,,17.7,0,27.8,26.9,21.5,2019,8,1
214,660985B001,진주시 초전동,2019-08-02,29.3,35.3,24.0,87.0,200.5,0.3,5.2,0.0,,19.2,0,28.3,27.1,20.3,2019,8,2
215,660985B001,진주시 초전동,2019-08-03,29.0,34.0,24.5,86.5,130.6,0.7,6.2,0.0,,18.5,0,27.8,27.3,19.1,2019,8,3
216,660985B001,진주시 초전동,2019-08-04,29.1,34.7,23.8,85.0,83.0,0.9,4.8,0.0,,16.6,0,27.9,27.2,18.1,2019,8,4
217,660985B001,진주시 초전동,2019-08-05,29.2,35.3,23.7,85.8,90.3,1.1,5.4,0.0,,18.6,26,28.2,27.3,17.4,2019,8,5
218,660985B001,진주시 초전동,2019-08-06,26.3,29.0,23.9,92.9,342.6,2.3,8.0,4.0,,8.5,414,25.5,26.7,16.8,2019,8,6
219,660985B001,진주시 초전동,2019-08-07,28.0,33.3,24.0,89.0,183.0,1.6,7.4,0.0,,19.3,654,27.0,26.4,16.8,2019,8,7
220,660985B001,진주시 초전동,2019-08-08,28.6,33.6,24.1,86.1,199.4,0.9,7.1,0.0,,17.9,0,27.7,26.8,16.7,2019,8,8
221,660985B001,진주시 초전동,2019-08-09,28.8,33.7,23.6,86.5,31.0,0.1,3.8,0.0,,15.5,0,29.5,28.7,16.8,2019,8,9
222,660985B001,진주시 초전동,2019-08-10,28.0,32.5,23.9,87.6,102.2,0.6,6.2,0.0,,14.4,0,28.8,29.1,16.9,2019,8,10
223,660985B001,진주시 초전동,2019-08-11,28.2,31.8,24.8,85.9,109.9,2.1,7.9,0.0,,17.5,0,29.0,29.2,17.0,2019,8,11
224,660985B001,진주시 초전동,2019-08-12,28.4,30.8,24.7,89.9,162.6,2.0,7.5,0.0,,7.3,0,28.1,28.4,16.9,2019,8,12
225,660985B001,진주시 초전동,2019-08-13,28.8,34.8,24.4,88.6,34.9,0.9,7.8,0.0,,13.7,0,30.0,29.6,16.9,2019,8,13
226,660985B001,진주시 초전동,2019-08-14,29.1,33.3,25.5,84.0,2.8,3.4,10.5,0.5,,15.2,87,30.1,29.6,16.8,2019,8,14
227,660985B001,진주시 초전동,2019-08-15,28.5,32.1,25.6,86.5,333.6,2.7,10.7,0.0,,10.0,260,28.5,28.6,16.7,2019,8,15
228,660985B001,진주시 초전동,2019-08-16,28.2,32.5,23.6,82.7,208.2,1.0,6.1,0.0,,15.3,0,28.8,29.3,16.7,2019,8,16
229,660985B001,진주시 초전동,2019-08-17,26.5,31.6,20.4,84.8,188.7,1.9,8.4,0.0,,19.5,22,27.8,29.2,16.7,2019,8,17
230,660985B001,진주시 초전동,2019-08-18,27.6,32.5,21.8,80.4,197.1,0.9,6.7,0.0,,19.1,0,28.8,30.0,16.6,2019,8,18
231,660985B001,진주시 초전동,2019-08-19,25.8,31.5,20.2,86.4,108.2,0.5,5.0,0.0,,14.0,0,26.9,29.0,16.5,2019,8,19
232,660985B001,진주시 초전동,2019-08-20,26.6,30.4,22.5,86.6,78.4,1.3,6.7,0.0,,11.9,0,27.4,28.9,16.4,2019,8,20
233,660985B001,진주시 초전동,2019-08-21,25.6,28.2,24.2,93.2,1.3,0.3,6.8,15.0,,6.3,549,26.1,27.8,16.6,2019,8,21
234,660985B001,진주시 초전동,2019-08-22,26.7,30.8,24.3,96.1,190.0,0.9,7.5,29.5,,8.4,902,26.6,27.4,31.5,2019,8,22
235,660985B001,진주시 초전동,2019-08-23,24.9,29.1,21.0,91.2,208.1,0.2,4.5,0.0,,11.1,0,24.9,26.9,31.5,2019,8,23
236,660985B001,진주시 초전동,2019-08-24,23.3,29.3,18.2,84.6,289.7,0.3,4.6,0.0,,13.8,179,23.7,26.0,29.6,2019,8,24
237,660985B001,진주시 초전동,2019-08-25,22.2,26.0,19.2,92.9,214.6,0.3,4.8,0.0,,7.8,218,22.0,24.8,28.0,2019,8,25
238,660985B001,진주시 초전동,2019-08-26,23.8,29.7,18.8,88.0,188.0,0.7,20.2,0.0,,16.3,0,24.2,25.3,26.8,2019,8,26
239,660985B001,진주시 초전동,2019-08-27,22.7,24.2,21.6,99.6,299.2,0.0,3.4,21.0,,3.0,1260,22.6,24.7,31.5,2019,8,27
240,660985B001,진주시 초전동,2019-08-28,24.0,27.6,22.1,96.5,202.5,0.1,4.5,0.5,,7.2,1218,23.8,25.0,33.5,2019,8,28
241,660985B001,진주시 초전동,2019-08-29,22.7,24.3,19.9,97.8,189.6,0.6,5.8,0.5,,3.7,745,22.1,24.2,32.4,2019,8,29
242,660985B001,진주시 초전동,2019-08-30,22.7,29.7,18.1,84.9,311.5,0.6,5.2,0.0,,17.8,0,22.6,24.2,31.2,2019,8,30
243,660985B001,진주시 초전동,2019-08-31,22.4,30.1,15.9,84.3,219.7,0.4,4.4,0.0,,18.9,21,22.0,24.1,29.4,2019,8,31
