no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
91,365803A001,진천군 진천읍,2013-04-01,8.2,18.3,-1.6,48.7,,0.0,0.0,0.0,418.0,15.0,,,,,2013,4,1
92,365803A001,진천군 진천읍,2013-04-02,6.7,8.5,5.4,77.7,,0.0,0.0,0.5,2.0,4.0,,,,,2013,4,2
93,365803A001,진천군 진천읍,2013-04-03,9.2,16.9,1.6,54.9,,0.0,0.0,0.0,633.0,20.6,,,,,2013,4,3
94,365803A001,진천군 진천읍,2013-04-04,10.7,22.7,1.6,49.2,,0.0,0.0,0.0,615.0,19.0,,,,,2013,4,4
95,365803A001,진천군 진천읍,2013-04-05,14.0,23.5,4.2,44.7,,0.0,0.0,0.0,515.0,17.3,,,,,2013,4,5
96,365803A001,진천군 진천읍,2013-04-06,8.3,13.1,3.2,78.0,,0.0,0.0,15.5,0.0,2.7,,,,,2013,4,6
97,365803A001,진천군 진천읍,2013-04-07,4.4,9.0,-0.4,64.9,,0.0,0.0,1.0,369.0,15.4,,,,,2013,4,7
98,365803A001,진천군 진천읍,2013-04-08,7.0,16.9,-2.2,52.0,,0.0,0.0,0.0,530.0,18.7,,,,,2013,4,8
99,365803A001,진천군 진천읍,2013-04-09,7.7,13.0,3.1,40.8,,0.0,0.0,0.0,486.0,17.6,,,,,2013,4,9
100,365803A001,진천군 진천읍,2013-04-10,5.4,10.8,-0.6,47.3,,0.0,0.0,0.0,492.0,16.9,,,,,2013,4,10
101,365803A001,진천군 진천읍,2013-04-11,5.6,11.9,1.0,49.9,,0.0,0.0,0.5,399.0,12.2,,,,,2013,4,11
102,365803A001,진천군 진천읍,2013-04-12,6.6,13.4,0.6,46.1,,0.0,0.0,0.0,608.0,20.7,,,,,2013,4,12
103,365803A001,진천군 진천읍,2013-04-13,11.0,20.7,-1.3,38.5,,0.0,0.0,0.0,632.0,20.8,,,,,2013,4,13
104,365803A001,진천군 진천읍,2013-04-14,9.8,15.7,3.4,52.2,,0.0,0.0,5.0,437.0,16.9,,,,,2013,4,14
105,365803A001,진천군 진천읍,2013-04-15,4.9,9.0,-1.1,50.4,,0.0,0.0,0.0,194.0,6.6,,,,,2013,4,15
106,365803A001,진천군 진천읍,2013-04-16,15.0,26.5,2.7,53.0,,0.0,0.0,0.0,561.0,17.0,,,,,2013,4,16
107,365803A001,진천군 진천읍,2013-04-17,12.7,16.9,10.2,76.8,,0.0,0.0,0.5,89.0,7.0,,,,,2013,4,17
108,365803A001,진천군 진천읍,2013-04-18,11.9,16.8,5.6,51.9,,0.0,0.0,0.0,260.0,12.5,,,,,2013,4,18
109,365803A001,진천군 진천읍,2013-04-19,9.3,16.7,1.3,41.9,,0.0,0.0,0.0,616.0,21.8,,,,,2013,4,19
110,365803A001,진천군 진천읍,2013-04-20,5.2,9.5,2.4,77.4,,0.0,0.0,12.5,0.0,3.9,,,,,2013,4,20
111,365803A001,진천군 진천읍,2013-04-21,8.5,15.6,1.4,60.9,,0.0,0.0,0.0,598.0,22.0,,,,,2013,4,21
112,365803A001,진천군 진천읍,2013-04-22,10.6,19.6,1.1,48.0,,0.0,0.0,0.0,629.0,22.6,,,,,2013,4,22
113,365803A001,진천군 진천읍,2013-04-23,9.9,12.0,7.9,72.4,,0.0,0.0,8.5,0.0,4.4,,,,,2013,4,23
114,365803A001,진천군 진천읍,2013-04-24,12.8,18.7,6.7,70.6,,0.0,0.0,2.0,592.0,22.2,,,,,2013,4,24
115,365803A001,진천군 진천읍,2013-04-25,8.9,14.2,6.2,80.4,,0.0,0.0,4.0,93.0,7.8,,,,,2013,4,25
116,365803A001,진천군 진천읍,2013-04-26,11.3,18.1,4.9,55.1,,0.0,0.0,0.0,587.0,21.4,,,,,2013,4,26
117,365803A001,진천군 진천읍,2013-04-27,10.4,18.8,3.5,59.8,,0.0,0.0,0.0,466.0,17.5,,,,,2013,4,27
118,365803A001,진천군 진천읍,2013-04-28,14.5,23.8,4.7,60.6,,0.0,0.0,0.0,364.0,17.2,,,,,2013,4,28
119,365803A001,진천군 진천읍,2013-04-29,16.4,17.2,15.4,62.6,,0.0,0.0,2.0,0.0,0.0,,,,,2013,4,29
120,365803A001,진천군 진천읍,2013-04-30,11.8,18.3,6.1,43.3,89.2,1.1,4.5,0.0,81.0,0.9,,10.8,,,2013,4,30
