stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
330846A001,천안시 목천읍,2024-04-01,10.8,19.9,1.8,43.3,167.1,0.4,4.7,0.0,,,,11.4,1.4,17.7,2024,4,1
330846A001,천안시 목천읍,2024-04-02,13.6,24.6,3.0,47.0,142.7,0.3,4.0,0.0,,,,14.4,3.2,16.8,2024,4,2
330846A001,천안시 목천읍,2024-04-03,13.9,15.4,12.6,89.6,114.6,0.3,3.1,5.5,,,,14.3,12.4,17.4,2024,4,3
330846A001,천안시 목천읍,2024-04-04,13.8,16.2,12.0,76.7,101.9,0.8,4.7,0.0,,,,14.4,10.8,18.3,2024,4,4
330846A001,천안시 목천읍,2024-04-05,12.9,18.0,8.6,58.3,121.5,0.7,4.6,0.0,,,,13.8,6.6,17.5,2024,4,5
330846A001,천안시 목천읍,2024-04-06,11.1,18.2,5.1,59.1,174.9,0.2,3.9,0.0,,,,11.8,4.2,16.7,2024,4,6
330846A001,천안시 목천읍,2024-04-07,13.6,22.8,4.4,42.2,209.5,0.4,4.2,0.0,,,,14.5,5.2,15.9,2024,4,7
330846A001,천안시 목천읍,2024-04-08,14.2,21.0,6.7,42.7,231.6,0.4,4.4,0.0,,,,14.7,5.7,15.0,2024,4,8
330846A001,천안시 목천읍,2024-04-09,14.0,20.4,7.6,51.5,115.7,0.7,5.9,0.0,,,,14.9,8.2,14.2,2024,4,9
330846A001,천안시 목천읍,2024-04-10,13.3,19.2,8.5,58.7,126.7,0.5,3.8,0.0,,,,14.4,7.9,13.4,2024,4,10
330846A001,천안시 목천읍,2024-04-11,14.7,21.6,9.9,65.5,131.3,0.3,3.2,0.0,,,,15.6,9.4,12.8,2024,4,11
330846A001,천안시 목천읍,2024-04-12,15.8,24.3,8.4,64.8,164.2,0.4,4.2,0.0,,,,16.9,11.5,12.1,2024,4,12
330846A001,천안시 목천읍,2024-04-13,17.3,27.4,9.3,59.5,134.6,0.4,3.5,0.0,,,,18.6,14.3,11.4,2024,4,13
330846A001,천안시 목천읍,2024-04-14,18.0,27.2,8.5,51.6,133.4,0.4,4.9,0.0,,,,19.2,13.0,10.7,2024,4,14
330846A001,천안시 목천읍,2024-04-15,15.6,19.0,11.9,81.8,102.4,0.6,5.7,19.5,,,,15.7,12.0,15.6,2024,4,15
330846A001,천안시 목천읍,2024-04-16,14.2,20.0,9.8,74.1,150.6,0.5,5.7,0.0,,,,15.3,0.6,18.4,2024,4,16
330846A001,천안시 목천읍,2024-04-17,13.7,21.4,7.4,66.7,196.0,0.4,8.3,0.0,,,,14.9,-3.6,17.1,2024,4,17
330846A001,천안시 목천읍,2024-04-18,15.6,24.5,6.9,52.9,164.0,0.4,4.6,0.0,,,,16.7,-9.9,15.8,2024,4,18
330846A001,천안시 목천읍,2024-04-19,16.1,24.9,6.9,49.8,137.9,0.4,4.2,0.0,,,,17.3,-11.4,14.5,2024,4,19
330846A001,천안시 목천읍,2024-04-20,13.1,14.7,12.4,87.6,120.7,0.5,6.4,14.5,,,,13.3,3.9,14.6,2024,4,20
330846A001,천안시 목천읍,2024-04-21,15.5,18.2,12.9,79.6,109.1,0.5,5.6,0.0,,,,16.0,2.1,18.7,2024,4,21
330846A001,천안시 목천읍,2024-04-22,17.0,22.8,12.4,60.8,112.5,0.6,5.0,0.0,,,,18.2,-5.9,17.8,2024,4,22
330846A001,천안시 목천읍,2024-04-23,15.2,21.8,8.5,63.8,103.0,0.7,5.6,0.5,,,,16.2,-5.4,16.6,2024,4,23
330846A001,천안시 목천읍,2024-04-24,13.4,18.4,10.6,77.1,128.5,0.5,4.0,6.0,,,,14.4,2.4,16.5,2024,4,24
330846A001,천안시 목천읍,2024-04-25,14.1,21.7,9.8,72.3,160.1,0.3,3.9,0.0,,,,15.4,-5.1,16.7,2024,4,25
330846A001,천안시 목천읍,2024-04-26,16.6,25.6,8.5,66.0,132.4,0.3,3.8,0.0,,,,17.8,-1.8,15.7,2024,4,26
330846A001,천안시 목천읍,2024-04-27,16.7,24.8,8.6,57.6,188.9,0.4,3.8,0.0,,,,17.9,-5.0,14.5,2024,4,27
330846A001,천안시 목천읍,2024-04-28,17.6,27.3,7.2,56.7,131.3,0.3,3.4,0.0,,,,19.0,-7.2,13.2,2024,4,28
330846A001,천안시 목천읍,2024-04-29,16.8,19.3,14.9,73.6,100.5,0.4,4.7,0.5,,,,17.3,-0.6,12.3,2024,4,29
330846A001,천안시 목천읍,2024-04-30,16.0,20.7,12.2,78.6,182.7,0.2,5.1,0.5,,,,16.9,2.0,12.1,2024,4,30
