stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
330846A001,천안시 목천읍,2024-01-01,1.9,6.7,-2.1,90.1,120.0,0.1,3.2,0.0,,,,2.0,0.8,20.0
330846A001,천안시 목천읍,2024-01-02,2.8,4.7,0.1,84.9,274.1,0.1,2.3,0.0,,,,2.7,0.8,19.5
330846A001,천안시 목천읍,2024-01-03,1.1,4.5,-1.8,88.8,96.0,0.1,3.6,2.0,,,,1.1,0.6,19.2
330846A001,천안시 목천읍,2024-01-04,-0.2,5.0,-5.1,82.3,122.2,0.1,2.4,0.0,,,,-0.1,0.1,19.2
330846A001,천안시 목천읍,2024-01-05,3.5,9.8,-1.2,85.0,129.5,0.1,4.1,0.0,,,,3.3,1.1,19.2
330846A001,천안시 목천읍,2024-01-06,0.8,4.7,-2.0,69.4,202.7,0.2,3.7,0.0,,,,0.7,-0.9,18.7
330846A001,천안시 목천읍,2024-01-07,-2.6,0.0,-6.2,61.4,143.5,0.6,6.3,0.5,,,,-2.8,-1.5,18.3
330846A001,천안시 목천읍,2024-01-08,-5.3,0.4,-10.7,57.9,183.5,0.2,3.5,0.0,,,,-5.2,-3.2,16.3
330846A001,천안시 목천읍,2024-01-09,-1.1,0.8,-5.5,79.2,281.8,0.1,3.1,1.0,,,,-1.2,-0.8,15.0
330846A001,천안시 목천읍,2024-01-10,-0.8,0.7,-2.5,88.0,273.4,0.1,2.4,3.0,,,,-0.7,-0.4,16.2
330846A001,천안시 목천읍,2024-01-11,-0.6,2.6,-3.6,86.9,117.3,0.1,2.0,0.0,,,,-0.5,-0.2,17.3
330846A001,천안시 목천읍,2024-01-12,1.4,6.0,-3.5,69.9,167.5,0.2,4.6,0.0,,,,1.3,0.2,18.5
330846A001,천안시 목천읍,2024-01-13,-1.1,5.2,-5.8,64.9,168.6,0.1,4.8,0.0,,,,-1.1,-1.2,17.5
330846A001,천안시 목천읍,2024-01-14,-0.6,5.4,-6.0,84.0,148.9,0.3,5.1,5.0,,,,-0.7,-0.8,18.5
330846A001,천안시 목천읍,2024-01-15,-2.9,0.6,-6.0,55.3,191.4,0.3,4.0,0.0,,,,-2.9,-2.5,18.9
330846A001,천안시 목천읍,2024-01-16,-3.1,3.0,-8.4,58.7,133.7,0.1,2.4,0.0,,,,-3.1,-5.3,14.9
330846A001,천안시 목천읍,2024-01-17,-0.3,2.0,-4.7,87.9,97.1,0.1,2.0,9.5,,,,-0.4,0.1,17.2
330846A001,천안시 목천읍,2024-01-18,3.6,6.3,1.9,94.1,167.3,0.2,3.4,6.5,,,,3.4,2.2,23.8
330846A001,천안시 목천읍,2024-01-19,5.7,8.1,4.3,69.3,106.1,1.0,5.6,0.0,,,,5.6,2.0,22.2
330846A001,천안시 목천읍,2024-01-20,3.7,5.4,2.1,80.1,111.3,0.5,5.3,5.5,,,,3.6,1.6,21.3
330846A001,천안시 목천읍,2024-01-21,2.2,5.9,-0.9,84.7,130.3,0.4,5.5,1.0,,,,2.4,1.6,21.0
330846A001,천안시 목천읍,2024-01-22,-6.4,-0.9,-11.4,81.7,181.1,0.7,5.5,0.0,,,,-6.4,-1.7,19.9
330846A001,천안시 목천읍,2024-01-23,-11.0,-7.8,-13.1,84.5,119.4,0.2,3.1,0.0,,,,-11.1,-1.5,19.2
330846A001,천안시 목천읍,2024-01-24,-8.1,-4.7,-13.6,65.1,146.1,0.6,6.3,0.0,,,,-8.5,-1.3,19.4
330846A001,천안시 목천읍,2024-01-25,-6.9,-1.0,-12.7,64.6,156.2,0.2,4.8,3.0,,,,-7.6,-2.9,19.2
330846A001,천안시 목천읍,2024-01-26,-4.2,2.3,-9.8,79.5,124.2,0.1,2.8,3.5,,,,-4.5,-0.9,19.0
330846A001,천안시 목천읍,2024-01-27,-2.2,3.3,-8.1,74.7,186.7,0.2,3.4,2.0,,,,-2.7,-1.0,18.9
330846A001,천안시 목천읍,2024-01-28,-1.4,2.9,-6.0,72.2,150.4,0.2,4.0,0.5,,,,-1.7,-0.9,18.7
330846A001,천안시 목천읍,2024-01-29,-2.0,3.7,-7.3,74.3,194.1,0.2,3.5,0.0,,,,-2.2,-1.0,18.3
330846A001,천안시 목천읍,2024-01-30,-0.9,7.1,-7.3,68.5,110.4,0.2,2.7,0.0,,,,-1.1,-1.0,17.7
330846A001,천안시 목천읍,2024-01-31,3.6,10.6,-2.1,57.8,246.4,0.2,3.2,0.0,,,,3.4,0.7,18.1
330846A001,천안시 목천읍,2024-02-01,2.2,5.2,0.4,73.8,257.1,0.3,4.8,0.0,,,,2.1,-0.4,19.6
330846A001,천안시 목천읍,2024-02-02,1.5,6.4,-2.1,76.3,234.5,0.2,3.2,0.0,,,,1.5,-0.4,20.5
330846A001,천안시 목천읍,2024-02-03,2.5,8.1,-3.1,83.0,103.6,0.2,3.7,1.0,,,,2.5,-0.1,20.1
330846A001,천안시 목천읍,2024-02-04,4.9,9.1,-0.5,81.3,104.1,0.6,5.0,1.0,,,,5.3,,20.0
330846A001,천안시 목천읍,2024-02-05,3.1,4.8,0.5,89.7,133.2,0.5,5.4,10.0,,,,3.2,,20.9
330846A001,천안시 목천읍,2024-02-06,1.4,3.8,0.2,88.0,150.7,0.2,3.0,0.5,,,,1.7,,20.4
330846A001,천안시 목천읍,2024-02-07,0.3,2.2,-2.4,75.3,271.0,0.2,3.0,0.0,,,,0.3,,19.8
330846A001,천안시 목천읍,2024-02-08,-0.6,4.6,-5.0,76.3,161.6,0.2,3.2,0.0,,,,-0.3,,19.0
330846A001,천안시 목천읍,2024-02-09,-0.1,5.6,-5.3,70.6,144.7,0.3,4.6,0.0,,,,0.1,-24.6,18.6
330846A001,천안시 목천읍,2024-02-10,0.1,6.5,-4.6,74.2,140.7,0.2,4.2,0.0,,,,0.1,-17.3,18.2
330846A001,천안시 목천읍,2024-02-11,-0.4,5.3,-5.6,76.9,154.4,0.3,5.4,0.5,,,,-0.1,-15.7,17.8
330846A001,천안시 목천읍,2024-02-12,1.9,9.9,-4.6,70.5,121.0,0.2,2.9,0.0,,,,2.0,-3.9,18.1
330846A001,천안시 목천읍,2024-02-13,6.2,15.0,-2.7,70.4,132.0,0.4,5.8,0.0,,,,6.4,-33.7,18.1
330846A001,천안시 목천읍,2024-02-14,11.5,18.2,6.5,75.3,147.1,0.4,5.5,0.0,,,,11.7,6.3,18.1
330846A001,천안시 목천읍,2024-02-15,4.8,11.1,-0.4,91.4,131.4,0.6,5.8,6.0,,,,4.6,5.9,18.7
330846A001,천안시 목천읍,2024-02-16,1.5,8.1,-3.5,75.0,129.1,0.3,3.8,0.5,,,,1.8,-2.4,19.6
330846A001,천안시 목천읍,2024-02-17,3.5,12.3,-3.6,76.0,142.4,0.3,4.9,0.0,,,,3.7,-4.7,19.0
330846A001,천안시 목천읍,2024-02-18,4.4,10.2,-2.0,88.4,97.9,0.4,3.4,20.5,,,,4.4,1.1,19.4
330846A001,천안시 목천읍,2024-02-19,9.5,12.7,4.0,99.2,124.8,0.3,4.8,11.0,,,,9.4,7.1,21.5
330846A001,천안시 목천읍,2024-02-20,4.4,6.6,2.6,92.9,107.5,0.7,5.5,7.5,,,,4.6,5.7,20.6
330846A001,천안시 목천읍,2024-02-21,3.6,4.7,1.4,94.2,107.3,1.5,7.8,25.0,,,,3.6,5.1,21.8
330846A001,천안시 목천읍,2024-02-22,0.7,2.1,-0.1,93.1,135.8,0.4,5.2,7.0,,,,0.9,3.2,21.3
330846A001,천안시 목천읍,2024-02-23,2.2,5.4,-0.1,73.9,122.0,0.7,6.1,1.0,,,,2.6,2.3,20.5
330846A001,천안시 목천읍,2024-02-24,2.1,6.0,-1.0,70.1,104.2,1.2,7.9,1.5,,,,2.3,0.0,19.6
330846A001,천안시 목천읍,2024-02-25,1.8,4.2,-0.1,93.9,146.3,0.2,3.0,3.0,,,,2.0,2.0,20.2
330846A001,천안시 목천읍,2024-02-26,2.4,8.6,-1.8,79.2,111.5,0.3,3.9,0.0,,,,2.7,-3.0,19.8
330846A001,천안시 목천읍,2024-02-27,3.5,9.2,-1.6,64.0,108.1,0.7,5.7,0.0,,,,3.8,-9.3,19.2
330846A001,천안시 목천읍,2024-02-28,4.8,9.9,0.3,63.8,112.0,0.3,3.2,0.0,,,,5.1,-16.8,18.7
330846A001,천안시 목천읍,2024-03-01,-2.7,1.5,-5.7,40.1,162.4,1.3,8.8,0.0,,,,-2.5,-21.7,17.5
330846A001,천안시 목천읍,2024-03-02,-1.9,4.4,-9.5,56.7,143.5,0.6,5.5,0.0,,,,-1.5,-14.7,16.3
330846A001,천안시 목천읍,2024-03-03,4.8,10.8,0.3,71.3,139.1,0.5,6.7,0.0,,,,4.9,-1.9,16.9
330846A001,천안시 목천읍,2024-03-04,5.3,11.0,-0.5,71.5,126.7,0.2,3.3,0.0,,,,5.5,-4.3,16.9
330846A001,천안시 목천읍,2024-03-05,6.6,7.8,4.8,74.8,111.2,0.4,4.2,1.5,,,,6.5,0.2,16.9
330846A001,천안시 목천읍,2024-03-06,5.6,11.1,-0.2,69.3,233.0,0.3,5.2,0.0,,,,6.0,-2.3,17.1
330846A001,천안시 목천읍,2024-03-07,4.1,8.6,-0.5,60.2,147.1,0.5,6.0,0.0,,,,4.4,-8.3,16.6
330846A001,천안시 목천읍,2024-03-08,2.5,6.9,-0.4,52.8,142.7,0.9,7.5,0.0,,,,2.8,-12.3,16.2
330846A001,천안시 목천읍,2024-03-09,0.9,6.6,-4.7,49.3,175.3,0.4,5.6,0.0,,,,1.2,-14.7,15.7
330846A001,천안시 목천읍,2024-03-10,2.6,10.7,-5.1,53.2,188.9,0.3,4.5,0.0,,,,3.0,-13.6,15.2
330846A001,천안시 목천읍,2024-03-11,4.7,11.4,-2.0,62.6,132.6,0.3,3.4,0.0,,,,4.9,-12.1,15.2
330846A001,천안시 목천읍,2024-03-12,4.9,8.2,1.8,84.7,147.2,0.2,3.4,0.5,,,,4.8,-2.7,15.0
330846A001,천안시 목천읍,2024-03-13,5.5,12.7,-1.4,58.2,151.6,0.5,5.6,0.0,,,,5.7,-2.8,15.1
330846A001,천안시 목천읍,2024-03-14,6.3,15.3,-1.7,62.3,141.6,0.4,3.8,0.0,,,,6.8,-7.6,14.8
330846A001,천안시 목천읍,2024-03-15,7.5,16.8,-1.4,60.3,134.3,0.4,5.3,0.0,,,,7.9,-6.4,14.5
330846A001,천안시 목천읍,2024-03-16,9.7,18.5,0.1,56.7,147.2,0.3,4.6,0.0,,,,10.2,-3.1,14.1
330846A001,천안시 목천읍,2024-03-17,8.1,11.3,3.0,54.1,144.2,0.7,6.4,0.0,,,,8.3,2.0,13.9
330846A001,천안시 목천읍,2024-03-18,6.3,14.0,-0.8,35.9,149.5,0.4,4.5,0.0,,,,6.7,-3.5,13.5
330846A001,천안시 목천읍,2024-03-19,5.7,11.8,2.7,58.2,134.0,0.8,7.5,0.5,,,,5.9,-1.5,13.2
330846A001,천안시 목천읍,2024-03-20,4.1,7.9,0.0,51.4,150.2,0.9,5.7,0.0,,,,4.4,-3.0,13.0
330846A001,천안시 목천읍,2024-03-21,4.0,11.3,-2.7,57.6,155.4,0.4,4.9,0.0,,,,4.6,-3.7,12.6
330846A001,천안시 목천읍,2024-03-22,8.9,16.6,1.8,60.3,125.6,0.8,8.0,1.5,,,,9.3,-0.3,12.4
330846A001,천안시 목천읍,2024-03-23,12.9,18.9,8.6,67.4,213.4,0.4,3.6,0.0,,,,13.5,7.7,12.6
330846A001,천안시 목천읍,2024-03-24,13.8,20.1,7.8,46.8,106.9,0.8,5.1,0.0,,,,14.3,2.6,12.4
330846A001,천안시 목천읍,2024-03-25,9.8,13.3,6.2,71.3,102.3,1.0,6.9,7.5,,,,9.9,4.3,12.1
330846A001,천안시 목천읍,2024-03-26,6.3,10.8,1.7,83.4,138.2,0.5,4.3,16.5,,,,7.1,7.1,19.7
330846A001,천안시 목천읍,2024-03-27,8.9,16.8,1.5,74.4,122.2,0.3,3.8,0.0,,,,9.8,6.0,19.2
330846A001,천안시 목천읍,2024-03-28,8.7,9.6,7.8,93.1,105.6,0.3,3.8,9.0,,,,8.9,7.7,19.7
330846A001,천안시 목천읍,2024-03-29,7.8,12.6,2.9,83.9,133.8,0.5,5.4,0.0,,,,7.9,7.3,20.0
330846A001,천안시 목천읍,2024-03-30,7.9,16.7,-0.4,67.9,121.2,0.4,4.0,0.0,,,,8.2,1.6,19.2
330846A001,천안시 목천읍,2024-03-31,9.0,17.5,-0.3,53.7,201.3,0.5,4.2,0.0,,,,9.7,0.6,18.5
330846A001,천안시 목천읍,2024-04-01,10.8,19.9,1.8,43.3,167.1,0.4,4.7,0.0,,,,11.4,1.4,17.7
330846A001,천안시 목천읍,2024-04-02,13.6,24.6,3.0,47.0,142.7,0.3,4.0,0.0,,,,14.4,3.2,16.8
330846A001,천안시 목천읍,2024-04-03,13.9,15.4,12.6,89.6,114.6,0.3,3.1,5.5,,,,14.3,12.4,17.4
330846A001,천안시 목천읍,2024-04-04,13.8,16.2,12.0,76.7,101.9,0.8,4.7,0.0,,,,14.4,10.8,18.3
330846A001,천안시 목천읍,2024-04-05,12.9,18.0,8.6,58.3,121.5,0.7,4.6,0.0,,,,13.8,6.6,17.5
330846A001,천안시 목천읍,2024-04-06,11.1,18.2,5.1,59.1,174.9,0.2,3.9,0.0,,,,11.8,4.2,16.7
330846A001,천안시 목천읍,2024-04-07,13.6,22.8,4.4,42.2,209.5,0.4,4.2,0.0,,,,14.5,5.2,15.9
330846A001,천안시 목천읍,2024-04-08,14.2,21.0,6.7,42.7,231.6,0.4,4.4,0.0,,,,14.7,5.7,15.0
330846A001,천안시 목천읍,2024-04-09,14.0,20.4,7.6,51.5,115.7,0.7,5.9,0.0,,,,14.9,8.2,14.2
330846A001,천안시 목천읍,2024-04-10,13.3,19.2,8.5,58.7,126.7,0.5,3.8,0.0,,,,14.4,7.9,13.4
330846A001,천안시 목천읍,2024-04-11,14.7,21.6,9.9,65.5,131.3,0.3,3.2,0.0,,,,15.6,9.4,12.8
330846A001,천안시 목천읍,2024-04-12,15.8,24.3,8.4,64.8,164.2,0.4,4.2,0.0,,,,16.9,11.5,12.1
330846A001,천안시 목천읍,2024-04-13,17.3,27.4,9.3,59.5,134.6,0.4,3.5,0.0,,,,18.6,14.3,11.4
330846A001,천안시 목천읍,2024-04-14,18.0,27.2,8.5,51.6,133.4,0.4,4.9,0.0,,,,19.2,13.0,10.7
330846A001,천안시 목천읍,2024-04-15,15.6,19.0,11.9,81.8,102.4,0.6,5.7,19.5,,,,15.7,12.0,15.6
330846A001,천안시 목천읍,2024-04-16,14.2,20.0,9.8,74.1,150.6,0.5,5.7,0.0,,,,15.3,0.6,18.4
330846A001,천안시 목천읍,2024-04-17,13.7,21.4,7.4,66.7,196.0,0.4,8.3,0.0,,,,14.9,-3.6,17.1
330846A001,천안시 목천읍,2024-04-18,15.6,24.5,6.9,52.9,164.0,0.4,4.6,0.0,,,,16.7,-9.9,15.8
330846A001,천안시 목천읍,2024-04-19,16.1,24.9,6.9,49.8,137.9,0.4,4.2,0.0,,,,17.3,-11.4,14.5
330846A001,천안시 목천읍,2024-04-20,13.1,14.7,12.4,87.6,120.7,0.5,6.4,14.5,,,,13.3,3.9,14.6
330846A001,천안시 목천읍,2024-04-21,15.5,18.2,12.9,79.6,109.1,0.5,5.6,0.0,,,,16.0,2.1,18.7
330846A001,천안시 목천읍,2024-04-22,17.0,22.8,12.4,60.8,112.5,0.6,5.0,0.0,,,,18.2,-5.9,17.8
330846A001,천안시 목천읍,2024-04-23,15.2,21.8,8.5,63.8,103.0,0.7,5.6,0.5,,,,16.2,-5.4,16.6
330846A001,천안시 목천읍,2024-04-24,13.4,18.4,10.6,77.1,128.5,0.5,4.0,6.0,,,,14.4,2.4,16.5
330846A001,천안시 목천읍,2024-04-25,14.1,21.7,9.8,72.3,160.1,0.3,3.9,0.0,,,,15.4,-5.1,16.7
330846A001,천안시 목천읍,2024-04-26,16.6,25.6,8.5,66.0,132.4,0.3,3.8,0.0,,,,17.8,-1.8,15.7
330846A001,천안시 목천읍,2024-04-27,16.7,24.8,8.6,57.6,188.9,0.4,3.8,0.0,,,,17.9,-5.0,14.5
330846A001,천안시 목천읍,2024-04-28,17.6,27.3,7.2,56.7,131.3,0.3,3.4,0.0,,,,19.0,-7.2,13.2
330846A001,천안시 목천읍,2024-04-29,16.8,19.3,14.9,73.6,100.5,0.4,4.7,0.5,,,,17.3,-0.6,12.3
330846A001,천안시 목천읍,2024-04-30,16.0,20.7,12.2,78.6,182.7,0.2,5.1,0.5,,,,16.9,2.0,12.1
330846A001,천안시 목천읍,2024-05-01,16.1,21.7,12.2,55.3,100.8,0.6,5.7,0.0,,,,17.7,-6.0,11.6
330846A001,천안시 목천읍,2024-05-02,15.5,23.0,7.7,56.7,165.4,0.4,4.5,0.0,,,,17.1,-8.6,10.6
