no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,031004A002,천안시 성환읍,2018-05-01,19.5,24.2,16.2,82.7,265.1,1.6,7.2,0.0,,13.3,0,,,,2018,5,1
122,031004A002,천안시 성환읍,2018-05-02,15.9,21.1,10.0,91.6,264.2,3.2,12.3,5.5,,7.6,1147,-35.5,,,2018,5,2
123,031004A002,천안시 성환읍,2018-05-03,11.5,15.9,7.1,70.5,264.8,5.2,14.5,0.0,,21.5,0,,,,2018,5,3
124,031004A002,천안시 성환읍,2018-05-04,13.8,20.2,7.1,54.9,262.6,4.7,16.1,0.0,,25.7,0,,,,2018,5,4
125,031004A002,천안시 성환읍,2018-05-05,16.3,25.2,6.7,65.4,231.7,2.3,3.2,85.6,,20.7,0,,,,2018,5,5
126,031004A002,천안시 성환읍,2018-05-06,15.9,18.7,14.1,94.2,79.3,2.4,7.0,20.0,,5.0,1390,,,,2018,5,6
127,031004A002,천안시 성환읍,2018-05-07,18.0,24.1,14.4,77.6,89.8,1.3,5.3,0.0,,15.4,443,,,,2018,5,7
128,031004A002,천안시 성환읍,2018-05-08,17.1,21.6,12.0,70.2,87.3,3.7,9.3,0.0,,21.4,0,,,,2018,5,8
129,031004A002,천안시 성환읍,2018-05-09,14.6,21.3,8.1,66.0,41.3,2.3,7.9,0.0,,25.2,0,,,,2018,5,9
130,031004A002,천안시 성환읍,2018-05-10,14.6,21.4,9.3,78.1,273.1,2.0,7.7,0.0,,25.1,0,,,,2018,5,10
131,031004A002,천안시 성환읍,2018-05-11,15.7,22.2,11.1,72.5,280.8,1.7,7.9,0.0,,20.2,0,,,,2018,5,11
132,031004A002,천안시 성환읍,2018-05-12,14.9,16.7,11.9,91.8,98.3,1.7,5.7,21.0,,2.0,1229,,,,2018,5,12
133,031004A002,천안시 성환읍,2018-05-13,15.2,18.5,12.2,89.9,264.7,2.4,6.7,1.5,,10.8,758,,,,2018,5,13
134,031004A002,천안시 성환읍,2018-05-14,18.1,25.7,12.2,82.8,269.1,0.9,6.5,0.0,,20.1,217,,,,2018,5,14
135,031004A002,천안시 성환읍,2018-05-15,22.8,29.3,15.1,72.6,115.6,1.1,4.7,0.0,,18.8,23,,,,2018,5,15
136,031004A002,천안시 성환읍,2018-05-16,24.4,27.3,22.9,84.9,196.3,2.0,10.4,0.0,,3.6,743,,,,2018,5,16
137,031004A002,천안시 성환읍,2018-05-17,22.9,25.6,20.4,93.8,303.6,1.3,7.0,17.5,,5.4,662,,,,2018,5,17
138,031004A002,천안시 성환읍,2018-05-18,18.0,21.2,13.0,93.1,297.1,3.1,9.0,2.0,,3.2,1317,,,,2018,5,18
139,031004A002,천안시 성환읍,2018-05-19,17.1,22.7,12.2,65.0,94.1,4.4,9.2,0.0,,24.3,0,,,,2018,5,19
140,031004A002,천안시 성환읍,2018-05-20,16.5,22.1,10.6,56.9,78.7,2.5,7.9,0.0,,15.3,0,,,,2018,5,20
141,031004A002,천안시 성환읍,2018-05-21,16.8,21.8,10.6,66.9,105.4,2.6,8.6,0.0,,21.3,0,,,,2018,5,21
142,031004A002,천안시 성환읍,2018-05-22,18.2,23.5,14.0,80.5,269.8,0.9,4.3,10.5,,12.6,483,,,,2018,5,22
143,031004A002,천안시 성환읍,2018-05-23,17.1,21.2,12.2,75.1,276.3,3.2,9.9,8.0,,26.3,522,,,,2018,5,23
144,031004A002,천안시 성환읍,2018-05-24,17.8,24.7,9.7,63.0,245.4,2.3,10.2,0.0,,24.7,0,,,,2018,5,24
145,031004A002,천안시 성환읍,2018-05-25,18.8,25.5,12.0,61.1,279.3,1.3,7.0,0.0,,22.0,0,,,,2018,5,25
146,031004A002,천안시 성환읍,2018-05-26,19.5,28.8,11.5,65.2,271.2,1.4,10.6,0.0,,25.2,0,,,,2018,5,26
147,031004A002,천안시 성환읍,2018-05-27,18.9,24.0,14.4,71.6,271.0,1.2,6.1,0.0,,13.3,0,,,,2018,5,27
148,031004A002,천안시 성환읍,2018-05-28,20.4,29.7,12.9,68.4,269.3,1.3,9.5,0.0,,24.5,0,,,,2018,5,28
149,031004A002,천안시 성환읍,2018-05-29,21.5,26.8,18.1,77.2,269.7,1.5,7.7,2.5,,17.8,246,,,,2018,5,29
150,031004A002,천안시 성환읍,2018-05-30,19.5,25.4,15.7,84.4,270.3,2.0,9.1,1.5,,19.3,657,,,,2018,5,30
151,031004A002,천안시 성환읍,2018-05-31,19.0,25.1,12.9,74.9,271.1,1.4,7.1,0.0,,23.7,0,,,,2018,5,31
