no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,031028F034,천안시 직산읍,2022-12-01,-5.4,0.3,-11.3,57.7,46.3,0.0,4.5,0.0,,9.3,1430,,,,2022,12,1
336,031028F034,천안시 직산읍,2022-12-02,-3.9,2.1,-10.2,68.6,,0.0,2.9,0.0,,9.7,1430,,,,2022,12,2
337,031028F034,천안시 직산읍,2022-12-03,2.4,6.3,-1.2,77.7,252.5,0.3,6.2,0.5,,2.6,1430,,,,2022,12,3
338,031028F034,천안시 직산읍,2022-12-04,-2.4,1.0,-7.5,48.5,37.9,0.7,6.9,0.0,,6.2,1430,,,,2022,12,4
339,031028F034,천안시 직산읍,2022-12-05,-3.8,1.6,-8.9,53.4,16.6,0.3,5.0,0.0,,8.8,1430,,,,2022,12,5
340,031028F034,천안시 직산읍,2022-12-06,-0.6,5.1,-9.3,79.8,256.6,0.1,4.2,0.5,,4.0,1430,,,,2022,12,6
341,031028F034,천안시 직산읍,2022-12-07,3.7,8.4,-2.5,74.3,346.2,0.2,6.4,1.0,,5.2,1430,,,,2022,12,7
342,031028F034,천안시 직산읍,2022-12-08,0.4,9.5,-5.0,73.8,,0.0,1.0,0.0,,8.8,1430,,,,2022,12,8
343,031028F034,천안시 직산읍,2022-12-09,1.6,11.5,-4.9,79.6,27.0,0.1,8.2,0.0,,5.5,1430,,,,2022,12,9
344,031028F034,천안시 직산읍,2022-12-10,-0.6,5.7,-5.7,76.3,345.6,0.1,3.1,0.0,,4.8,1430,,,,2022,12,10
345,031028F034,천안시 직산읍,2022-12-11,-1.3,7.1,-7.2,73.3,345.7,0.1,4.3,0.0,,8.8,1430,,,,2022,12,11
346,031028F034,천안시 직산읍,2022-12-12,0.4,7.0,-8.5,78.5,326.4,0.1,5.2,1.0,,6.4,1430,,,,2022,12,12
347,031028F034,천안시 직산읍,2022-12-13,1.4,4.3,-4.5,86.6,354.4,1.3,9.2,5.5,,2.5,1430,,,,2022,12,13
348,031028F034,천안시 직산읍,2022-12-14,-8.2,-4.5,-11.9,65.8,52.6,0.6,7.3,0.0,,8.4,1430,,,,2022,12,14
349,031028F034,천안시 직산읍,2022-12-15,-3.5,1.7,-11.9,84.7,261.4,0.6,5.8,2.5,,4.3,1430,,,,2022,12,15
350,031028F034,천안시 직산읍,2022-12-16,-5.8,-2.4,-11.7,63.3,43.5,0.2,3.8,0.0,,7.3,1430,,,,2022,12,16
351,031028F034,천안시 직산읍,2022-12-17,-7.3,-2.8,-12.7,69.7,31.8,0.4,5.4,1.0,,5.5,1430,,,,2022,12,17
352,031028F034,천안시 직산읍,2022-12-18,-10.2,-5.8,-16.9,67.0,37.7,0.2,5.2,0.0,,8.9,1430,,,,2022,12,18
353,031028F034,천안시 직산읍,2022-12-19,-9.2,-2.5,-16.5,75.5,,0.0,2.6,0.5,,8.3,1430,,,,2022,12,19
354,031028F034,천안시 직산읍,2022-12-20,-6.2,2.6,-14.8,75.4,,0.0,2.0,0.5,,9.1,1430,,,,2022,12,20
355,031028F034,천안시 직산읍,2022-12-21,0.5,3.0,-4.1,87.8,295.1,0.5,5.7,3.0,,1.6,1430,,,,2022,12,21
356,031028F034,천안시 직산읍,2022-12-22,-5.3,-1.1,-9.2,65.3,43.4,2.3,9.0,0.0,,5.4,1430,,,,2022,12,22
357,031028F034,천안시 직산읍,2022-12-23,-9.7,-7.5,-11.9,74.4,41.9,1.9,7.8,0.0,,5.2,1430,,,,2022,12,23
358,031028F034,천안시 직산읍,2022-12-24,-11.8,-3.9,-18.0,71.2,,0.0,2.8,0.0,,9.3,1430,,,,2022,12,24
359,031028F034,천안시 직산읍,2022-12-25,-8.3,0.2,-15.3,80.2,347.9,0.1,6.2,0.5,,9.3,1430,,,,2022,12,25
360,031028F034,천안시 직산읍,2022-12-26,-7.1,1.3,-13.6,78.9,,0.0,2.5,0.0,,7.5,1430,,,,2022,12,26
361,031028F034,천안시 직산읍,2022-12-27,-5.6,4.1,-13.3,79.4,,0.0,3.3,0.0,,9.0,1430,,,,2022,12,27
362,031028F034,천안시 직산읍,2022-12-28,-4.2,1.1,-10.5,73.9,32.7,0.3,5.6,0.5,,8.0,1430,,,,2022,12,28
363,031028F034,천안시 직산읍,2022-12-29,-6.2,1.4,-12.5,74.1,24.7,0.0,2.9,0.0,,7.8,1430,,,,2022,12,29
364,031028F034,천안시 직산읍,2022-12-30,-2.8,2.7,-9.1,78.0,355.8,0.3,4.3,0.0,,7.8,1430,,,,2022,12,30
365,031028F034,천안시 직산읍,2022-12-31,-3.5,5.0,-10.6,81.2,348.6,0.2,4.4,0.0,,6.1,1430,,,,2022,12,31
