no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,269811A001,철원군 동송읍,2013-01-01,-10.4,-3.6,-20.7,90.0,224.4,1.1,19.7,0.0,,5.8,0.0,-6.6,-1.3,,2013
2,269811A001,철원군 동송읍,2013-01-02,-13.3,-6.3,-18.7,53.3,228.9,3.9,18.4,0.0,,11.8,0.0,-11.7,-1.3,,2013
3,269811A001,철원군 동송읍,2013-01-03,-19.0,-10.7,-27.7,73.2,177.5,1.0,7.1,0.0,,11.7,0.0,-11.7,-1.3,,2013
4,269811A001,철원군 동송읍,2013-01-04,-19.2,-8.5,-26.1,80.2,262.1,1.0,4.4,0.0,,11.8,0.0,-11.7,-1.4,,2013
5,269811A001,철원군 동송읍,2013-01-05,-15.3,-6.3,-24.9,86.7,204.8,0.8,4.2,0.0,,7.3,0.0,-10.0,-1.5,,2013
6,269811A001,철원군 동송읍,2013-01-06,-13.1,-2.3,-20.8,88.9,245.3,0.5,5.3,0.5,,9.9,0.0,-8.5,-1.6,,2013
7,269811A001,철원군 동송읍,2013-01-07,-13.3,-3.3,-21.1,82.3,244.4,0.9,5.2,0.5,,8.2,0.0,-9.0,-1.7,,2013
8,269811A001,철원군 동송읍,2013-01-08,-11.7,-2.2,-18.7,81.4,266.7,1.0,9.9,0.5,,10.6,0.0,-8.8,-1.8,,2013
9,269811A001,철원군 동송읍,2013-01-09,-14.4,-7.1,-22.3,74.6,234.9,1.4,10.9,0.0,,11.9,0.0,-10.7,-1.9,,2013
10,269811A001,철원군 동송읍,2013-01-10,-15.2,-5.5,-25.1,74.8,253.9,0.9,6.0,0.0,,11.9,0.0,-11.0,-1.9,,2013
11,269811A001,철원군 동송읍,2013-01-11,-9.0,-3.6,-17.1,85.8,238.0,0.8,6.4,0.0,,7.1,0.0,-7.2,-2.0,,2013
12,269811A001,철원군 동송읍,2013-01-12,-2.9,1.7,-10.7,91.9,120.0,1.5,9.2,0.5,,3.6,0.0,-5.1,-2.1,,2013
13,269811A001,철원군 동송읍,2013-01-13,-5.9,0.1,-12.2,95.8,278.3,1.3,6.7,0.5,,7.7,0.0,-6.0,-2.1,,2013
14,269811A001,철원군 동송읍,2013-01-14,-9.1,0.6,-17.0,87.1,244.0,1.1,7.2,0.0,,8.3,0.0,-8.0,-2.1,,2013
15,269811A001,철원군 동송읍,2013-01-15,-9.6,-0.7,-16.8,88.1,262.9,0.8,7.2,0.5,,8.4,0.0,-8.0,-2.1,,2013
16,269811A001,철원군 동송읍,2013-01-16,-5.5,0.3,-11.5,86.7,247.3,1.1,9.8,1.5,,9.0,0.0,-5.9,-2.2,,2013
17,269811A001,철원군 동송읍,2013-01-17,-10.7,-3.1,-16.2,89.7,270.9,0.9,5.7,0.0,,9.3,0.0,-9.9,-2.1,,2013
18,269811A001,철원군 동송읍,2013-01-18,-11.6,-2.3,-20.8,76.2,240.5,1.0,10.7,0.5,,12.2,0.0,-10.4,-2.2,,2013
19,269811A001,철원군 동송읍,2013-01-19,-3.4,2.7,-9.6,83.5,170.5,1.2,8.3,1.0,,8.7,0.0,-5.1,-2.3,,2013
20,269811A001,철원군 동송읍,2013-01-20,-3.4,3.8,-13.2,83.9,253.2,1.2,5.2,1.0,,8.1,0.0,-4.8,-2.4,,2013
21,269811A001,철원군 동송읍,2013-01-21,1.1,2.0,0.3,96.7,258.7,2.3,7.0,10.5,,3.0,0.0,-2.5,-2.4,,2013
22,269811A001,철원군 동송읍,2013-01-22,2.4,4.0,1.1,87.8,260.2,1.8,7.0,3.5,,5.3,0.0,-2.1,-2.4,,2013
23,269811A001,철원군 동송읍,2013-01-23,1.3,2.6,0.3,93.2,162.7,2.0,14.1,1.5,,3.8,0.0,-2.1,-2.3,,2013
24,269811A001,철원군 동송읍,2013-01-24,-1.6,1.4,-9.2,72.5,174.8,5.2,26.9,0.5,,7.4,0.0,-3.9,-2.3,,2013
25,269811A001,철원군 동송읍,2013-01-25,-11.4,-9.0,-13.5,52.9,209.8,4.1,17.8,0.0,,13.7,0.0,-9.8,-2.2,,2013
26,269811A001,철원군 동송읍,2013-01-26,-12.3,-6.5,-17.3,60.2,172.6,1.4,11.4,0.0,,13.6,0.0,-9.7,-2.2,,2013
27,269811A001,철원군 동송읍,2013-01-27,-13.1,-4.9,-20.0,77.0,168.7,1.0,7.3,0.0,,13.2,0.0,-10.1,-2.3,,2013
28,269811A001,철원군 동송읍,2013-01-28,-10.0,-1.6,-18.9,85.4,248.5,1.2,9.2,0.0,,9.4,0.0,-8.5,-2.7,,2013
29,269811A001,철원군 동송읍,2013-01-29,-0.4,1.8,-3.3,97.2,260.6,0.5,4.0,0.5,,4.0,0.0,-3.3,-2.9,,2013
30,269811A001,철원군 동송읍,2013-01-30,2.1,4.7,0.5,97.7,246.0,0.5,3.7,0.0,,4.6,0.0,-1.6,-2.8,,2013
31,269811A001,철원군 동송읍,2013-01-31,3.1,7.5,0.9,93.5,249.5,0.9,4.3,0.0,,9.9,0.0,-0.9,-2.7,,2013
32,269811A001,철원군 동송읍,2013-02-01,4.0,7.0,1.9,98.1,198.9,1.5,10.3,31.5,,1.2,0.0,-0.7,-2.6,,2013
33,269811A001,철원군 동송읍,2013-02-02,-0.9,5.4,-5.2,72.4,239.4,2.9,13.0,0.0,,14.1,0.0,-3.0,-2.5,,2013
34,269811A001,철원군 동송읍,2013-02-03,-4.4,-0.8,-7.8,84.6,186.5,0.6,5.4,0.0,,5.9,0.0,-4.0,-2.5,,2013
35,269811A001,철원군 동송읍,2013-02-04,-2.6,2.2,-10.7,89.4,199.8,1.6,15.6,2.0,,11.5,0.0,-3.0,-2.5,,2013
36,269811A001,철원군 동송읍,2013-02-05,-3.8,2.9,-11.9,90.6,258.1,1.2,6.3,1.5,,6.4,0.0,-4.0,-2.5,,2013
37,269811A001,철원군 동송읍,2013-02-06,-2.0,0.2,-4.2,88.3,241.7,2.3,13.9,3.0,,9.3,0.0,-2.7,-2.4,,2013
38,269811A001,철원군 동송읍,2013-02-07,-11.5,-3.1,-14.8,58.5,219.5,5.4,21.8,0.0,,15.5,0.0,-7.9,-2.3,,2013
39,269811A001,철원군 동송읍,2013-02-08,-14.6,-7.6,-22.4,64.8,237.7,1.3,13.6,0.0,,15.8,0.0,-8.7,-2.2,,2013
40,269811A001,철원군 동송읍,2013-02-09,-12.3,-3.4,-21.2,79.1,92.2,0.9,7.9,0.5,,15.1,0.0,-8.1,-2.3,,2013
41,269811A001,철원군 동송읍,2013-02-10,-5.7,-1.8,-12.0,70.3,203.8,2.7,17.2,0.0,,14.5,0.0,-6.3,-2.4,,2013
42,269811A001,철원군 동송읍,2013-02-11,-10.7,-3.6,-18.6,75.3,252.8,1.0,5.9,0.5,,16.3,0.0,-7.6,-2.4,,2013
43,269811A001,철원군 동송읍,2013-02-12,-6.3,-2.4,-9.2,82.1,263.8,1.2,8.6,0.0,,7.3,0.0,-6.0,-2.5,,2013
44,269811A001,철원군 동송읍,2013-02-13,-5.2,1.7,-12.8,83.8,152.3,1.2,11.3,1.0,,15.2,0.0,-5.2,-2.5,,2013
45,269811A001,철원군 동송읍,2013-02-14,-1.9,5.0,-8.0,85.7,197.5,0.9,6.5,0.0,,13.7,0.0,-3.8,-2.6,,2013
46,269811A001,철원군 동송읍,2013-02-15,-2.4,0.2,-6.4,66.7,216.3,2.7,17.4,0.0,,17.0,0.0,-4.3,-2.5,,2013
47,269811A001,철원군 동송읍,2013-02-16,-6.3,0.8,-14.0,72.5,211.9,0.8,5.7,0.0,,16.8,0.0,-5.6,-2.5,,2013
