no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,038303A002,청도군 각북면,2018-08-01,29.4,37.9,20.7,68.5,305.5,0.9,5.3,0.0,573,24.9,0,31.2,29.7,,2018,8,1
214,038303A002,청도군 각북면,2018-08-02,29.4,37.7,22.5,70.2,186.7,1.2,4.9,0.0,574,24.9,0,31.6,30.0,,2018,8,2
215,038303A002,청도군 각북면,2018-08-03,29.1,36.8,22.2,71.3,168.8,0.5,5.5,0.0,604,24.0,0,30.9,30.1,,2018,8,3
216,038303A002,청도군 각북면,2018-08-04,30.2,38.1,22.9,71.2,234.9,0.6,5.7,0.0,609,26.7,0,32.7,30.3,,2018,8,4
217,038303A002,청도군 각북면,2018-08-05,29.9,37.2,23.7,71.1,331.1,1.2,7.7,0.0,618,25.2,8,32.3,30.5,,2018,8,5
218,038303A002,청도군 각북면,2018-08-06,29.5,35.8,24.0,74.7,293.4,0.7,7.4,0.0,472,18.1,34,31.2,30.3,,2018,8,6
219,038303A002,청도군 각북면,2018-08-07,28.4,33.7,22.2,78.3,93.6,0.6,5.4,0.5,374,17.5,592,29.7,30.4,,2018,8,7
220,038303A002,청도군 각북면,2018-08-08,29.0,38.5,22.2,75.2,171.6,0.3,5.5,0.0,491,24.5,422,31.8,30.1,,2018,8,8
221,038303A002,청도군 각북면,2018-08-09,29.3,37.3,24.1,76.5,218.8,0.3,4.5,8.0,499,22.6,793,31.7,30.5,,2018,8,9
222,038303A002,청도군 각북면,2018-08-10,26.7,30.2,24.6,88.9,85.1,0.3,4.1,12.5,15,8.9,755,27.0,30.3,,2018,8,10
223,038303A002,청도군 각북면,2018-08-11,26.5,31.1,23.2,80.8,120.9,0.2,5.7,0.0,127,14.7,0,27.3,29.9,,2018,8,11
224,038303A002,청도군 각북면,2018-08-12,27.0,33.9,22.1,85.5,358.8,0.4,3.4,3.0,234,14.9,401,27.1,29.6,,2018,8,12
225,038303A002,청도군 각북면,2018-08-13,29.4,36.0,24.2,77.0,83.5,0.9,4.6,0.0,529,19.5,1,29.7,30.1,,2018,8,13
226,038303A002,청도군 각북면,2018-08-14,28.9,38.7,21.6,73.7,217.5,0.8,7.5,0.0,578,24.5,0,29.8,30.1,,2018,8,14
227,038303A002,청도군 각북면,2018-08-15,27.6,35.7,21.6,77.9,354.3,0.9,6.4,0.0,333,16.7,136,28.6,29.9,,2018,8,15
228,038303A002,청도군 각북면,2018-08-16,25.8,32.7,23.7,84.4,345.8,0.9,7.8,16.0,78,10.0,1018,25.8,29.8,,2018,8,16
229,038303A002,청도군 각북면,2018-08-17,23.9,28.9,18.6,65.8,10.0,1.4,8.8,0.0,378,19.7,0,24.2,28.8,,2018,8,17
230,038303A002,청도군 각북면,2018-08-18,22.8,30.9,15.9,72.1,2.9,1.0,5.0,0.0,635,25.8,0,24.3,27.9,,2018,8,18
231,038303A002,청도군 각북면,2018-08-19,23.9,32.4,16.0,73.1,134.3,0.9,4.4,0.0,664,26.3,0,25.0,27.5,,2018,8,19
232,038303A002,청도군 각북면,2018-08-20,25.2,33.4,17.7,73.4,164.8,0.8,5.7,0.0,554,22.5,0,25.9,27.7,,2018,8,20
233,038303A002,청도군 각북면,2018-08-21,27.1,36.5,18.5,71.1,22.2,1.4,7.1,0.0,645,26.0,0,27.9,27.9,,2018,8,21
234,038303A002,청도군 각북면,2018-08-22,29.1,35.0,22.9,66.5,161.4,1.6,8.5,0.0,521,19.9,0,29.1,28.6,,2018,8,22
235,038303A002,청도군 각북면,2018-08-23,27.0,30.5,24.4,80.8,359.8,1.1,5.6,7.0,0,3.1,1192,25.9,28.7,,2018,8,23
236,038303A002,청도군 각북면,2018-08-24,27.9,32.4,23.9,75.5,160.1,1.8,17.6,10.5,91,8.1,439,26.1,28.5,,2018,8,24
237,038303A002,청도군 각북면,2018-08-25,24.4,30.8,20.8,83.5,333.5,0.5,5.6,7.5,246,15.1,595,25.1,28.4,,2018,8,25
238,038303A002,청도군 각북면,2018-08-26,21.8,23.1,20.9,95.9,311.6,0.6,7.1,137.5,0,1.2,1147,22.1,27.1,,2018,8,26
239,038303A002,청도군 각북면,2018-08-27,23.2,24.7,21.4,95.9,344.0,0.5,4.2,63.0,0,2.5,1345,23.1,26.5,,2018,8,27
240,038303A002,청도군 각북면,2018-08-28,26.8,32.9,23.2,86.0,151.6,0.3,4.4,0.0,372,19.0,668,26.4,27.3,,2018,8,28
241,038303A002,청도군 각북면,2018-08-29,26.8,33.0,22.3,80.8,185.3,0.5,7.0,0.0,544,23.9,0,27.2,28.1,,2018,8,29
242,038303A002,청도군 각북면,2018-08-30,26.7,30.9,24.3,86.5,157.8,0.2,4.6,6.0,69,9.1,1013,26.4,28.6,,2018,8,30
243,038303A002,청도군 각북면,2018-08-31,23.8,25.3,21.0,94.2,26.3,0.7,3.3,15.5,0,3.8,1398,24.1,28.3,,2018,8,31
