stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
038303A002,청도군 각북면,2024-07-01,27.2,32.9,22.6,76.6,297.3,0.7,4.5,0.0,713,23.2,498,28.7,34.2,,2024,7,1
038303A002,청도군 각북면,2024-07-02,25.8,29.8,23.1,87.1,147.5,1.2,7.7,21.5,407,8.5,692,26.1,34.4,,2024,7,2
038303A002,청도군 각북면,2024-07-03,27.5,32.3,23.8,78.7,180.9,1.5,8.0,9.0,594,13.6,282,27.8,34.7,,2024,7,3
038303A002,청도군 각북면,2024-07-04,27.4,33.6,21.3,75.2,183.8,1.3,6.2,0.0,713,24.6,292,28.8,35.5,,2024,7,4
038303A002,청도군 각북면,2024-07-05,28.1,33.7,24.2,70.2,220.2,1.4,6.8,1.5,687,27.4,268,29.5,36.4,,2024,7,5
038303A002,청도군 각북면,2024-07-06,27.5,32.7,23.4,76.5,170.7,1.6,8.5,0.0,609,17.6,148,28.8,36.3,,2024,7,6
038303A002,청도군 각북면,2024-07-07,28.6,32.7,26.7,74.8,170.3,1.8,8.5,0.0,596,11.6,0,29.4,36.3,,2024,7,7
038303A002,청도군 각북면,2024-07-08,27.2,29.2,22.2,81.9,162.3,1.2,7.3,117.0,326,5.7,1076,27.3,36.0,,2024,7,8
038303A002,청도군 각북면,2024-07-09,25.0,27.6,22.1,93.4,137.0,0.9,7.2,179.5,268,5.4,1329,25.3,35.2,,2024,7,9
038303A002,청도군 각북면,2024-07-10,24.8,28.6,22.2,90.1,206.9,1.3,10.2,25.5,300,8.5,883,25.1,34.7,,2024,7,10
038303A002,청도군 각북면,2024-07-11,24.5,29.1,22.2,87.4,162.2,0.6,3.0,2.5,553,11.6,630,25.8,35.1,,2024,7,11
038303A002,청도군 각북면,2024-07-12,26.2,32.9,21.4,79.2,197.8,0.8,3.8,0.0,671,26.8,616,27.8,35.9,,2024,7,12
038303A002,청도군 각북면,2024-07-13,25.0,30.3,20.8,82.1,175.1,0.9,4.8,0.0,665,16.3,689,26.7,36.2,,2024,7,13
038303A002,청도군 각북면,2024-07-14,23.8,26.2,22.7,91.6,194.2,0.6,3.2,9.0,445,6.1,1421,24.6,35.5,,2024,7,14
038303A002,청도군 각북면,2024-07-15,24.4,27.4,22.2,86.8,335.7,0.6,3.4,0.5,521,9.5,728,25.3,35.1,,2024,7,15
038303A002,청도군 각북면,2024-07-16,24.5,28.5,22.8,89.9,142.7,0.8,4.6,13.5,495,10.8,1084,25.6,35.3,,2024,7,16
038303A002,청도군 각북면,2024-07-17,26.0,29.8,23.2,85.7,163.4,1.0,5.7,0.0,600,10.0,538,26.8,35.4,,2024,7,17
038303A002,청도군 각북면,2024-07-18,27.2,28.8,25.5,82.0,145.0,1.4,7.0,5.5,590,6.8,240,27.0,35.6,,2024,7,18
038303A002,청도군 각북면,2024-07-19,25.8,29.0,22.8,86.1,144.7,0.7,4.6,7.5,599,9.4,474,26.4,35.6,,2024,7,19
038303A002,청도군 각북면,2024-07-20,25.9,30.6,21.3,85.4,153.2,1.1,7.5,15.0,583,14.4,190,26.5,35.5,,2024,7,20
038303A002,청도군 각북면,2024-07-21,28.7,33.4,24.7,77.4,172.1,1.4,7.6,3.5,618,22.3,257,29.4,36.7,,2024,7,21
038303A002,청도군 각북면,2024-07-22,29.2,32.7,25.8,73.3,166.2,1.7,8.0,0.0,685,21.0,0,29.8,37.4,,2024,7,22
038303A002,청도군 각북면,2024-07-23,29.0,31.5,27.3,74.4,165.8,1.5,8.3,0.0,678,12.7,0,29.2,37.3,,2024,7,23
038303A002,청도군 각북면,2024-07-24,27.9,32.1,25.5,82.9,143.1,1.1,6.1,0.0,568,14.9,4,28.7,37.4,,2024,7,24
038303A002,청도군 각북면,2024-07-25,28.8,34.3,24.2,79.7,162.5,0.8,5.2,0.0,681,20.3,17,29.6,37.6,,2024,7,25
038303A002,청도군 각북면,2024-07-26,28.2,33.3,25.0,80.6,165.3,1.4,15.1,0.5,638,18.2,114,29.0,37.7,,2024,7,26
