no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,038316F030,청도군 구라리,2021-12-01,2.8,5.7,-3.2,44.2,330.7,2.7,14.0,0.0,,8.0,0,,,,2021,12,1
336,038316F030,청도군 구라리,2021-12-02,0.4,7.6,-5.5,67.2,268.4,0.7,5.7,0.0,,11.1,23,,,,2021,12,2
337,038316F030,청도군 구라리,2021-12-03,3.3,10.0,-2.2,66.7,359.8,1.0,8.1,0.0,,6.5,112,,,,2021,12,3
338,038316F030,청도군 구라리,2021-12-04,2.8,8.9,-2.6,55.5,277.4,0.9,7.6,0.0,,7.8,105,,,,2021,12,4
339,038316F030,청도군 구라리,2021-12-05,2.1,12.2,-5.0,79.5,272.9,0.2,3.0,0.0,,10.2,333,,,,2021,12,5
340,038316F030,청도군 구라리,2021-12-06,3.7,14.3,-2.7,86.8,224.6,0.1,2.3,0.0,,6.7,581,,,,2021,12,6
341,038316F030,청도군 구라리,2021-12-07,5.5,14.4,0.5,78.2,64.1,0.6,7.2,0.0,,9.4,717,,,,2021,12,7
342,038316F030,청도군 구라리,2021-12-08,4.3,13.5,-2.3,79.4,73.5,0.4,5.4,0.0,,10.1,619,,,,2021,12,8
343,038316F030,청도군 구라리,2021-12-09,5.0,13.3,-2.3,83.3,282.2,0.2,4.0,0.0,,7.5,428,,,,2021,12,9
344,038316F030,청도군 구라리,2021-12-10,5.8,15.0,0.1,87.6,239.4,0.1,3.6,0.0,,5.3,890,,,,2021,12,10
345,038316F030,청도군 구라리,2021-12-11,5.6,14.7,-0.3,83.0,277.0,0.1,3.6,0.5,,7.9,752,,,,2021,12,11
346,038316F030,청도군 구라리,2021-12-12,5.7,10.9,0.4,63.1,4.2,1.6,9.4,0.0,,6.1,347,,,,2021,12,12
347,038316F030,청도군 구라리,2021-12-13,-0.6,6.0,-6.3,42.1,8.9,1.0,6.6,0.0,,11.2,0,,,,2021,12,13
348,038316F030,청도군 구라리,2021-12-14,-0.9,8.9,-8.3,68.8,261.8,0.4,7.3,0.0,,10.4,38,,,,2021,12,14
349,038316F030,청도군 구라리,2021-12-15,2.5,14.9,-5.5,78.2,252.9,0.4,5.7,0.0,,9.6,320,,,,2021,12,15
350,038316F030,청도군 구라리,2021-12-16,3.6,8.6,-1.1,95.8,40.4,0.1,2.8,3.0,,3.1,1279,,,,2021,12,16
351,038316F030,청도군 구라리,2021-12-17,0.9,6.5,-5.7,52.7,344.3,2.6,13.4,0.0,,9.6,265,,,,2021,12,17
352,038316F030,청도군 구라리,2021-12-18,-4.4,2.7,-10.4,46.8,6.2,1.2,9.7,0.0,,10.9,0,,,,2021,12,18
353,038316F030,청도군 구라리,2021-12-19,-0.9,6.2,-6.5,61.6,340.1,1.1,10.0,0.0,,10.4,0,,,,2021,12,19
354,038316F030,청도군 구라리,2021-12-20,1.6,11.5,-6.8,70.3,269.6,0.8,9.0,0.0,,9.0,64,,,,2021,12,20
355,038316F030,청도군 구라리,2021-12-21,3.1,14.4,-4.3,78.7,263.8,0.5,6.3,0.0,,9.2,306,,,,2021,12,21
356,038316F030,청도군 구라리,2021-12-22,1.7,13.3,-5.5,65.3,155.3,0.1,5.8,0.0,,10.8,93,,,,2021,12,22
357,038316F030,청도군 구라리,2021-12-23,0.4,11.0,-7.0,65.4,47.0,0.3,6.5,0.0,,10.0,26,,,,2021,12,23
358,038316F030,청도군 구라리,2021-12-24,2.8,11.1,-4.5,66.6,34.1,0.3,8.6,0.0,,6.8,0,,,,2021,12,24
359,038316F030,청도군 구라리,2021-12-25,-3.5,2.7,-8.1,35.9,356.7,3.0,11.8,0.0,,11.2,0,,,,2021,12,25
360,038316F030,청도군 구라리,2021-12-26,-6.7,-2.5,-12.0,34.3,355.3,2.0,8.4,0.0,,11.3,0,,,,2021,12,26
361,038316F030,청도군 구라리,2021-12-27,-2.9,2.5,-7.6,44.8,26.6,1.5,9.1,0.0,,10.9,0,,,,2021,12,27
362,038316F030,청도군 구라리,2021-12-28,-0.1,7.9,-7.8,69.8,262.6,0.2,3.6,0.0,,9.9,2,,,,2021,12,28
363,038316F030,청도군 구라리,2021-12-29,0.7,10.4,-5.4,72.7,266.7,0.6,7.2,0.0,,7.6,32,,,,2021,12,29
364,038316F030,청도군 구라리,2021-12-30,1.6,4.8,-0.8,43.6,323.0,2.0,9.5,0.0,,10.2,0,,,,2021,12,30
365,038316F030,청도군 구라리,2021-12-31,-1.7,2.5,-5.8,30.5,8.2,1.6,9.9,0.0,,11.1,0,,,,2021,12,31
