no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,714902A001,청도군 화양읍,2015-11-01,4.8,10.7,-1.5,78.6,,0.0,2.7,0.0,0,6.1,223,,,,2015,11,1
306,714902A001,청도군 화양읍,2015-11-02,9.0,16.4,3.7,77.0,,0.0,8.1,0.0,382,13.0,556,,,,2015,11,2
307,714902A001,청도군 화양읍,2015-11-03,9.5,20.8,1.2,70.5,,0.0,4.3,0.0,584,17.0,459,,,,2015,11,3
308,714902A001,청도군 화양읍,2015-11-04,8.8,22.0,0.4,80.1,,0.0,3.4,0.0,474,14.4,678,,,,2015,11,4
309,714902A001,청도군 화양읍,2015-11-05,11.6,22.1,3.4,73.7,,0.0,3.2,0.0,483,14.8,535,,,,2015,11,5
310,714902A001,청도군 화양읍,2015-11-06,12.6,20.3,5.7,79.2,,0.0,7.0,2.5,410,11.4,755,,,,2015,11,6
311,714902A001,청도군 화양읍,2015-11-07,14.4,17.2,12.8,94.2,,0.0,3.0,35.0,0,0.5,1140,,,,2015,11,7
312,714902A001,청도군 화양읍,2015-11-08,14.7,16.8,12.8,98.7,,0.0,4.6,16.0,0,0.0,1430,,,,2015,11,8
313,714902A001,청도군 화양읍,2015-11-09,13.9,17.8,9.0,86.6,,0.0,4.0,2.5,132,6.2,583,,,,2015,11,9
314,714902A001,청도군 화양읍,2015-11-10,11.1,17.1,5.2,82.8,,0.0,3.7,0.0,191,8.8,489,,,,2015,11,10
315,714902A001,청도군 화양읍,2015-11-11,12.6,18.4,7.0,80.0,,0.0,3.7,0.0,259,11.0,397,,,,2015,11,11
316,714902A001,청도군 화양읍,2015-11-12,13.9,18.5,10.8,77.7,,0.0,5.2,0.0,175,5.8,11,,,,2015,11,12
317,714902A001,청도군 화양읍,2015-11-13,12.2,14.0,10.4,91.2,,0.0,6.1,21.5,0,0.2,1087,,,,2015,11,13
318,714902A001,청도군 화양읍,2015-11-14,14.7,17.0,12.8,95.6,,0.0,6.2,0.5,0,3.6,720,,,,2015,11,14
319,714902A001,청도군 화양읍,2015-11-15,13.8,19.0,9.2,82.6,,0.0,3.9,0.0,220,9.2,283,,,,2015,11,15
320,714902A001,청도군 화양읍,2015-11-16,12.3,17.5,7.7,94.2,,0.0,2.3,5.5,4,4.6,1123,,,,2015,11,16
321,714902A001,청도군 화양읍,2015-11-17,15.0,16.3,14.0,93.7,,0.0,4.5,0.0,0,1.3,614,,,,2015,11,17
322,714902A001,청도군 화양읍,2015-11-18,12.3,14.6,10.2,83.2,,0.0,6.7,4.0,0,0.8,601,,,,2015,11,18
323,714902A001,청도군 화양읍,2015-11-19,11.5,14.1,9.9,79.5,,0.0,4.3,0.0,0,4.4,0,,,,2015,11,19
324,714902A001,청도군 화양읍,2015-11-20,12.0,19.0,6.6,76.2,,0.0,4.7,0.0,417,12.3,98,,,,2015,11,20
325,714902A001,청도군 화양읍,2015-11-21,8.7,11.7,4.7,92.6,,0.0,2.5,0.0,0,2.1,654,,,,2015,11,21
326,714902A001,청도군 화양읍,2015-11-22,13.2,17.8,10.4,79.1,,0.0,4.2,0.0,81,6.4,0,,,,2015,11,22
327,714902A001,청도군 화양읍,2015-11-23,13.3,15.4,11.5,86.7,,0.0,3.7,0.5,0,3.1,149,,,,2015,11,23
328,714902A001,청도군 화양읍,2015-11-24,10.6,14.1,8.6,69.8,,0.0,7.0,0.0,137,7.4,3,,,,2015,11,24
329,714902A001,청도군 화양읍,2015-11-25,7.5,8.8,5.5,81.7,,0.0,4.9,1.0,0,1.7,460,,,,2015,11,25
330,714902A001,청도군 화양읍,2015-11-26,3.3,6.1,0.4,58.9,,0.0,8.3,0.0,358,10.5,0,,,,2015,11,26
331,714902A001,청도군 화양읍,2015-11-27,2.6,7.5,-1.3,60.0,,0.0,7.8,0.0,402,11.6,0,,,,2015,11,27
332,714902A001,청도군 화양읍,2015-11-28,3.9,10.2,-1.1,71.4,,0.0,4.0,0.0,232,9.7,0,,,,2015,11,28
333,714902A001,청도군 화양읍,2015-11-29,5.2,13.2,-0.4,73.7,,0.0,2.7,0.0,416,10.6,140,,,,2015,11,29
334,714902A001,청도군 화양읍,2015-11-30,6.6,14.8,1.4,75.3,,0.0,7.4,0.0,452,11.5,402,,,,2015,11,30
